Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients
Body & Bath,Natural Body & Bath,'15024739451261,'55370166862205,Higherdose,HigherDOSE Infrared PEMF Go Mat,https://www.contentbeautywellbeing.com/products/higherdose-infrared-pemf-go-mat?variant=55370166862205,https://www.contentbeautywellbeing.com/cdn/shop/files/HigerDose-Infrared-PEMF-GO-1.jpg?v=1739968120,"The mat is made up of the following layers:

PEMF Layer

Non Toxic PU Leather Layer

Infrared Layer

Charcoal, Clay & Magnetic Layers

Crystal Therapy Layer"
Body & Bath,Natural Body & Bath,'4658925371473,'32483572908113,Elytrum,Elytrum Revive Body Brush with Coir Handle,https://www.contentbeautywellbeing.com/products/elytrum-revive-body-brush-with-coir-handle?variant=32483572908113,https://www.contentbeautywellbeing.com/cdn/shop/products/Elytrum-Revive-Body-Brush-with-Coir-Handle.jpg?v=1596040598,"Crafted from cactus fibres, also known as sisal or Agave Sisalana. Sisal fibre body brushes are of a medium firm bristle."
Body & Bath,Natural Body & Bath,'15024938516861,'55370645504381,Higherdose,HigherDOSE Infrared Sauna Blanket Insert,https://www.contentbeautywellbeing.com/products/higherdose-infrared-sauna-blanket-insert?variant=55370645504381,https://www.contentbeautywellbeing.com/cdn/shop/files/HigerDose-Infrared-Blanket-Insert-1.jpg?v=1739975178,"The mat is made up of the following layers:

PEMF Layer

Non Toxic PU Leather Layer

Infrared Layer

Charcoal, Clay & Magnetic Layers

Crystal Therapy Layer"
Body & Bath,Natural Body & Bath,'7323391879,'23437874375,Mirror Water,Mirror Water Buff Body Dry Brush,https://www.contentbeautywellbeing.com/products/mirror-water-buff-body-dry-brush?variant=23437874375,https://www.contentbeautywellbeing.com/cdn/shop/files/Mirror-Water-Buff-Dry-Body-Brush.jpg?v=1743763531,"Made from Beech Wood, Vegan Sisal Bristles in a 100% cotton bag."
Body & Bath,Natural Body & Bath,'4658925338705,'32483572875345,Elytrum,Elytrum Oval Soft Dry Body Brush,https://www.contentbeautywellbeing.com/products/elytrum-oval-soft-dry-body-brush?variant=32483572875345,https://www.contentbeautywellbeing.com/cdn/shop/files/Elytrum-Soft-Dry-Body-Brush.jpg?v=1743766220,Crafted from jute vegetable fibres.
Body & Bath,Natural Body & Bath,'15412557119869,'56551713177981,Wilder Botanics,Wilder Botanics Sacred Body Trio (Worth £97),https://www.contentbeautywellbeing.com/products/wilder-botanics-sacred-body-trio?variant=56551713177981,https://www.contentbeautywellbeing.com/cdn/shop/files/Wilder-Botanics-Body-Trio.jpg?v=1753559008,"Body Wash

- Aqua, Sodium coco-sulfate, Decyl glucoside, Cocamidopropyl betaine, Lauryl glucoside, Caprylyl / capryl glucoside, Glycerin, Citric acid, Coco-glucoside, Glyceryl oleate, Levulinic acid, Sodium benzoate, Citrus nobilis peel oil expressed, Sodium chloride, Aloe barbadensis leaf juice powder, Sodium levulinate, Cedrus atlantica bark oil, Bulnesia sarmientoi wood oil, Lavandula angustifolia herb oil, Coconut acid, Sodium phytate, Tocopherol Hydrogenated eco palm glycerides citrate, Ocimum tenuiflorum oil. Contains *Limonene, *Linalool, *Eugenol & *Geraniol.

*Natural constituents of essential oil.

Body Oil

- Sweet Almond oil) Prunus amygdalus dulcis, (Calendula infused oil) Calendula officinalis, (cold pressed Rosehip seed oil) Rosa canina, (Olive fruit oil) Olea europaea, (Rose geranium flower oil) Pelargonium graveolens, natural Vitamin E oil Tocopherol, Sandalwood extract Santalum album, Patchouli oil Pogostemon cablin, Atlas Cedar bark oil Cedrus atlantica, * Citral, * Eugenol, * Linalool * Benzyl, * Benzoate, * Citronella, *limonene.

*All naturally occurring constituents of essential oils

Hand Cream

- Aqua, Melissa Officinalis Flower/leaf/stem Water, Cetearyl Alcohol, Glycerin, Candelilla/jojoba/rice Bran Polyglyceryl-3 Esters, Glyceryl Stearate, Bentonite, Butyrospermum Parkii (Shea) Butter, Rosa Canina Fruit Oil, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Sucrose Stearate, Citrus Nobilis Peel Oil Expressed, Cetearyl Glucoside, Sodium Levulinate, Sodium Stearoyl Lactylate, Sodium Dehydroacetate, Cedrus Atlantica (Atlas Cedar) Bark Oil, Microcrystalline Cellulose, Caprylic/capric Triglyceride, Astrocaryum Murumuru (Murumuru) Seed Butter, Gossypium Herbaceum (Cotton) Seed Oil, Sodium Anisate, Bidens Pilosa Extract, Bulnesia Sarmientoi (Palo Santo Oil

)

Wood Oil, Lavandula Angustifolia Herb Oil, Xanthan Gum, Centella Asiatica (Gotu Kola) Leaf Extract, Hippophae Rhamnoides (Sea Buckthorn Berry)

Fruit Oil, Linum Usitatissimum (Linseed) Seed Oil , Sodium Hyaluronate, Cellulose Gum, Helianthus Annuus Seed Oil, Ocimum Tenuiflorum (Holy Basil ) Oil, Aloe Barbadensis Leaf Juice Powder, Tocopherol, Sodium Phytate, Sucrose Palmitate, Limonene*, Linalyl Acetate*, Linalool*, Eugenol, Beta-caryophyllene*, Terpineol*, Citral*, Camphor

,

Geranyl Acetate*.

*Constituent of essential oils"
Body & Bath,Natural Body & Bath,'15258989101437,'56111374729597,Inlight Beauty,Inlight Body Oil with Arnica,https://www.contentbeautywellbeing.com/products/inlight-body-oil-with-arnica?variant=56111374729597,https://www.contentbeautywellbeing.com/cdn/shop/files/Inlight_body_oil_bottle_HR.jpg?v=1748550050,"Sesamum indicum (sesame) seed oil*, olea europaea (olive) fruit oil*, simmondsia chinensis (jojoba) seed oil*, prunus armeniaca (apricot) kernel oil*, macadamia integrifolia (macadamia) seed oil*, oenothera biennis (evening primrose) oil*, arnica montana (arnica) flower extract*, lavandula angustifolia (lavender) oil*, cymbopogon martini (palmarosa) oil*, pelargonium graveolens (geranium) flower oil*, plantago major (plantain) leaf extract*, calendula officinalis (calendula) flower extract*, hamamelis virginiana (witch hazel) leaf extract*, rosa canina (rose hip) fruit extract*, pogostemon cablin (patchouli) leaf oil*, cananga odorata (ylang-ylang) flower oil*. Linalool, geraniol, citronellol, limonene, citral, farnesol.

Natural constituent of essential oils listed.

*Certified organic

Of total: 100% organic"
Body & Bath,Natural Body & Bath,'15024619651453,'55369878176125,Higherdose,HigherDOSE Infrared PEMF Pro Mat,https://www.contentbeautywellbeing.com/products/highrdose-infrared-pemf-pro-mat?variant=55369878176125,https://www.contentbeautywellbeing.com/cdn/shop/files/HigerDose-Infrared-PEMF-Pro-1.jpg?v=1739967782,"The mat is made up of the following layers:

PEMF Layer

Non Toxic PU Leather Layer

Infrared Layer

Charcoal, Clay & Magnetic Layers

Crystal Therapy Layer"
Body & Bath,Natural Body & Bath,'15302983745917,'56233304588669,Attitude,Sunly Mineral Sunscreen Stick SPF30,https://www.contentbeautywellbeing.com/products/sunly-mineral-sunscreen-stick-spf30?variant=56233304588669,https://www.contentbeautywellbeing.com/cdn/shop/files/Attitude-Sunly-Mineral-SPF30.jpg?v=1750083792,"Active ingredient

: Zinc oxide / Oxyde de zinc (20 %)

Inactive ingredient

: Vitis Vinifera (Grape) Seed Oil, Caprylic/Capric Triglyceride, C10-18 Triglycerides, Helianthus Annuus (Sunflower) Seed Wax, Jojoba Esters, Capryloyl Glycerin/Sebacic Acid Copolymer, Polyhydroxystearic Acid, Behenyl Behenate, Hydroxyapatite, Acacia Decurrens Flower Wax, Polyglycerin-3, Euphorbia Cerifera (Candelilla) Wax, Glyceryl Behenate, Tocopherol.

Allergens: soy. Read label before use."
Body & Bath,Natural Body & Bath,'15149421986173,'55756956926333,Mirror Water,Mirror Water Bathing Ritual Set (Worth £92),https://www.contentbeautywellbeing.com/products/mirror-water-bathing-ritual-set?variant=55756956926333,https://www.contentbeautywellbeing.com/cdn/shop/files/Mirror-Water-Bathing-Ritual.jpg?v=1744490497,"Candle:

Soy wax. Essential Oils

Soak:

Sodium Chloride (Himalalayan Salt), Magnesium Chloride, Vetiveria Zizanoides Root Oil, Cedrus Atlantica Bark Oil, Picea Mariana Leaf Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, Helianthus Annuus (Sunflower) Seed Oil, Rosmarinus Officinalis (Rosemary Leaf Extract, Limonene, Linalool."
