Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Beauty Tools,'7792640753836,'43066858864812,Goop Beauty,Ultimate Dry Brush,https://ohmycream.co.uk/collections/body-beautytools/products/goop-beauty-ultimate-dry-brush?variant=43066858864812,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/BrosseExfolianteUltime_GoopBeauty.jpg?v=1709555115,"Complete list of ingredients

natural sisal fibers from the mexican agave plant this list of ingredients is subject to change; please refer to the packaging of the purchased product.

made in china",'5.0,4
Body,Beauty Tools,'7650567782572,'42633735209132,Bouche Bée,Ona Sex Toy & Clitoral Stimulator,https://ohmycream.co.uk/collections/body-beautytools/products/bouche-bee-ona-sex-toy-clitoral-stimulator?variant=42633735209132,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/OnaStimulateurClitoridienVibrant_BlushIntimacy.jpg?v=1721911084,"Complete list of ingredients

made with medical grade silicone. made in china.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'2.0,1
Body,Beauty Tools,'7741462413484,'42881197211820,Bouche Bée,Lube Moisturising Lubricant,https://ohmycream.co.uk/collections/body-beautytools/products/bouche-bee-lube-moisturising-lubricant?variant=42881197211820,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/LubeLubrifiantabased_eau_BlushIntimacy.jpg?v=1722246519,"Complete list of ingredients

aqua, propanediol, glycerin, xanthan gum, inulin, sodium lactate, alpha-glucan oligosaccharide, sodium hyaluronate, lactic acid, sodium benzoate, potassium sorbate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Body,Beauty Tools,'15415598842236,'55503611724156,Seoni,Filtered Showerhead,https://ohmycream.co.uk/collections/body-beautytools/products/seoni-filtered-showerhead?variant=55503611724156,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202507_Pommeau_de_Douche_Filtrant_Blanc_Seoni_packshot.jpg?v=1752755998,"Complete list of ingredients

made in south korea.

pctg, abs, pp, silicone, acier inoxydable

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Beauty Tools,'15415598842236,'55503611756924,Seoni,Filtered Showerhead,https://ohmycream.co.uk/collections/body-beautytools/products/seoni-filtered-showerhead?variant=55503611756924,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202507_Pommeaux_Seoni_nature_morte_2_Carre.png?v=1752830496,"Complete list of ingredients

made in south korea.

pctg, abs, pp, silicone, acier inoxydable

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Beauty Tools,'8074263298220,'43850672242860,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-beautytools/products/call-it-by-your-name-small-vanity?variant=43850672242860,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_vert_trefle_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Beauty Tools,'8074263298220,'43850672210092,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-beautytools/products/call-it-by-your-name-small-vanity?variant=43850672210092,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bleu_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Beauty Tools,'8074263298220,'43850672275628,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-beautytools/products/call-it-by-your-name-small-vanity?variant=43850672275628,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_rose_rainbow_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Beauty Tools,'8074263298220,'43850672177324,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/body-beautytools/products/call-it-by-your-name-small-vanity?variant=43850672177324,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bordeaux_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Beauty Tools,'7383286055084,'41811534512300,Oh My Cream Skincare,Dry Body Brush,https://ohmycream.co.uk/collections/body-beautytools/products/oh-my-cream-skincare-dry-body-brush?variant=41811534512300,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Brosse_Corps_Face_OMCS_TINY.jpg?v=1658165545,"Complete list of ingredients

beech wood support polyester handle synthetic bristles

made in china",',0
Body,Beauty Tools,'7383286218924,'41811534676140,Oh My Cream Skincare,Bathrobe,https://ohmycream.co.uk/collections/body-beautytools/products/oh-my-cream-skincare-bathrobe?variant=41811534676140,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Peignoir_OMCS_TINY.jpg?v=1658165548,"Complete list of ingredients

washed linen from france & belgium / made in poland",',0
