Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Body Oils,'7792589177004,'43099161493676,Goop Beauty,Afterglow Body Oil,https://ohmycream.co.uk/collections/body-bodyoils/products/goop-beauty-afterglow-body-oil?variant=43099161493676,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/HuileCorps_clatBeaut__GoopBeauty.jpg?v=1709568383,"Complete list of ingredients

helianthus annuus (sunflower) seed oil, caprylic/capric triglyceride, hydrogenated ethylhexyl olivate,sesamum indicum (sesame) seed oil,olea europaea (olive) fruit oil, vitis vinifera (grape) seed oil, canola oil, punica granatum seed oil, silica, squalane, zea mays (corn) starch, raspberry seed oil/tocopheryl succinate aminopropanediol esters, hydrogenated olive oil unsaponifiables, rosmarinus officinalis (rosemary) extract, coconut alkanes, coco-caprylate/caprate, hippophae rhamnoides fruit oil, terminalia ferdinandiana seed oil, tocopherol, beta-sitosterol, squalene, limonene, evernia prunastri (oakmoss) extract, coumarin, linalool, amyris balsamifera bark oil, aquilaria agallocha wood oil, cistus ladaniferus leaf/stem extract, elettaria cardamomum seed oil, gamma-nonalactone, ionone, juniperus virginiana oil, pelargonium graveolens flower oil, pogostemon cablin oil, spinacia oleracea (spinach) leaf extract, triethyl citrate, vetiveria zizanoides root extract, viola odorata leaf extract, zingiber officinale (ginger) root extract. this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,4
Body,Body Oils,'7383246667948,'41811448430764,Talm,Mega Oil Pregnancy & Postpartum,https://ohmycream.co.uk/collections/body-bodyoils/products/talm-mega-oil-pregnancy-postpartum-skincare?variant=41811448430764,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3770019640005_Mega_Oil_Talm.jpg?v=1658162612,"Complete list of ingredients

helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming **no essential oils, no alcohol. **safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,18
Body,Body Oils,'8074090578092,'43850258088108,Talm,Paloma Skincare Routine Pouch,https://ohmycream.co.uk/collections/body-bodyoils/products/talm-paloma-skincare-routine-pouch?variant=43850258088108,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Talm_BaluchonPalomaRoutineVisage_Packshot.jpg?v=1728556179,"Complete list of ingredients

la crème face cream aqua (water), c10-18 triglycerides, c15-19 alkane, glycerin, myristyl myristate, hydrogenated vegetable oil, prunus amygdalus dulcis (sweet almond) oil*, argania spinosa kernel oil*, glyceryl stearate citrate, prunus armeniaca (apricot) kernel oil*, pentylene glycol, centaurea cyanus flower water*, sodium stearoyl glutamate, sodium hyaluronate, aloe barbadensis leaf juice powder*,glyceryl caprylate, xanthan gum, , citric acid, sodium benzoate, sodium phytate, tocopherol, potassium sorbate. *ingredients issus de l'agriculture biologique *ingredients from organic farming

mega oil helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming contains no essential oils or alcohol. safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Oils,'15211240423804,'55142229737852,Oh My Cream Skincare,Sun Water SPF50+,https://ohmycream.co.uk/collections/body-bodyoils/products/oh-my-cream-skincare-sun-water-spf50?variant=55142229737852,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/EauSolaireSPF50_OMC.jpg?v=1745490199,"Complete list of ingredients

ingredients:aqua (water), c15-19 alkane, diisopropyl adipate, diisopropyl sebacate, diethylamino hydroxybenzoyl hexyl benzoate, butyloctyl salicylate, propanediol, bis-ethylhexyloxyphenol methoxyphenyl triazine, butyl methoxydibenzoylmethane, ethylhexyl triazone, glycerin, tocopheryl acetate, levulinic acid, sodium chloride, sodium levulinate, sodium benzoate, parfum (fragrance).

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.0,11
Body,Body Oils,'7996607692972,'43634139365548,Mirror Water,Smooth Body Oil,https://ohmycream.co.uk/collections/body-bodyoils/products/mirror-water-smooth-body-oil?variant=43634139365548,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Huilepourlecorps100ml_MirrorWater.jpg?v=1720000458,"Complete list of ingredients

vitis vinifera seed oil, ricinus communis seed oil, camellia oleifera seed oil, sclerocarya birrea seed oil, tocopherol, vetiveria zizanoides root oil, cedrus atlantica bark oil, citrus aurantium bergamia fruit oil, helianthus annuus seed oil, limonene, picea mariana leaf oil, linalool, citral.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Body,Body Oils,'7996607692972,'43634139332780,Mirror Water,Smooth Body Oil,https://ohmycream.co.uk/collections/body-bodyoils/products/mirror-water-smooth-body-oil?variant=43634139332780,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Huilepourlecorps50ml_MirrorWater.jpg?v=1720000459,"Complete list of ingredients

vitis vinifera seed oil, ricinus communis seed oil, camellia oleifera seed oil, sclerocarya birrea seed oil, tocopherol, vetiveria zizanoides root oil, cedrus atlantica bark oil, citrus aurantium bergamia fruit oil, helianthus annuus seed oil, limonene, picea mariana leaf oil, linalool, citral.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Body,Body Oils,'8026925990060,'43820264980652,Talm,Mega Oil Pregnancy & Postpartum Jumbo Size,https://ohmycream.co.uk/collections/body-bodyoils/products/talm-mega-oil-pregnancy-postpartum-skincare-jumbo-size?variant=43820264980652,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_Talm_Mega_Oil_format_jumbo_Packshot.jpg?v=1726667703,"Complete list of ingredients

helianthus annuus hybrid oil (helianthus annuus (sunflower) seed oil)*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, argania spinosa kernel oil*, helianthus annuus (sunflower) seed oil unsaponifiables*, undaria pinnatifida extract*, helianthus annuus (sunflower) seed oil, parfum (fragrance)**, caprylic/capric triglyceride, tocopherol. *ingredients from organic farming **no essential oils, no alcohol. **safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Oils,'7383221108908,'41811417694380,Susanne Kaufmann,Marigold Body Oil,https://ohmycream.co.uk/collections/body-bodyoils/products/marigold-body-oil?variant=41811417694380,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/packshot_marigold_body_oil_susanne_kaufmann.jpg?v=1664781159,"Complete list of ingredients

brassica campestris (rapeseed) seed oil, cetearyl ethylhexanoate, caprylic/capric triglyceride, stearyl heptanoate, rosa moschata seed oil, simmondsia chinensis (jojoba) seed oil, olea europaea (olive) fruit oil, helianthus annuus (sunflower) seed oil, stearyl caprylate, parfum, hypericum perforatum flower/leaf extract, calendula officinalis extract, tocopherol, tocopheryl acetate, limonene*, linalool*, benzyl salicylate*, citral*, citronellol*, geraniol*.(*components of essential oils)

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Body Oils,'7383227138220,'41811425329324,Tata Harper,Revitalizing Body Oil,https://ohmycream.co.uk/collections/body-bodyoils/products/tata-harper-revitalizing-body-oil?variant=41811425329324,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/851371002083_Tata_Harper_Revitallizing_Body_Oil_TINY.jpg?v=1658162400,"Complete list of ingredients

helianthus annuus (sunflower) seed oil*, olea europaea (olive) oil*, sambucus nigra fruit extract, argania spinosa kernel oil*, camellia oleifera seed oil*, camellia sinensis (green tea) seed oil*, oenothera biennis (evening primrose) oil*, prunus armeniaca (apricot) kernel oil*, simmondsia chinensis (jojoba) seed oil*, vitis vinifera (grape) seed oil*, plukenetia volubilis seed oil*, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, **boswellia carterii oil*, calendula officinalis (calendula) flower extract*, **citrus aurantium (neroli) oil, **citrus paradisi (grapefruit) oil, **jasminum grandiflorum (jasmine) co2 extract, medicago sativa (alfalfa) extract*, **pelargonium graveolens (geranium) oil, **santalum spicatum (sandalwood) wood oil, spiraea ulmaria (meadowsweet) extract*, tocopherol, limonene, linalool, citronellol, geraniol, farnesol, benzyl benzoate, citral, eugenol, benzyl alcohol *ingredients from organic farming **aroma this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.3,13
Body,Body Oils,'7383234445484,'41811436142764,Rudolph Care,Açai Body Oil,https://ohmycream.co.uk/collections/body-bodyoils/products/rudolph-care-acai-body-oil?variant=41811436142764,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/5710111001197_RUDOLPH-CARE_ACAI-BODY-OIL_200ML_TINY.jpg?v=1709633122,"Complete list of ingredients

octyldodecanol (vegetable oil), olea europaea fruit oil* (olive oil), simmondsia chinensis seed oil* (jojoba oil), prunus amygdalus dulcis oil* (sweet almond oil), euterpe oleracea fruit oil* (acai oil), tocopherol (vitamin e), glycine soja oil, parfum (natural) *ingredients from organic farming

100% natural origin of total 37% of the total ingredients are from organic farming

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
