Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Deodorants & Hygiene,'15205046288764,'55133050863996,Dr. Hauschka,Sage and Mint Deodorant,https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/dr-hauschka-sage-mont-roll-on-deodorant?variant=55133050863996,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202504_Dr_Hauschka_Sage_Mint_Deodorant_Packshot.png?v=1745326780,"Complete list of ingredients

water (aqua), alcohol, tapioca starch, triethyl citrate, glycerin, sodium silicate, salvia officinalis (sage) leaf extract, hamamelis virginiana (witch hazel) bark/leaf extract, salvia officinalis (sage) oil, mentha viridis leaf oil, fragrance (parfum)*, sucrose laurate, algin, citric acid, xanthan gum, lavandula oil/extract, citrus limon peel oil, citrus aurantium bergamia peel oil, pelargonium graveolens flower oil, eucalyptus globulus oil, citrus aurantium flower oil, linalyl acetate*, limonene*, linalool*, geraniol*, carvone*, pinene*, citral*, citronellol*, camphor*, beta-caryophyllene*, terpineol*, geranyl acetate*, sclareol*, coumarin*, menthol*.

*from natural essential oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Deodorants & Hygiene,'7811607232684,'43127705010348,Corpus,Natural Deodorant Neroli,https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/corpus-natural-deodorant-neroli?variant=43127705010348,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/NaturalDeodorant-Neroli-Corpus.jpg?v=1711461475,"Complete list of ingredients

*propylene glycol, aqua, *sodium stearate, **alcohol denat., *glycerin, *saccharomyces ferment filtrate, diatomaceous earth, ***parfum, silica, *polyglyceryl-4 laurate/succinate, *propanediol, *caprylyl/capryl glucoside, *citric acid, *glyceryl caprylate, **phenethyl alcohol, *polyglyceryl-5 oleate, *sodium chloride, *sodium cocoyl glutamate, *sorbitan oleate decylglucoside crosspolymer, *tapioca starch, *linalool, *limonene, *hexyl cinnamal, *geraniol, *citronellol, *citral, *benzyl benzonate.

key *plant based ** organic (grain alcohol derived from cane sugar) *** natural fragrances are essential oils and isolates, and not a result of synthetic chemistry

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.2,5
Body,Deodorants & Hygiene,'7383281795244,'41811524124844,Lebon,"Toothpaste ""Le White"" - Sweet Mint & Green Tea",https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/lebon-toothpaste-le-white?variant=41811524124844,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5430000463034_LE_BON_Dentifrice_Le_White_-_Menthe_Douce_The_Vert_14444.jpg?v=1658165508,"Complete list of ingredients

dicalcium phosphate dihydrate, glycerin, water (aqua), lauryl glucoside, hydrated silica, cellulose gum, citric acid, potassium sorbate, aroma, sodium benzoate, stevia rebaudiana extract, camellia sinensis (green tea) leaf water, linalool*, limonene*, aloe barbadensis leaf extract, carica papaya (papaya) fruit extract.

* from natural essentials oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.5,2
Body,Deodorants & Hygiene,'7383281795244,'41811524190380,Lebon,"Toothpaste ""Le White"" - Sweet Mint & Green Tea",https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/lebon-toothpaste-le-white?variant=41811524190380,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/5430000463096_LE_BON_Dentifrice_Le_White_-_Menthe_Douce_The_Vert_14423.jpg?v=1658165508,"Complete list of ingredients

dicalcium phosphate dihydrate, glycerin, water (aqua), lauryl glucoside, hydrated silica, cellulose gum, citric acid, potassium sorbate, aroma, sodium benzoate, stevia rebaudiana extract, camellia sinensis (green tea) leaf water, linalool*, limonene*, aloe barbadensis leaf extract, carica papaya (papaya) fruit extract.

* from natural essentials oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.5,2
Body,Deodorants & Hygiene,'7811606905004,'43127704682668,Corpus,Natural Deodorant No. Green,https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/corpus-natural-deodorant-no-green?variant=43127704682668,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/NaturalDeodorant-N_Vert-Corpus.jpg?v=1711461268,"Complete list of ingredients

*propylene glycol, aqua, *sodium stearate, **alcohol denat., *glycerin, *saccharomyces ferment filtrate, diatomaceous earth, ***parfum, silica, *polyglyceryl-4 laurate/succinate, *propanediol, *caprylyl/capryl glucoside, *citric acid, *glyceryl caprylate, **phenethyl alcohol, *polyglyceryl-5 oleate, *sodium chloride, *sodium cocoyl glutamate, *sorbitan oleate decylglucoside crosspolymer, *tapioca starch, *citral, *coumarin, *limonene, *linalool.

key *plant based ** organic (grain alcohol derived from cane sugar) *** natural fragrances are essential oils and isolates, and not a result of synthetic chemistry

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,6
Body,Deodorants & Hygiene,'7811607101612,'43127704879276,Corpus,Natural Deodorant Stick Santalum,https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/corpus-natural-deodorant-stick-santalum?variant=43127704879276,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/SantalumD_odorantNaturel_Corpus.jpg?v=1711727535,"Complete list of ingredients

*propylene glycol, aqua, *sodium stearate, **alcohol denat., *glycerin, *saccharomyces ferment filtrate, diatomaceous earth, ***parfum, silica, *polyglyceryl-4 laurate/succinate, *propanediol, *caprylyl/capryl glucoside, *citric acid, *glyceryl caprylate, **phenethyl alcohol, *polyglyceryl-5 oleate, *sodium chloride, *sodium cocoyl glutamate, *sorbitan oleate decylglucoside crosspolymer, *tapioca starch.

key *plant based ** organic (grain alcohol derived from cane sugar) *** natural fragrances are essential oils and isolates, and not a result of synthetic chemistry

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Deodorants & Hygiene,'7811607036076,'43127704780972,Corpus,Natural Deodorant Third Rose,https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/corpus-natural-deodorant-third-rose?variant=43127704780972,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/NaturalDeodorant-TroisiemeRose-Corpus.jpg?v=1711460953,"Complete list of ingredients

*propylene glycol, aqua, *sodium stearate, **alcohol denat., *glycerin, *saccharomyces ferment filtrate, diatomaceous earth, ***parfum, silica, *polyglyceryl-4 laurate/succinate, *propanediol, *caprylyl/capryl glucoside, *citric acid, *glyceryl caprylate, **phenethyl alcohol, *polyglyceryl-5 oleate, *sodium chloride, *sodium cocoyl glutamate, *sorbitan oleate decylglucoside crosspolymer, *tapioca starch, *citronellol, *eugenol, *geraniol, *limonene, *linalool.

key *plant based ** organic (grain alcohol derived from cane sugar) *** natural fragrances are essential oils and isolates, and not a result of synthetic chemistry

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Deodorants & Hygiene,'15205046059388,'55133050667388,Dr. Hauschka,Rose Deodorant Roll-On,https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/dr-hauschka-rose-deodorant-roll-on?variant=55133050667388,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202504_Dr_Hauschka_Rose_Deodorant_Packshot.png?v=1745326781,"Complete list of ingredients

water (aqua), simmondsia chinensis (jojoba) seed oil, alcohol, manihot utilissima (tapioca) starch, glycerin, zinc ricinoleate, ricinus communis (castor) seed oil, glyceryl caprylate, rosa damascena flower water, rosa damascena flower oil, fragrance (parfum)*, citronellol*, linalool*, geraniol*, eugenol*, limonene*, farnesol*, citral*, benzyl alcohol*, alchemilla vulgaris extract, cetearyl alcohol, cetearyl glucoside, hectorite, xanthan gum. * from natural essential oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Deodorants & Hygiene,'15195112472956,'55123929071996,Naturisimo,The Post-Partum Starter Kit,https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/post-partum-starter-kit?variant=55123929071996,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/StarterKitsImage.jpg?v=1745584618,"Complete list of ingredients

innersense hydrating hair mask water/aqua/eau, aloe barbadensis gel*, hydroxyethylcellulose, maltodextrin copolymer, potassium hydroxide, gluconolactone, sodium benzoate, calcium gluconate, alkyl acrylate crosspolymer, citrus aurantium dulcis peel oil, caprylic/capric triglyceride, potassium sorbate, sodium phytate, glycerin*, chamomilla recutita (matricaria) flower extract*, eucalyptus globulus leaf extract*, ginkgo biloba leaf extract*, aspalathus linearis leaf extract*, honey extract*, limonene†.

*certified organic a natural component of essential oils

green people baby wash & shampoo aqua (pure water), sodium coco-sulfate (from coconut), coco-glucoside (from coconut), glycerin (vegetable derived), cocamidopropyl betaine (from coconut), aloe barbadensis (aloe vera) leaf juice powder*, chamomilla recutita (chamomile) flower extract*, yucca schidigera (yucca) stem extract, potassium sorbate, sodium benzoate, gluconolactone, calcium gluconate, citric acid. *85.1% organic.

natural deodorant co deodorante balm lemon & geranium maranta arundinacea root, cocos nucifera (coconut) oil sodium bicarbonate, butyrospermum parkii (shea butter), olea europaea (olive) fruit oil, magnesium oxide, euphorbia cerifera (candelilla) wax, citrus medica limonum (lemon) peel oil, pelargonium graveolens (geranium) oil

q+a caffeine eye cream aqua (water), propylene glycol, betaine, pentylene glycol, caffeine, cucumis sativus (cucumber) fruit water, collagen, biosaccharide gum-1, camellia sinensis (green tea) leaf extract, punica granatum (pomegranate) extract, lonicera caprifolium (honeysuckle) flower extract, lonicera japonica (honeysuckle) flower extract, lactobacillus ferment filtrate, leuconostoc/radish root ferment filtrate, sodium phytate, glycerin, lactobacillus ferment, xanthan gum, alcohol, sodium levulinate, glyceryl caprylate, sodium anisate, lactic acid.

agent nateur body holi ageless body serum helianthus annuus (sunflower) seed oil, simmondsia chinensis (jojoba) fruit oil, prunus armeniaca (apricot) kernel oil, cocos nucifera (coconut) oil, vitis vinifera (grape) seed oil, oryza sativa (rice bran) oil, rosa rubiginosa fruit oil, ricinus communis seed oil, argania spinosa kernel oil, helichrysum extract, santalum album, calcium ketogluconate, sodium ascorbyl phosphate, aqua, rosa damascena flower oil, rosa damascena extract, glycerin, caffeine, theobromine, methy xanthine, paraxanthine

ren clean skincare evercalm™ overnight recovery balm coco-caprylate/caprate, glycerin, aqua (water), almond/borage/linseed/olive acids/glycerides, polyglyceryl-6 distearate, jojoba esters, oryza sativa starch, cetyl alcohol, glyceryl stearate, helianthus annuus (sunflower) seed oil unsaponifiables, glyceryl caprylate, polyglyceryl-3 beeswax, sodium stearoyl glutamate, benzyl alcohol, parfum (fragrance), hippophae rhamnoides oil, tocopherol, magnesium carboxymethyl beta-glucan, dehydroacetic acid, eclipta prostrata extract, eclipta prostrata leaf extract, moringa oleifera seed oil, helianthus annuus (sunflower) seed oil, rosmarinus officinalis leaf extract, citronellol, geraniol, limonene, linalool * 100% natural fragrance

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,48
Body,Deodorants & Hygiene,'7383282614444,'41811528089772,Lebon,"Toothpaste Rythm Is Love - Ylang Ylang, Yuzu & Mint",https://ohmycream.co.uk/collections/body-deodorants-hygiene/products/lebon-toothpaste-rythm-is-love?variant=41811528089772,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/LEBON_Rhythm_is_Love_20926_1c020f5e-2f97-4716-9dae-8387769e5149.jpg?v=1662541706,"Complete list of ingredients

dicalcium phosphate dihydrate, glycerin, water (aqua), lauryl glucoside,

hydrated silica, cellulose gum, citric acid, potassium sorbate, aroma, sodium

benzoate, stevia rebaudiana extract, camellia sinensis (green tea) leaf water,

linalool*, limonene*, aloe barbadensis leaf extract, carica papaya (papaya) fruit

extract. * from natural essentials oils",',0
