Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Hand & Foot Care,'15195171914108,'55123969409404,Naturisimo,The Natural Sleep Starter Kit,https://ohmycream.co.uk/collections/body-hands-feetcare/products/natural-sleep-starter-kit?variant=55123969409404,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheNaturalSleepStarterKit1.jpg?v=1745580616,"Complete list of ingredients

aromatherapy associates sleep mist aqua (water), glycerin, peg-40 hydrogenated castor oil, trideceth-9, vetiveria zizanoides (vetivert) root oil, pogostemon cablin (patchouli) leaf oil, citrus aurantium amara (bitter orange) leaf/twig oil, cananga odorata (ylang ylang) flower oil, linalool*, propylene glycol, fusanus spicatus (australian sandalwood) wood oil, sodium benzoate, citric acid, ormenis multicaulis (wild camomile) oil, potassium sorbate, farnesol*, benzyl alcohol*, benzy benzoate*, geraniol*, limonene* parfum (fragrance)**, benzyl salicylate*, isoeugenol*, citral*, anthemis nobilis (roman camomile) flower oil, eugenol*, benzyl cinnamate*.

*natural essential oil contents **natural plant extracts

aurelia london cell repair night oil runus amygdalus dulcis (sweet almond) oil, cannabis sativa (hemp) seed oil, triticum vulgare (wheat) germ oil, olea europaea (olive) fruit oil, schinziophyton rautanenii kernel (mongongo) oil, citrullus lanatus (watermelon) seed oil, punica granatum (pomegranate) seed oil, adansonia digitata (baobab) seed oil, kigelia africana fruit extract (kigelia africana), helianthus annuus (sunflower) seed oil, hibiscus sabdariffa flower extract, citrus aurantium dulcis (orange) flower oil, citrus nobilis (mandarin orange) peel oil, lavandula angustifolia (lavender) oil, rosa damascena flower oil, tocopherol, tocopheryl acetate, limonene*, linalool*, citronellol*, geraniol*, hydroxycitronellal*, citral* (*naturellement présent dans les huiles essentielles)

ren clean skincare glycol lactic radiance renewal mask aqua (water), glycerin, polysorbate 60, lecithin, lactic acid, vitis vinifera (grape) seed oil, ribes nigrum (black currant) seed oil, citrus limon (lemon) fruit extract, xanthan gum, vaccinium macrocarpon (cranberry) seed oil, maltodextrin, sodium lactate, carica papaya (papaya) fruit extract, ananas sativus (pineapple) fruit extract, glyceryl caprylate, passiflora edulis fruit extract, vitis vinifera (grape) fruit extract, parfum* (fragrance), citrus nobilis (mandarin orange) peel oil, citrus grandis (grapefruit) peel oil, citrus tangerina (tangerine) peel oil, citrus aurantium dulcis (orange) flower oil, alcohol denat., benzyl alcohol, phenoxyethanol, potassium sorbate, tocopherol, hippophae rhamnoides oil, helianthus annuus (sunflower) seed oil, rosmarinus officinalis (rosemary) leaf extract, sodium bisulfite, citral, geraniol, limonene, linalool* 100% natural fragrance - parfum 100% naturel

evolve nightly renew facial cream aqua (eau), isoamyl laurate, coco-caprylate/ caprate, glycerin, cetearyl alcohol, c10-18 triglycerides, candelilla/ jojoba/ rice son polyglyceryl-3 esters, glyceryl stearate, bidens pilosa extract, paeonia lactiflora root extract, sodium hyaluronate, poudre de jus de feuilles d'aloe barbadensis*, beurre de graines d'astrocaryum murumuru, huile de graines de gossypium herbaceum (coton), huile de graines de linum usitatissimum (graines de lin), huile de graines d'helianthus annuus (tournesol), stéarate de saccharose, lactylate de stéaroyle de sodium, cellulose microcristalline, lévulinate de sodium, cetearyl glucoside, déhydroacétate de sodium, parfum (parfum d'origine naturelle), gomme de cellulose, gomme xanthane, anisate de sodium, tocophérol, palmitate de saccharose, acide phytique, tréhalose, benzoate de sodium, sorbate de potassium, acide citrique, géraniol, limonène, linalol.

neom perfect night's sleep hand cream aqua (water, eau), cetearyl alcohol, helianthus annuus (sunflower) seed oil, butyrospermum parkii (shea) butter, glycerin, prunus amygdalus dulcis (sweet almond) oil, cera alba (beeswax), glyceryl stearate, sodium stearoyl glutamate, theobroma cacao (cocoa) seed butter, parfum (fragrance)*, olea europaea (olive) fruit oil, benzyl alcohol, linalool, linum usitatissimum (linseed) seed oil, sucrose stearate, xanthan gum, aloe barbadensis leaf juice powder, citric acid, limonene, dehydroacetic acid, tocopherol, citronellol, sodium phytate, geraniol, glycine soja (soybean) oil, benzyl benzoate, coumarin, citral, alcohol.*made with 100% natural essential oils including lavender, chamomile and patchouli.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,83
Body,Hand & Foot Care,'7383219994796,'41811416547500,Kure Bazaar,Ecological Manicure Ritual Hand Mask & Utensils,https://ohmycream.co.uk/collections/body-hands-feetcare/products/kure-bazaar-ecological-manicure-ritual-hand-mask-utensils?variant=41811416547500,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3760224020013_KURE-BAZAAR_Rituel-Manucure-Ecologique_Masque-Mains-_-UstensilesK-_sans-le-baton-de-buis__14154.jpg?v=1658162327,"Complete list of ingredients

hand cream : aqua, glycerin, butyrospermum parkii butter, simmondsia chinensis seed oil, cetearyl alcohol, c14-22 alcohol, prunus amygdalus dulcis oil, hippophae rhamnoides fruit extract, gevuina avellana seed oil, linum usitatissimum seed oil, sesamum indicum seed oil, benzyl alcohol, citrus aurantium dulcis peel oil expressed, limonene, c12-20 alkyl glucoside, xanthan gum, tocopherol, helianthus annuus seed oil, citrus limon fruit extract, maltodextrin, sodium bicarbonate, sodium hyaluronate, linalool, citral

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Body,Hand & Foot Care,'15211076616572,'55142009471356,L:a Bruket,Sage Rosemary Lavender Hand & Body Wash 094 Travel Size,https://ohmycream.co.uk/collections/body-hands-feetcare/products/sage-rosemary-lavender-hand-body-wash-094?variant=55142009471356,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/HAND_BODYWASHSageRosemaryLavende_LABRUKET__2.jpg?v=1748018078,"Complete list of ingredients

""aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).""

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Hand & Foot Care,'15204978786684,'55132945973628,Dr. Hauschka,Hydrating Hand Cream,https://ohmycream.co.uk/collections/body-hands-feetcare/products/dr-hauschka-hydrating-hand-cream?variant=55132945973628,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_Dr_Hauschka_Hydrating_Hand_Cream_Packshot.png?v=1745326781,"Complete list of ingredients

water/aqua, alcohol, glycerin, althaea officinalis (marsh mallow) root extract, prunus amygdalus dulcis (sweet almond) oil, anthyllis vulneraria extract, daucus carota sativa (carrot) root extract, cetearyl alcohol, beeswax/cera flava, prunus spinosa (blackthorn) flower extract, arachis hypogaea (peanut) oil, simmondsia chinensis (jojoba) seed oil, triticum vulgare (wheat) germ oil, bentonite, lactose,kalanchoe daigremontiana extract, fragrance/parfum (essential oil), limonene, linalool, citronellol, geraniol, citral,farnesol, benzyl benzoate, eugenol, benzyl salicylate, lysolecithin (hydrolyzed lecithin), xanthan gum.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Hand & Foot Care,'14879838208380,'54834553225596,Odacité,Retinol Therapy Renewing Hand Cream,https://ohmycream.co.uk/collections/body-hands-feetcare/products/odacite-retinol-therapy-renewing-hand-cream?variant=54834553225596,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2025_01_CremeRenovatriceMains_Odacite_Carre.jpg?v=1737457359,"Complete list of ingredients

aloe barbadensis [aloe vera*] leaf juice , glycerin, cetearyl alcohol, theobroma cacao [cocoa*] seed butter, caprylic/capric triglyceride, glyceryl stearate, ceteareth-25, stearic acid, cocos nucifera [coconut] oil, sodium pca, tapioca starch, retinyl palmitate, cellulose acetate butyrate, tricaprylin, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, persea gratissima [avocado] oil, sodium levulinate, potassium sorbate, cellulose gum, xanthan gum, niacinamide [vitamin b3], glyceryl caprylate, sodium hyaluronate [hyaluronic acid], dl-panthenol [vitamin b5], avena sativa [colloidal oatmeal] kernel flour, butyrospermum parkii [shea] butter, camellia oleifera seed oil, calendula officinalis [calendula] extract, pelargonium graveolens var roseum [rose geranium*] oil, mica, steareth-20, n-hydroxysuccinimide, chrysin, palmitoyl tripeptide-1, palmitoyl tetrapeptide-7, chlorhexidine digluconate, chamomilla recutita [matricaria] flower extract, origanum vulgare [oregano] oil, retinol, lactobacillus/tomato fruit ferment extract, lavandula angustifolia [lavender] flower water, calanthe discolor extract, gluconolactone, calcium gluconate, acetic acid [apple cider vinegar], borago officinalis [borage*] seed oil, melaleuca alternifolia [tea tree] leaf oil, cyanocobalamin [vitamin b12], dicalcium phosphate, melissa officinalis [lemon balm] hydrosol, mentha piperita [peppermint*] oil

*organic



this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Hand & Foot Care,'15031064428924,'54942124540284,Pai Skincare,Gentle Genius™ Barrier Care Rapid Rescue Hand Cream,https://ohmycream.co.uk/collections/body-hands-feetcare/products/pai-skincare-gentle-genius-barrier-care-rapid-rescue-hand-cream?variant=54942124540284,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202502_CremeMainReparatrice_Pai__1.jpg?v=1740395605,"Complete list of ingredients

aqua (water), glycerin**, olea europaea fruit oil* (olive), glyceryl stearate citrate, helianthus annuus seed oil* (sunflower), myristyl myristate, hydrogenated coco-glycerides, heptyl undecylenate, glyceryl stearate, simmondsia chinensis seed oil* (jojoba), cellulose, vitis vinifera seed oil* (grape), avena sativa kernel extract (oat), butyrospermum parkii butter (shea butter), moringa oleifera seed oil (moringa), limnanthes alba (meadowfoam), macadamia integrifolia seed oil (macadamia), inulin, hyaluronate, ceramide np, phytosphingosine, xanthan gum, sodium levulinate, glyceryl caprylate, sodium anisate, polyglyceryl-3 distearate, tocopherol* (vitamin e), hydrogenated lecithin, lactic acid, sodium sodium phytate, fructose, parfum (100% natural kindscent)

of total: 100% natural origin/ sur total: 100% d'origine naturelle *organic ingredient / ingrédient biologique **made using organic and non-organic ingredients / formulé à partir d'ingrédients biologiques et non-biologiques

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Body,Hand & Foot Care,'7808281936044,'43117072875692,L:a Bruket,Hand Cream Bergamot Patchouli 102,https://ohmycream.co.uk/collections/body-hands-feetcare/products/la-bruket-hand-cream-bergamot-patchouli-102?variant=43117072875692,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/CrememainsBergamotPatchouli_LABruket.jpg?v=1713341171,"Complete list of ingredients

aqua (water), glycerin, sorbitan olivate, betaine, cetearyl olivate, butyrospermum parkii (shea) butter, cocos nucifera (coconut) oil, limnanthes alba seed (meadowfoam) oil, cetyl palmitate, cetyl alcohol, stearyl alcohol, sorbitan palmitate, parfum, benzyl alcohol, sclerotium gum, juniperus virginiana (cedarwood) oil, allantoin, pogostemon cablin (patchouli) oil, citrus aurantium bergamia (bergamot) fruit oil, limonene, salicylic acid, sorbic acid, linalool, sodium hydroxide, citral.

*en provenance de l'agriculture biologique

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Hand & Foot Care,'7383226056876,'41811423920300,Susanne Kaufmann,Hand Soap,https://ohmycream.co.uk/collections/body-hands-feetcare/products/susanne-kaufmann-hand-soap?variant=41811423920300,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/packshot_hand_soap_SF.jpg?v=1664781176,"Complete list of ingredients

aqua (water), sodium c14-16 olefin sulfonate, polyglyceryl-3 caprate, pentylene glycol, cocamidopropyl betaine, glycerin, hydroxypropyl guar hydroxypropyltrimonium chloride, triticum vulgare (wheat) germ oil, aloe barbadensis leaf powder, maltodextrin, equisetum arvense extract, coconut acid, sodium benzoate, sodium chloride, parfum.(fragrance from natural scents).

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Hand & Foot Care,'7383243227308,'41811445350572,Susanne Kaufmann,Hand Cream,https://ohmycream.co.uk/collections/body-hands-feetcare/products/susanne-kaufmann-hand-cream?variant=41811445350572,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/packshot_hand_cream_SF.jpg?v=1664781279,"Complete list of ingredients

aqua (water), pentylene glycol, caprylic/capric triglyceride, glycerin, glyceryl stearate, brassica, oleracea italica (broccoli) seed oil, ethylhexyl palmitate, juglans regia (walnut) seed oil, cetyl alcohol, stearyl alcohol, tocopheryl acetate, hamamelis virginiana (witch hazel) leaf water, aloe barbadensis leaf powder, malva sylvestris (mallow) extract, maltodextrin, mel, sodium hyaluronate, sodium stearoyl glutamate, alcohol denat., hydrogenated lecithin, sodium hydroxide, carbomer, cholesterol, sorbitol, parfum.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Hand & Foot Care,'7779640836268,'43028018299052,L:a Bruket,Hand Cream Lemongrass 159,https://ohmycream.co.uk/collections/body-hands-feetcare/products/la-bruket-hand-cream-lemongrass-159?variant=43028018299052,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/CremeMainsn159-Lemongrass_LABRUKET.jpg?v=1708616583,"Complete list of ingredients

aqua, aloe barbadensis (aloe vera) leaf juice*, glycerin, sorbitan olivate, betaine, cetearyl olivate, butyrospermum parkii (shea) butter*, limnanthes alba seed (meadowfoam) oil, cocos nucifera (coconut) oil*, cetyl palmitate, cetyl alcohol, stearyl alcohol, sorbitan palmitate, benzyl alcohol, parfum, sclerotium gum, cymbopogon citratus leaf (lemongrass) oil, rosmarinus officinalis leaf (rosemary) oil, salicylic acid, sorbic acid, sodium hydroxide, citral, limonene, geraniol, linalool

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
