Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Scrubs & Exfoliants,'7383283761324,'41811530121388,Herbivore Botanicals,Coco Rose Exfoliating Body Scrub,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/herbivore-coco-rose-exfoliating-body-scrub?variant=41811530121388,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/SansRef_HERBIVORE_Coco_Rose_Gommage_Corps_TINY.jpg?v=1658165514,"Complete list of ingredients

sucrose, cocos nucifera (coconut) oil*, caprylic/capric triglyceride*, cetearyl olivate, butyrospermum parkii (shea) butter*, limnanthes alba (meadowfoam) seed oil, sorbitan olivate, kaolin, rosa damascena flower extract

*these ingredients are certified organic.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,7
Body,Scrubs & Exfoliants,'7791493480620,'43093697396908,Goop Beauty,Microderm Instant Glow Body Polish,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/goop-beauty-microderm-instant-glow-body-polish?variant=43093697396908,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/ExfoliantCorpsMicrodermee_clatInstantan_e_GoopBeauty.jpg?v=1709636728,"Complete list of ingredients

aqua, alumina, glycerin, cetearyl alcohol, glycolic acid, hydrated silica, limnanthes alba (meadowfoam) seed oil, squalane, glyceryl stearate, cetearyl olivate, sodium hydroxide, sorbitan olivate, garnet powder, quartz, ascorbic acid, terminalia ferdinandiana fruit extract, zizyphus jujuba seed extract, terminalia ferdinandiana seed oil, olea europaea (olive) leaf extract, carthamus tinctorius (safflower) seed oil, citrus aurantifolia (lime) oil, citrus aurantium dulcis (orange) peel oil, citrus limon (lemon) peel oil, citrus nobilis (mandarin orange) oil, lavendula hybrida oil, vetiveria zizanoides root oil, butyrospermum parkii (shea) butter, glyceryl caprylate, sodium stearoyl glutamate, citric acid, phenethyl alcohol, xylitol, caprylic acid, caprylhydroxamic acid, galactoarabinan, decyl glucoside, levan, dehydroxanthan gum, caprylyl glycol, citral, limonene

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.5,10
Body,Scrubs & Exfoliants,'15171493364092,'55097127240060,Evolve Organic Beauty,Tropical Blossom Body Polish,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/evolve-tropical-blossom-body-polish?variant=55097127240060,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202504_Evolve_Tropical_Blossom_Body_Polish_Packshot.png?v=1744902483,"Complete list of ingredients

sucrose*, helianthus annuus (sunflower) seed oil, cocos nucifera (coconut) oil, glycerin**, prunus amygdalus dulcis (sweet almond) seed oil*, gardenia tahitensis flower extract, parfum (naturally derived fragrance), citrus aurantium dulcis (orange) fruit water*, sucrose laurate, sucrose stearate, sucrose palmitate, tocopherol, linalool. *ingredients from organic farming **made using organic ingredients

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Scrubs & Exfoliants,'7476379844780,'42091903877292,Rudolph Care,Açai Body Scrub,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/acai-body-scrub?variant=42091903877292,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Acai_Body_Scrub_Rudolph_Care.jpg?v=1664473326,"Complete list of ingredients

caprylic/capric triglyceride, glycerin, olea europaea fruit oil* (olive oil), prunus armeniaca seed powder* (abricot seed scrub ), brassica campestris seed oil* (rapeseed oil), brassica napus seed oil* (rapeseed oil), aqua, sucrose laurate, sucrose palmitate, euterpe oleracea fruit extract (açai extract), parfum (natural), sucrose stearate, citric acid, sodium benzoate *ingredients from organic farming 99% natural origin of total 33% of the total ingredients are from organic farming

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'1.0,1
Body,Scrubs & Exfoliants,'7927037591724,'43453911892140,L:a Bruket,Sea Salt Scrub Lemongrass 297,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/la-bruket-sea-salt-scrub-lemongrass-297?variant=43453911892140,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/297SEASALTSCRUBLemongrass_LABruket.jpg?v=1716807737,"Complete list of ingredients

sodium chloride, prunus amygdalus dulcis (almond) oil, brassica campestris (rapeseed) seed oil*, carthamus tinctorius (safflower) seed oil*, parfum, rosmarinus officinalis (rosemary) leafoil,cymbopogon citratus (lemongrass) leafoil,tocopherol, helianthus annuus (sunflower) seed oil, citral, limonene, geraniol, linalool

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Scrubs & Exfoliants,'15116043616636,'55030494855548,L:a Bruket,Exfoliating Body Serum 326,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/l-a-bruket-exfoliating-body-serum-326?variant=55030494855548,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/326_Exfoliating_Body_Serum_LABruket.jpg?v=1745419664,"Complete list of ingredients

aqua / water / eau, glycerin, gluconolactone, lactic acid, hydrogenated ethylhexyl olivate, betaine, sodium hydroxide, sodium citrate, rhodiola rosea callus extract, sodium hyaluronate, aloe barbadensis (aloe vera) leaf juice powder*, maris aqua / sea water / eau de mer, vitis vinifera (grape) flower cell extract, chlorella vulgaris extract, bisabolol, glyceryl caprylate, sclerotium gum, xanthan gum, hydrolyzed algin, biosaccharide gum-1, caramel, maltodextrin, hydrogenated olive oil unsaponifiables, sodium levulinate, p-anisic acid, citric acid, parfum / fragrance, limonene, linalool, geraniol, citronellol, citral.
*from organic agriculture

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Scrubs & Exfoliants,'7818079731884,'43344268492972,L:a Bruket,Sea Salt Scrub Sage/Rosemary/Lavender 063,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/la-bruket-sea-salt-scrub-sage-rosemary-lavender-063?variant=43344268492972,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Gommageauseldemersauge_romarin_lavande063_LABruket.jpg?v=1713353724,"Complete list of ingredients

sodium chloride (sea salt), prunus amygdalus dulcis (sweet almond) oil, brassica campestris (rapeseed) seed oil, carthamus tinctorius (safflower) seed oil, rosmarinus officinalis (rosemary) leaf oil, lavandula angustifolia (lavender) flower oil, salvia sclarea (clary sage this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Scrubs & Exfoliants,'7927037558956,'43453911859372,L:a Bruket,Sea Salt Scrub Bergamot Patchouli 296,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/la-bruket-sea-salt-scrub-bergamot-patchouli-296?variant=43453911859372,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/296SEASALTSCRUBBergamotPatchouli_LABruket.jpg?v=1716807622,"Complete list of ingredients

sodium chloride, prunus amygdalus dulcis (almond) oil, brassica campestris (rapeseed) seed oil*, carthamus tinctorius (safflower) seed oil*, parfum, juniperus virginiana oil, pogostemon cablin (patchouli) oil, citrus aurantium bergamia (bergamot) peel oil*,tocopherol, helianthus annuus (sunflower) seed oil, limonene, linalool* from organic agriculture

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Scrubs & Exfoliants,'7769115918508,'42989057769644,Odacité,C-Smooth Hydra Firm Body Polish Scrub,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/odacite-smooth-body-scrub?variant=42989057769644,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/C-SmoothHydra-FirmBodyPolish_Odacit.jpg?v=1709552058,"Complete list of ingredients

sucrose*, carthamus tinctorius [safflower*] seed oil, butyrospermum parkii [shea*] butter, mangifera indica [mango*] seed butter, sodium cocoyl isethionate, daucus carota [wild carrot] seed oil, tetrahexyldecyl ascorbate, rosmarinus officinalis [rosemary*] antioxidant, tocopherol*, helianthus annuus [sunflower] seed oil, terminalia ferdinandiana [kakadu] fruit extract, citrus aurantium dulcis [sweet orange*] peel oil, ocimum basilicum [basil] oil, linalool, citral *organic

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Body,Scrubs & Exfoliants,'15105355219324,'55019314545020,Oh My Cream,The Wellness Pouch by Natasha Andrews x Oh My Cream,https://ohmycream.co.uk/collections/body-scrubs-exfoliants/products/wellness-pouch-by-natasha-andrews-oh-my-cream?variant=55019314545020,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TrousseNatashaAndrews2_33df5a82-604b-4985-9a6a-70d233370c1c.png?v=1743693301,"Complete list of ingredients

matière : 100% cotton made in tunisia recyclage : déposer ce produit dans les points de collecte textile en france. convient pour le recyclage ou la réutilisation des textiles. ne pas jeter dans les déchets ménagers.

dimension : 27,5 x 31,5 x 19cm

microderm instant glow gommage corps aqua, alumina, glycerin, cetearyl alcohol, glycolic acid, hydrated silica, limnanthes alba (meadowfoam) seed oil, squalane, glyceryl stearate, cetearyl olivate, sodium hydroxide, sorbitan olivate, garnet powder, quartz, ascorbic acid, terminalia ferdinandiana fruit extract, zizyphus jujuba seed extract, terminalia ferdinandiana seed oil, olea europaea (olive) leaf extract, carthamus tinctorius (safflower) seed oil, citrus aurantifolia (lime) oil, citrus aurantium dulcis (orange) peel oil, citrus limon (lemon) peel oil, citrus nobilis (mandarin orange) oil, lavendula hybrida oil, vetiveria zizanoides root oil, butyrospermum parkii (shea) butter, glyceryl caprylate, sodium stearoyl glutamate, citric acid, phenethyl alcohol, xylitol, caprylic acid, caprylhydroxamic acid, galactoarabinan, decyl glucoside, levan, dehydroxanthan gum, caprylyl glycol, citral, limonene

afterglow body oil huile corps éclat helianthus annuus (sunflower) seed oil, caprylic/capric triglyceride, hydrogenated ethylhexyl olivate,sesamum indicum (sesame) seed oil,olea europaea (olive) fruit oil, vitis vinifera (grape) seed oil, canola oil, punica granatum seed oil, silica, squalane, zea mays (corn) starch, raspberry seed oil/tocopheryl succinate aminopropanediol esters, hydrogenated olive oil unsaponifiables, rosmarinus officinalis (rosemary) extract, coconut alkanes, coco-caprylate/caprate, hippophae rhamnoides fruit oil, terminalia ferdinandiana seed oil, tocopherol, beta-sitosterol, squalene, limonene, evernia prunastri (oakmoss) extract, coumarin, linalool, amyris balsamifera bark oil, aquilaria agallocha wood oil, cistus ladaniferus leaf/stem extract, elettaria cardamomum seed oil, gamma-nonalactone, ionone, juniperus virginiana oil, pelargonium graveolens flower oil, pogostemon cablin oil, spinacia oleracea (spinach) leaf extract, triethyl citrate, vetiveria zizanoides root extract, viola odorata leaf extract, zingiber officinale (ginger) root extract.

l'hydratant complément aux electrolytes malate de citrate de calcium, citrate de potassium, poudre d’eau de coco (cocos nucifera l.), bisglycinate de magnésium, arôme naturel de fruits rouges, chlorure de sodium, extrait d’acérola (malpighia glabra l.) titré en vitamine c, hyaluronate de sodium, poudre de jus de betterave, bisglycinate de zinc.

brosse à sec corps support en bois de hêtre anse en polyester poils synthétiques

huile buccale sesamum indicum (black sesame) seed oil, mentha piperita (peppermint) oil, eugenia caryophyllus (clove) leaf oil, cinnamomum verum (cinnamon) leaf oil.

palo santo bois de palo santo naturel (burnera graveolens) récolté de façon éthique sur arbres déjà morts.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,10
