Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Body,Targeted Care,'7650567782572,'42633735209132,Bouche Bée,Ona Sex Toy & Clitoral Stimulator,https://ohmycream.co.uk/collections/body-targetedcare/products/bouche-bee-ona-sex-toy-clitoral-stimulator?variant=42633735209132,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/OnaStimulateurClitoridienVibrant_BlushIntimacy.jpg?v=1721911084,"Complete list of ingredients

made with medical grade silicone. made in china.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'2.0,1
Body,Targeted Care,'7662173552812,'42680491868332,Maude,Wash pH Balancing Body Wash & Bubble Bath,https://ohmycream.co.uk/collections/body-targetedcare/products/maude-wash-ph-balancing-body-wash-bubble-bath?variant=42680491868332,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/WashBodyWash_Maude.jpg?v=1722007573,"Complete list of ingredients

aqua/water/eau, cocamidopropyl betaine, glycerin, sodium methyl cocoyl taurate, sodium chloride, decyl glucoside, sodium lauroyl methyl isethionate, disodium, cocoamphodiacetate, benzyl alcohol, coco-glucoside, glyceryl oleate, coconut fatty acid, sodium citrate, ethylhexylglycerin, citric acid, hydrolyzed jojoba esters, panthenol, tetrasodium glutamate diacetate, dehydroacetic acid, aloe barbadensis leaf juice, argania spinosa kernel oil, citrus limon (lemon) peel extract, limnanthes alba (meadowfoam) seed oil, niacinamide, tocopheryl acetate, citrus aurantium dulcis (orange) fruit extract, camellia sinensis leaf extract, olea europaea (olive) leaf extract, canola oil, ascorbic acid, sodium hydroxide)

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Targeted Care,'7741462413484,'42881197211820,Bouche Bée,Lube Moisturising Lubricant,https://ohmycream.co.uk/collections/body-targetedcare/products/bouche-bee-lube-moisturising-lubricant?variant=42881197211820,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/LubeLubrifiantabased_eau_BlushIntimacy.jpg?v=1722246519,"Complete list of ingredients

aqua, propanediol, glycerin, xanthan gum, inulin, sodium lactate, alpha-glucan oligosaccharide, sodium hyaluronate, lactic acid, sodium benzoate, potassium sorbate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Body,Targeted Care,'7625293562028,'42561095827628,L:a Bruket,Firming Body Serum 290,https://ohmycream.co.uk/collections/body-targetedcare/products/la-bruket-firming-body-serum-290?variant=42561095827628,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/FirmingBodySerumSeaHollyRedAlgae.jpg?v=1685981114,"Complete list of ingredients

aqua, glycerin, hydrogenated ethylhexyl olivate, betaine, eryngium maritimum callus culture filtrate, palmaria palmata extract, sodium hyaluronate, aloe barbadensis leaf powder*, bisabolol, hippophae rhamnoides fruit extract, lactic acid, sodium levulinate, glyceryl caprylate, sclerotium gum, xanthan gum, sodium anisate, hydrogenated olive oil unsaponifiables, biosaccharide gum-1, rosmarinus officinalis leaf extract, parfum, linalool, limonene. *from organic agriculture.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Targeted Care,'7383241982124,'41811444039852,Bioeffect,EGF Body Serum,https://ohmycream.co.uk/collections/body-targetedcare/products/bioeffect-egf-body-serum?variant=41811444039852,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Serum_EGF_Corps_TINY.jpg?v=1658162562,"Complete list of ingredients

water (aqua), glycerin, sodium hyaluronate, phenoxyethanol, hydroxyethyl cellulose, sodium chloride, barley seed extract (horderum vulgare), egf (barley sh- oligopeptide-1)

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Targeted Care,'7383246635180,'41811448397996,Talm,Mega Body Serum Pregnancy & Post-Partum,https://ohmycream.co.uk/collections/body-targetedcare/products/talm-mega-body-serum-pregnancy-post-partum?variant=41811448397996,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/packshot_mega_serum_corps_talm.jpg?v=1664781305,"Complete list of ingredients

aqua (water), glycerin, pentylene glycol, helianthus annuus (sunflower) seed oil unsaponifiables*, argania spinosa kernel oil*, glyceryl citrate/lactate/linoleate/oleate, helianthus annuus hybrid oil*, prunus amygdalus dulcis (sweet almond) oil*, sesamum indicum (sesame) seed oil*, aloe barbadensis leaf juice powder*, helianthus annuus (sunflower) seed oil, microcrystalline cellulose, xanthan gum, cellulose gum, potassium sorbate, parfum (fragrance)**, citric acid, sodium hydroxid, tocopherol.

*ingredients from organic farming no essential oils, no alcohol. safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Targeted Care,'7993877823660,'43622718308524,Bouche Bée,Emoi Orgasmic Stimulating Gel,https://ohmycream.co.uk/collections/body-targetedcare/products/bouche-bee-emoi-orgasmic-stimulating-gel?variant=43622718308524,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_07_BoucheBee_Gelstimulantorgasmique_Packshot.jpg?v=1722247324,Complete list of ingredients,',0
Body,Targeted Care,'7662173520044,'42668672549036,Maude,Shine Organic Lubricant,https://ohmycream.co.uk/collections/body-targetedcare/products/maude-shine-organic-lubricant?variant=42668672549036,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/ShineLubrifiant_Maude.jpg?v=1722006702,"Complete list of ingredients

aloe barbadensis leaf juice, propanediol, tremella fuciformis (mushroom) extract, gluconolactone, sodium hyaluronate, chenopodium quinoa seed extract, cannabis sativa seed extract, linum usitatissimum (linseed) seed extract, camellia sinensis leaf extract, avena sativa (oat) kernel extract, hydroxyethylcellulose, xanthan gum, sodium benzoate, potassium sorbate, citric acid.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Targeted Care,'7383246602412,'41811448365228,Talm,Mega Balm Pregnancy & Postpartum,https://ohmycream.co.uk/collections/body-targetedcare/products/talm-mega-balm-pregnancy-postpartum-care?variant=41811448365228,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3770019640012_Mega_Balm_Talm.jpg?v=1658162610,"Complete list of ingredients

aqua (water), prunus amygdalus dulcis (sweet almond) oil*, cetearyl alcohol, glycerin, butyrospermum parkii (shea) butter*, pentylene glycol, sesamum indicum (sesame) seed oil*, cetearyl glucoside, helianthus annuus (sunflower) seed oil, aloe barbadensis leaf juice powder*, parfum (fragrance), potassium sorbate, citric acid, sodium hydroxide, tocopherol.

*ingredients from organic farming no essential oils, no alcohol. safe for pregnancy and breastfeeding. **100% natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Body,Targeted Care,'7993877790892,'43622718275756,Bouche Bée,Nuée External Massager,https://ohmycream.co.uk/collections/body-targetedcare/products/bouche-bee-nuee-external-massager?variant=43622718275756,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/GaletvibrantNuee_BoucheB_e__1.jpg?v=1722248037,"Complete list of ingredients

made with medical grade silicone. made in china.

2-year guarantee

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
