Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Hair,Conditioner,'15159996776828,'55084686967164,Innersense,Hydrating Cream Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/innersense-hydrating-cream-conditioner?variant=55084686967164,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Hydrating_Cream_Conditione_Innersense.jpg?v=1749116241,"Complete list of ingredients

water/aqua/eau, cetearyl alcohol, glycerin, behentrimonium methosulfate, aloe barbadensis (aloe vera) leaf gel*, stearalkonium chloride, diheptyl succinate, capryloyl glycerin, cocos nucifera* , cananga odorata flower oil, lavandula angustifolia (lavender) oil*, citrus aurantium dulcis (orange) peel oil*, salvia sclarea (clary) oil, vanillin, pogostemon cablin oil, glycine soja (soybean) oil, cocos nucifera (coconut) oil*, sodium benzoate, oryza sativa (rice) extract*, theobroma cacao (cocoa) seed butter*, potassium sorbate, guar hydroxypropyltrimonium chloride, citric acid, cetyl hydroxyethylcellulose, linum usitatissimum (linseed) seed oil, calophyllum inophyllum (tamanu) oil*, hydrolyzed rice protein, plumeria acutifolia (monoi) flower extract, persea gratissima (avocado) oil*, butyrospermum parkii (shea butter)*, simmondsia chinensis (jojoba) seed oil*, hydrolyzed quinoa, benzyl alcohol, taraxacum officinale (dandelion) leaf extract, salvia officinalis (sage) leaf extract, melissa officinalis leaf extract, linalool, limonene. *certified organic a natural component of essential oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,39
Hair,Conditioner,'15159996776828,'55084687032700,Innersense,Hydrating Cream Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/innersense-hydrating-cream-conditioner?variant=55084687032700,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_Innersense_Hydrating_Cream_Conditioner_Mini_packshot.jpg?v=1754907889,"Complete list of ingredients

water/aqua/eau, cetearyl alcohol, glycerin, behentrimonium methosulfate, aloe barbadensis (aloe vera) leaf gel*, stearalkonium chloride, diheptyl succinate, capryloyl glycerin, cocos nucifera* , cananga odorata flower oil, lavandula angustifolia (lavender) oil*, citrus aurantium dulcis (orange) peel oil*, salvia sclarea (clary) oil, vanillin, pogostemon cablin oil, glycine soja (soybean) oil, cocos nucifera (coconut) oil*, sodium benzoate, oryza sativa (rice) extract*, theobroma cacao (cocoa) seed butter*, potassium sorbate, guar hydroxypropyltrimonium chloride, citric acid, cetyl hydroxyethylcellulose, linum usitatissimum (linseed) seed oil, calophyllum inophyllum (tamanu) oil*, hydrolyzed rice protein, plumeria acutifolia (monoi) flower extract, persea gratissima (avocado) oil*, butyrospermum parkii (shea butter)*, simmondsia chinensis (jojoba) seed oil*, hydrolyzed quinoa, benzyl alcohol, taraxacum officinale (dandelion) leaf extract, salvia officinalis (sage) leaf extract, melissa officinalis leaf extract, linalool, limonene. *certified organic a natural component of essential oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,39
Hair,Conditioner,'15159996776828,'55084686999932,Innersense,Hydrating Cream Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/innersense-hydrating-cream-conditioner?variant=55084686999932,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Hydrating_Cream_Conditioner_Packshot.png?v=1754907889,"Complete list of ingredients

water/aqua/eau, cetearyl alcohol, glycerin, behentrimonium methosulfate, aloe barbadensis (aloe vera) leaf gel*, stearalkonium chloride, diheptyl succinate, capryloyl glycerin, cocos nucifera* , cananga odorata flower oil, lavandula angustifolia (lavender) oil*, citrus aurantium dulcis (orange) peel oil*, salvia sclarea (clary) oil, vanillin, pogostemon cablin oil, glycine soja (soybean) oil, cocos nucifera (coconut) oil*, sodium benzoate, oryza sativa (rice) extract*, theobroma cacao (cocoa) seed butter*, potassium sorbate, guar hydroxypropyltrimonium chloride, citric acid, cetyl hydroxyethylcellulose, linum usitatissimum (linseed) seed oil, calophyllum inophyllum (tamanu) oil*, hydrolyzed rice protein, plumeria acutifolia (monoi) flower extract, persea gratissima (avocado) oil*, butyrospermum parkii (shea butter)*, simmondsia chinensis (jojoba) seed oil*, hydrolyzed quinoa, benzyl alcohol, taraxacum officinale (dandelion) leaf extract, salvia officinalis (sage) leaf extract, melissa officinalis leaf extract, linalool, limonene. *certified organic a natural component of essential oils

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,39
Hair,Conditioner,'7383229497516,'41811430015148,Rahua,Hydration Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/rahua-hydration-conditioner?variant=41811430015148,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Rahua_Hydration_Conditioner_21215.jpg?v=1674222621,"Complete list of ingredients

aqua, herbal infusion of organic mangifera indica (mango) fruit extract, organic passiflora incarnate (passion) fruit extract, organic aloe barbadensis leaf extract and organic camellia sinensis (green tea) leaf extract, behentrimonium methosulfate*, cetearyl alcohol*, oenocarpus bataua (rahua ungurahua) oil, plukenetia volubilis (sacha inchi) seed oil, sucrose, mauritia flexuosa (morete) fruit oil, hydrolyzed quinoa protein, vegetable glycerin, kaolinite (rose clay), natural aroma, cymbopogon nardus (citronella) oil, glycine*, behentrimonium chloride*, potassium sorbate, guar hydroxypropyltrimonium chloride*. *denotes plant derived ingredient

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,16
Hair,Conditioner,'7383229497516,'41811429982380,Rahua,Hydration Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/rahua-hydration-conditioner?variant=41811429982380,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Rahua_Hydration_Conditioner_Format_Voyage__21236_0859e6b6-7cae-41ca-8d9e-8d19e974da9c.jpg?v=1674222621,"Complete list of ingredients

aqua, herbal infusion of organic mangifera indica (mango) fruit extract, organic passiflora incarnate (passion) fruit extract, organic aloe barbadensis leaf extract and organic camellia sinensis (green tea) leaf extract, behentrimonium methosulfate*, cetearyl alcohol*, oenocarpus bataua (rahua ungurahua) oil, plukenetia volubilis (sacha inchi) seed oil, sucrose, mauritia flexuosa (morete) fruit oil, hydrolyzed quinoa protein, vegetable glycerin, kaolinite (rose clay), natural aroma, cymbopogon nardus (citronella) oil, glycine*, behentrimonium chloride*, potassium sorbate, guar hydroxypropyltrimonium chloride*. *denotes plant derived ingredient

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,16
Hair,Conditioner,'7558167036076,'42337589919916,Rahua,Enchanted Island Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/enchanted-island-conditioner-rahua?variant=42337589919916,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Enchanted-Island-Conditioner_Rahua.jpg?v=1677150327,"Complete list of ingredients

aqua, herbal infusion of organic ilex guayusa leaf extract, organic aloe barbadensis leaf extract, and organic psidium guajava (guava) leaf extract, behentrimonium methosulfate*, cetearyl alcohol*, oenocarpus bataua (rahua ungurahua) oil, stearalkonium chloride, organic cocos nucifera (coconut) fruit oil, organic mauritia flexuosa fruit (buriti) oil, organic plukenetia volubilis (sacha inchi) seed oil, organic punica granatum (pomegranate) fruit oil, biotin (b7)*, thiamin (b1)*, riboflavin (b2)*, niacinamide (b3)*, vitamin b6*, vitamin b12*, vegetable glycerin, natural aroma*, glycine*, kaolin clay, potassium sorbate, hydrolyzed quinoa protein. *denotes plant derived ingredient

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Hair,Conditioner,'7763108167852,'42963411239084,Ceremonia,Guava Deep Repair Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/ceremonia-guava-deep-repair-conditioner?variant=42963411239084,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/AcondicionadordeGuavaforDamageRepair_Ceremonia.jpg?v=1754322629,"Complete list of ingredients

water, cetearyl alcohol, glycerin, behentrimonium chloride, cinnamidopropyltrimonium chloride, dioctyldodecyl dodecanedioate, hydroxypropyl guar hydroxypropyltrimonium chloride, psidium guajava fruit extract, psidium guajava leaf extract, aloe barbadensis leaf powder, distearoylethyl dimonium chloride, fragrance, phenoxyethanol, ethylhexylglycerin, polyquaternium-10, sodium gluconate.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Hair,Conditioner,'7763108167852,'43714491547820,Ceremonia,Guava Deep Repair Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/ceremonia-guava-deep-repair-conditioner?variant=43714491547820,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_Ceremonia_Guava_Conditioner_for_Damaged_Hair_format_voyage_Packshot.jpg?v=1754322629,"Complete list of ingredients

water, cetearyl alcohol, glycerin, behentrimonium chloride, cinnamidopropyltrimonium chloride, dioctyldodecyl dodecanedioate, hydroxypropyl guar hydroxypropyltrimonium chloride, psidium guajava fruit extract, psidium guajava leaf extract, aloe barbadensis leaf powder, distearoylethyl dimonium chloride, fragrance, phenoxyethanol, ethylhexylglycerin, polyquaternium-10, sodium gluconate.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Hair,Conditioner,'15169959231868,'55096099701116,Madara,Grow Volume Conditioner,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/madara-grow-volume-conditioner?variant=55096099701116,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_Madara_GROW_Grow_Volume_Conditioner_packshot.png?v=1744985354,"Complete list of ingredients

aqua; cantharellus cibarius (chanterelle) extract; cetearyl alcohol; distearoylethyl dimonium chloride; glycerin; pca glyceryl oleate; urtica dioica (nettle) leaf extract; zinc pca; hydrolyzed keratin; aroma; tocopherol; caffeine; xylitylglucoside; guar hydroxypropyltrimonium chloride; benzyl alcohol; anhydroxylitol; xylitol; sodium benzoate; lactic acid; cocos nucifera (coconut) oil; persea gratissima (avocado) oil; prunus amygdalus dulcis (almond) oil; potassium sorbate; leuconostoc/radish root ferment filtrate; geraniol; limonene; linalool; citronellol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.0,1
Hair,Conditioner,'7603687260332,'42485961162924,Coelho Beauty,4 in 1 Skincare Cream,https://ohmycream.co.uk/collections/hair-conditioners-detanglers/products/coelho-beauty-4-in-1-skincare-cream?variant=42485961162924,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/LaCremedeSoin_CoelhoBeauty.jpg?v=1683184465,"Complete list of ingredients

aqua (water), helianthus annuus (sunflower) seed oil*, aloe barbadensis leaf juice*, glycerin, cetyl alcohol, brassica alcohol, stearyl alcohol, menthyl lactate, brassicyl valinate esylate, cetyl babassuate calcium gluconate, phospholipids, lactic acid, caesalpinia spinosa gum, glycine soja (soybean) oil, behenyl/stearyl aminopropanediol esters, sodium benzoate, potassium sorbate, cinnamomum camphora linalooliferum wood oil* pogostemon cablin leaf oil, linalool, corylus avellana (hazelnut) seed oil*, olea europaea (olive) fruit oil*, phytantriol, ricinus communis (castor) seed oil, mentha piperita oil, glycolipids, glycine soja (soybean) sterols boswellia carterii gum extract, limonene, citric acid, eucalyptus globulus leaf oil, levulinic acid, punica granatum fruit extract*, sodium levulinate.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
