Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Hair,Hair Brushes,'7672907169964,'42727030522028,La Bonne Brosse,N°01 Universal Small Hair Care Brush,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-01-universal-small-brush?variant=42727030522028,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/N01-LaPetiteBrosse.jpg?v=1694094344,"Complete list of ingredients

100% wild boar hair cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Hair,Hair Brushes,'7672908447916,'42728189690028,La Bonne Brosse,N°03 Essential Small Sensitive Scalp Brush,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-03-essential-small-brush?variant=42728189690028,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/N03-LaPetiteBrosse.jpg?v=1694094384,"Complete list of ingredients

wild boar hair bristle nylon fibres cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Hair,Hair Brushes,'7603730645164,'42486098657452,La Bonne Brosse,N°01 Universal Hair Care Brush,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-universal-hair-care-brush?variant=42486098657452,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/01-LaBrosseDeSoinUniverselle_LaBonneBrosse.jpg?v=1683741052,"Complete list of ingredients

100% wild boar hair cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Hair,Hair Brushes,'7383286186156,'41811534643372,Oh My Cream Skincare,Scalp Massaging Brush,https://ohmycream.co.uk/collections/hair-brushes/products/oh-my-cream-skincare-scalp-massaging-brush?variant=41811534643372,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Brosse_Cuir_Chevelu_Vue_Face_OMCS.jpg?v=1658165545,"Complete list of ingredients

silicone pins",'4.9,12
Hair,Hair Brushes,'7383284482220,'41811530875052,Cut By Fred,Stimulating Scalp Brush,https://ohmycream.co.uk/collections/hair-brushes/products/cut-by-fred-stimulating-scalp-brush?variant=41811530875052,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Cut_By_Fred_Stimulating_Scalp_Brush_TINY.jpg?v=1658165530,"Complete list of ingredients

5% wheat fiber, 95% abs, 100% silicon",',0
Hair,Hair Brushes,'7672908382380,'42728189362348,La Bonne Brosse,N°02 Essential Small Detangling Brush,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-02-essential-small-brush?variant=42728189362348,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/N02-LaPetiteBrosse.jpg?v=1694094359,"Complete list of ingredients

wild boar hair nylon fibres cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Hair,Hair Brushes,'7603750207660,'42486188507308,La Bonne Brosse,Detangling Comb,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-detangling-comb?variant=42486188507308,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/LePeigneCremeDemelant_LaBonneBrosse.jpg?v=1683741014,"Complete list of ingredients

biodegradable acetate handle",'5.0,1
Hair,Hair Brushes,'7603750109356,'42486188409004,La Bonne Brosse,N°04 Miracle Detangling and Massaging Brush,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-miracle-detangling-and-massaging-brush?variant=42486188409004,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/04-LaBrosseMiracleDemelanteetMassante_LaBonneBrosse.jpg?v=1683741108,"Complete list of ingredients

bristle nylon fibres cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Hair,Hair Brushes,'7672908415148,'42728189886636,La Bonne Brosse,N°04 Small Miracle Detangling and Massaging Brush,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-04-small-miracle-brush?variant=42728189886636,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/N04-LaPetiteBrosse.jpg?v=1694094400,"Complete list of ingredients

bristle nylon fibres cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Hair,Hair Brushes,'7884558368940,'43348385071276,La Bonne Brosse,The Baby Brush N°1,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-the-baby-brush?variant=43348385071276,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Brossekidsn6_LaBonnebrosse.jpg?v=1713869286,"Complete list of ingredients

poils de sanglier fibres de nylon boulé manche en acétate de cellulose coussin en caoutchouc

made in france this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Hair,Hair Brushes,'8025139609772,'43714250080428,La Bonne Brosse,N°07 Intense Small for Thick and Curly Hair Brush,https://ohmycream.co.uk/collections/hair-brushes/products/la-bonne-brosse-07-intense-small-brush?variant=43714250080428,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_La_Bonne_Brosse_La_Petite_Brosse_07_Curly_Creme_Packshot.jpg?v=1726566489,"Complete list of ingredients

nylon fibre cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
