Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Hair,Travel Size,'15215008711036,'55151090565500,Oh My Cream,The Summer Pouch Carel x Oh My Cream,https://ohmycream.co.uk/collections/hair-travelsizes/products/summer-pouch-carel-oh-my-cream?variant=55151090565500,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedel__t__CarelxOMC__1.jpg?v=1747043352,"Complete list of ingredients

trousse 100% coton made in india

regenerating cleanser tata harper (taille voyage - 50 ml) hordeum vulgare leaf juice*, cetearyl alcohol, cetearyl olivate, propanediol, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder*, **citrus paradisi (grapefruit) oil, sorbitan olivate, lactobacillus/punica granatum fruit ferment extract, salix alba (willow) bark extract, sambucus nigra fruit extract, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, calendula officinalis (calendula) flower extract*, medicago sativa (alfalfa) extract*, spiraea ulmaria (meadowsweet) extract*, olea europaea (olive) oil*, tocopherol, coco-glucoside, cetearyl glucoside, caprylyl glycol, kaolin (white clay), sclerotium gum, **citrus aurantium (bergamot) peel oil, cetyl palmitate, magnolia officinalis bark extract, sorbitan palmitate, glyceryl caprylate, aqua/water/eau, sodium phytate, ci 77491 (red iron oxide), alcohol, limonene, citral, linalool *ingrédients issus de l’agriculture biologique **aroma

mini featherlash lifting serum mascara goop beauty (taille voyage - 4,5gr) water/aqua/eau, glyceryl stearate, hydrogenated jojoba oil, stearic acid, copernicia cerifera (carnauba) cera, glycerin, pentylene glycol, acacia senegal (gum arabic) gum, oryza sativa (rice) bran wax, shorea robusta (shala) resin, oleic/linoleic/linolenic polyglycerides, octyldodecanol, aminomethyl propanol, tocopherol, biotinoyl tripeptide-1, isochrysis galbana extract, panthenol, biotin, hyaluronic acid, leuconostoc/radish root ferment filtrate, lactobacillus, xanthan gum, cocos nucifera (coconut) fruit extract, [iron oxides (ci 77499)].

huile démaquillante éclair patyka (taille voyage - 50 ml) 100% du total des ingrédients sont d'origine naturelle 94,9% du total des ingrédients sont issus de l'agriculture biologique

ingredients : helianthus annuus (sunflower) seed oil*, polyglyceryl-4 oleate, simmondsia chinensis (jojoba) seed oil*, apricot kernel oil polyglyceryl-6 esters, parfum (fragrance), tocopherol, limonene**

*ingrédients issus de l'agriculture biologique **transformé à partir d'ingrédients biologiques

moisturizing mask susanne kaufman (taille voyage - 15 ml) aqua (water), glycerin, caprylic/capric triglyceride, pentylene glycol, dicaprylyl ether, methyl glucose sesquistearate, squalane, octyldodecanol, c10-18 triglycerides, cetearyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, prunus amygdalus dulcis (sweet almond) oil, alcohol, lecithin, euphorbia cerifera (candelilla wax) cera, tocopheryl acetate, inulin, sodium hyaluronate, viola tricolor extract, brassica oleracea italica (broccoli) seed oil, echium plantagineum seed oil, helianthus annuus (sunflower) seed oil, cardiospermum halicacabum flower/leaf/vine extract, saccharide isomerate, xanthan gum, triticum vulgare (wheat) gluten, sodium levulinate, sodium stearoyl glutamate, sodium anisate, carrageenan, potassium phosphate, citric acid, methylpropanediol, sodium citrate, caprylyl glycol, tocopherol, 1,2-hexanediol, benzoic acid, phenylpropanol, methyl benzoate, parfum.

sérum dive in acide hyaluronique torriden (taille voyage - 20 ml) aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, pentylene glycol, sodium hyaluronate, ethylhexylglycerin, allantoin, betaine, hydrolyzed hyaluronic acid, panthenol, tromethamine, carbomer, malachite extract, polyglyceryl-10 laurate, propanediol, sodium hyaluronate crosspolymer, glyceryl acrylate/acrylic acid copolymer, hydrolyzed sodium hyaluronate, pvm/ma copolymer, sodium acetylated hyaluronate, cholesterol, madecassic acid, madecassoside, trehalose, xanthan gum, ceramide 3, portulaca oleracea extract, paeonia suffruticosa root extract, scutellaria baicalensis root extract, beta-glucan, hamamelis virginiana leaf extract

hand & body wash sauge romarin lavande l:a bruket (taille voyage - 50 ml) aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).

fluide solaire spf50 oh my cream skincare (nouveauté) (taille réelle) aqua/water/eau, dicaprylyl carbonate, coco-caprylate, cocoglycerides , diethylamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, phenylbenzimidazole sulfonic acid, glyceryl stearate, oryza sativa (rice) starch, 1,2-heptanediol, propanediol, sodium stearoyl glutamate, sodium hyaluronate, bisabolol, brassica campestris sterols, cetylhydroxyproline palmitamide, tocopherol, stearic acid, hexyldecanol, microcrystalline cellulose, cellulose gum, xanthan gum, sodium hydroxide, citric acid, sodium gluconate, o-cymen-5-ol.

c.e.o afterglow vitamin c cream sunday riley (taille voyage - 15 gr) water/eau/aqua, dimethicone, neopentyl glycol diethylhexanoate, tetrahexyldecyl ascorbate, polyglycerin-6, propanediol, phenyl trimethicone, glycerin, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, sodium hyaluronate crosspolymer, ergothioneine, xanthophyll, allantoin, citrus aurantium amara (bitter orange) flower oil, sodium acryloyldimethyltaurate/vp crosspolymer, mannitol, pentylene glycol, isododecane, dimethicone crosspolymer, sodium phytate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, benzotriazolyl dodecyl p-cresol, polymethylsilsesquioxane, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, carthamus tinctorius (safflower) seed oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol, caprylyl glycol, chlorphenesin, ethylhexylglycerin, citric acid, polysorbate 60, sorbitan isostearate.

liquid powder chromatic eye tint fresco ilia (taille réelle - 3,5ml) aqua/water/eau, mica, glycerin, silica, galactoarabinan, pentylene glycol, glyceryl caprylate, fructose, cellulose, kaolin, **aesculus hippocastanum (horse chestnut) extract, honokiol, tin oxide, potassium sorbate, citric acid. may contain (+/-): ci 77891 (titanium dioxide), ci 77491, ci 77492, ci 77499 (iron oxides), ci 77007 (ultramarines).

mist delight rudolph care (taille voyage - 30 ml) aloe barbadensis leaf extract* (aloe vera), aqua, calendula officinalis flower water* (pot marigold), glycerin**, zingiber officinale water (ginger), mel extract* (honey), saccharide isomerate, euterpe oleracea fruit extract (acai), sodium levulinate, parfum (natural), citric acid, sodium citrate, potassium sorbate, sodium benzoate *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques

99% d'origine naturelle au total 79% du total des ingrédients sont issus de l'agriculture biologique

lip expert pro-collagen my blend (nouveauté) (taille voyage - 1,5 ml) octyldodecanol. diisostearyl malate. polyglyceryl-2 isostearate/dimer dilinoleate copolymer. cera alba/beeswax/cire d´abeille. helianthus annuus (sunflower) seed wax. silica. ethylcellulose. sorbitan caprylate. theobroma cacao (cocoa) seed butter. ethylhexyl palmitate. mica. tocopheryl acetate. tribehenin. ci 77891/titanium dioxide. ammonium glycyrrhizate. parfum/fragrance. theobroma cacao (cocoa) extract. sorbitan isostearate. lactic acid. ascorbyl palmitate. helianthus annuus (sunflower) seed oil. tocopherol. ci 77492/iron oxides. ci 15850/red 7 lake. palmitoyl tripeptide-1. [v4060a1]

brume démêlante cair (nouveauté) (taille voyage - 20 ml) oryza sativa (rice) bran water*, aqua (water), vitis vinifera (grape) fruit water*, erythritol, pentylene glycol, propanediol, behentrimonium chloride, cetearyl alcohol, phyllostachys bambusoides extract, acetum (vinegar), citric acid, glycerin, ethyl oleate, dipropylene glycol, parfum (fragrance), rubus idaeus (raspberry) seed oil, triolein, sodium

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,14
Hair,Travel Size,'15195112276348,'55123928973692,Naturisimo,The Menopause Relief Kit,https://ohmycream.co.uk/collections/hair-travelsizes/products/menopause-relief-kit?variant=55123928973692,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheMenopauseReliefStarterKit1.jpg?v=1745580558,"Complete list of ingredients

wild nutrition food-grown® perimenopause complex shatavari powder, brown rice flour, vegetable cellulose (capsule shell), purified seawater (providing magnesium), n-acetyl l-cysteine vegan, vitamin and mineral enhanced yeast providing; iron, vitamin b6 and molybdenum, saffron extract (safr’inside™), lactobacillus bulgaricus combined with pantothenic acid.

wild nutrition food-grown® menopause complex purified seawater (providing magnesium), vegetable cellulose (capsule shell), ashwagandha powder, dong quai powder, milk thistle powder, alfalfa powder, green tea powder and turmeric root powder.

evolve hydrate and protect moisturiser aqua (water), glycerin, squalane, cetearyl olivate, helianthus annuus (sunflower seed oil), sorbitan olivate, gluconolactone, hedychium coronarium root extract, bentonite, aloe barbadensis leaf juice powder*, sodium hyaluronate, microcrystalline cellulose, sodium stearoyl glutamate , parfum (natural origin fragrance), brassica campestris (rapeseed) seed oil*, polygonum tinctorium leaf extract, xanthan gum, rosmarinus officinalis leaf extract*, phytic acid, tocopherol, sodium benzoate, gum cellulose, calcium gluconate, limonene.

innersense i create volume water/aqua/eau, aloe barbadensis gel*, hydroxyethylcellulose, maltodextrin copolymer, potassium hydroxide, gluconolactone, sodium benzoate, calcium gluconate, alkyl acrylate crosspolymer, citrus aurantium dulcis peel oil, caprylic/capric triglyceride, potassium sorbate, sodium phytate, glycerin*, chamomilla recutita (matricaria) flower extract*, eucalyptus globulus leaf extract*, ginkgo biloba leaf extract*, aspalathus linearis leaf extract*, honey extract*, limonene†. *certified organic a natural component of essential oils

odylique creamy coconut cleanser aqua, cocos nucifera oil*, olea europaea fruit oil*, rosa centifolia flower water*, glycerine**, cetearyl alcohol, cetearyl glucoside, rosmarinus officinalis leaf extract*, citrus limon peel oil*, eucalyptus globulus leaf oil*, salvia sclarea oil*, lactic acid, sodium anisate, sodium levulinate, sodium lauroyl lactylate, xanthan gum, limonene* (in the lemon oil) plain english: coconut oil*, extra virgin olive oil*, rose flower water*, non-palm plant glycerine**, rosemary extract*, essential oils of clary sage*, eucalyptus* and lemon*, plant origin moisturisers & emulsifiers

* organically grown & produced ** organic origin (total 87%)

antipodes divine face oil persea americana (avocado pear) oil*, simmondsia chinensis (jojoba) seed oil*, macadamia integrifolia (macadamia) nut oil*, rosa rubiginosa (rosehip) seed oil*, tocopherol (vitamin e), helianthus annuus (sunflower) seed oil. fragrance of sweet orange, ylang ylang and jasmine: benzyl alcohol, benzyl benzoate, benzyl salicylate, citral, citronellol, d-limonene, eugenol, farnesol, geraniol, isoeugenol, linalool.

neal's yard women's balance remedies to roll helianthus annuus (sunflower) seed oil, copaifera officinalis (balsam copaiba) resin*, pogostemon cablin leaf oil*, pelargonium graveolens flower oil*, citrus sinensis peel oil expressed*, rosa damascena extract, tocopherol, boswellia sacra resin oil*, citrus aurantium bergamia (bergamot) peel oil*, thymus mastichina flower oil*, salvia sclarea (clary) oil*, limonene, linalool, citronellol, geraniol, citral, eugenol, farnesol. *organic. from essential oils. of total 100% natural origin, 98.0% organic

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,27
Hair,Travel Size,'7383224778924,'41811422609580,Rahua,Voluminous Shampoo,https://ohmycream.co.uk/collections/hair-travelsizes/products/rahua-voluminous-shampoo?variant=41811422609580,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Rahua_Voluminous-Shampoo_New-Colour.jpg?v=1674223321,"Complete list of ingredients

aqua, organic herbal infusion of camellia sinensis (green tea) leaf extract, organic cymbopogon schoenanthus (lemongrass) extract and organic aloe barbadensis leaf extract, sodium alpha olefin sulfonate*, coco betaine*, sodium chloride (sea salt), organic saccharum officinarum (molasses) extract, vegetable glycerin, caprylic acid*, glycine*, oenocarpus bataua (rahua ungurahua) oil, hydrolyzed quinoa, organic rosmarinus officinalis (rosemary) leaf extract, potassium sorbate, organic lavandula angustifolia (lavender) oil, organic eucalyptus globulus leaf oil, citric acid*, panthenol, chlorophyll. *denotes plant derived ingredient

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'3.5,2
Hair,Travel Size,'7383224778924,'41811422576812,Rahua,Voluminous Shampoo,https://ohmycream.co.uk/collections/hair-travelsizes/products/rahua-voluminous-shampoo?variant=41811422576812,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/718122575657_RAHUA_Shampoing_Volumateur_Format_Voyage_12660_c9adf4e0-820c-4c36-b67a-7b668ba4ffdb.jpg?v=1721312974,"Complete list of ingredients

aqua, organic herbal infusion of camellia sinensis (green tea) leaf extract, organic cymbopogon schoenanthus (lemongrass) extract and organic aloe barbadensis leaf extract, sodium alpha olefin sulfonate*, coco betaine*, sodium chloride (sea salt), organic saccharum officinarum (molasses) extract, vegetable glycerin, caprylic acid*, glycine*, oenocarpus bataua (rahua ungurahua) oil, hydrolyzed quinoa, organic rosmarinus officinalis (rosemary) leaf extract, potassium sorbate, organic lavandula angustifolia (lavender) oil, organic eucalyptus globulus leaf oil, citric acid*, panthenol, chlorophyll. *denotes plant derived ingredient

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'3.5,2
Hair,Travel Size,'7383229497516,'41811430015148,Rahua,Hydration Conditioner,https://ohmycream.co.uk/collections/hair-travelsizes/products/rahua-hydration-conditioner?variant=41811430015148,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Rahua_Hydration_Conditioner_21215.jpg?v=1674222621,"Complete list of ingredients

aqua, herbal infusion of organic mangifera indica (mango) fruit extract, organic passiflora incarnate (passion) fruit extract, organic aloe barbadensis leaf extract and organic camellia sinensis (green tea) leaf extract, behentrimonium methosulfate*, cetearyl alcohol*, oenocarpus bataua (rahua ungurahua) oil, plukenetia volubilis (sacha inchi) seed oil, sucrose, mauritia flexuosa (morete) fruit oil, hydrolyzed quinoa protein, vegetable glycerin, kaolinite (rose clay), natural aroma, cymbopogon nardus (citronella) oil, glycine*, behentrimonium chloride*, potassium sorbate, guar hydroxypropyltrimonium chloride*. *denotes plant derived ingredient

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,16
Hair,Travel Size,'7383229497516,'41811429982380,Rahua,Hydration Conditioner,https://ohmycream.co.uk/collections/hair-travelsizes/products/rahua-hydration-conditioner?variant=41811429982380,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Rahua_Hydration_Conditioner_Format_Voyage__21236_0859e6b6-7cae-41ca-8d9e-8d19e974da9c.jpg?v=1674222621,"Complete list of ingredients

aqua, herbal infusion of organic mangifera indica (mango) fruit extract, organic passiflora incarnate (passion) fruit extract, organic aloe barbadensis leaf extract and organic camellia sinensis (green tea) leaf extract, behentrimonium methosulfate*, cetearyl alcohol*, oenocarpus bataua (rahua ungurahua) oil, plukenetia volubilis (sacha inchi) seed oil, sucrose, mauritia flexuosa (morete) fruit oil, hydrolyzed quinoa protein, vegetable glycerin, kaolinite (rose clay), natural aroma, cymbopogon nardus (citronella) oil, glycine*, behentrimonium chloride*, potassium sorbate, guar hydroxypropyltrimonium chloride*. *denotes plant derived ingredient

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,16
Hair,Travel Size,'7672907169964,'42727030522028,La Bonne Brosse,N°01 Universal Small Hair Care Brush,https://ohmycream.co.uk/collections/hair-travelsizes/products/la-bonne-brosse-01-universal-small-brush?variant=42727030522028,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/N01-LaPetiteBrosse.jpg?v=1694094344,"Complete list of ingredients

100% wild boar hair cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Hair,Travel Size,'7672908447916,'42728189690028,La Bonne Brosse,N°03 Essential Small Sensitive Scalp Brush,https://ohmycream.co.uk/collections/hair-travelsizes/products/la-bonne-brosse-03-essential-small-brush?variant=42728189690028,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/N03-LaPetiteBrosse.jpg?v=1694094384,"Complete list of ingredients

wild boar hair bristle nylon fibres cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Hair,Travel Size,'8027197178028,'43806594072748,Ceremonia,UV & Heat Protective Detangler Guava Rescue Travel Size,https://ohmycream.co.uk/collections/hair-travelsizes/products/ceremonia-uv-heat-protective-detangler-guava-rescue-travel-size?variant=43806594072748,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_Ceremonia_Guava_Rescue_Spray_format_voyage_Packshot.jpg?v=1725884012,"Complete list of ingredients

water, propanediol, fragrance, aloe barbadensis leaf juice, potassium sorbate, sodium benzoate, phenoxyethanol, glycerin, cetearyl alcohol, brassica campestris/aleurites fordi oil copolymer, behentrimonium methosulfate, cetyl alcohol, diheptyl succinate, behentrimonium chloride, persea gratissima (avocado) oil, cocos nucifera (coconut) oil, butylene glycol, ethylhexylglycerin, capryloyl glycerin/sebacic acid copolymer, virola surinamensis seed butter, squalane, polyisobutene, agave tequilana leaf extract, psidium guajava fruit extract, hedychium coronarium root extract, sodium hydroxypropylsulfonate laurylglucoside crosspolymer, sodium chloride, acrylates/c10-30 alkyl acrylate crosspolymer, sodium dilauramidoglutamide lysine, tocopherol, citric acid, glyceryl stearate, stearic acid, sodium lauroyl glutamate, carthamus tinctorius (safflower) seed extract",'5.0,1
Hair,Travel Size,'7672908382380,'42728189362348,La Bonne Brosse,N°02 Essential Small Detangling Brush,https://ohmycream.co.uk/collections/hair-travelsizes/products/la-bonne-brosse-02-essential-small-brush?variant=42728189362348,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/N02-LaPetiteBrosse.jpg?v=1694094359,"Complete list of ingredients

wild boar hair nylon fibres cellulose acetate handle rubber cushion

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
