Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Make Up,Nails,'7383219208364,'41811415728300,Kure Bazaar,Cherie Nail Polish,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-cherie?variant=41811415728300,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/30101876_KURE_BAZAAR_Cherie_13821.jpg?v=1658162324,"Complete list of ingredients

butyl acetate ethyl acetate, nitrocellulose, acetyl tributyl citrate, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, ethyl acetate, butyl acetate, alcohol, isopropyl alcohol, ci 15880, stearalkonium bentonite, diacetone alcohol, sorbic acid, ricinus communis seed oil helianthus annuus seed oil aqua glycerin phosphoric acid, citrus limon fruit extract bambusa vulgaris sap extract ci 15850, ci 77510, tocopherol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Make Up,Nails,'7383219994796,'41811416547500,Kure Bazaar,Ecological Manicure Ritual Hand Mask & Utensils,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-ecological-manicure-ritual-hand-mask-utensils?variant=41811416547500,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3760224020013_KURE-BAZAAR_Rituel-Manucure-Ecologique_Masque-Mains-_-UstensilesK-_sans-le-baton-de-buis__14154.jpg?v=1658162327,"Complete list of ingredients

hand cream : aqua, glycerin, butyrospermum parkii butter, simmondsia chinensis seed oil, cetearyl alcohol, c14-22 alcohol, prunus amygdalus dulcis oil, hippophae rhamnoides fruit extract, gevuina avellana seed oil, linum usitatissimum seed oil, sesamum indicum seed oil, benzyl alcohol, citrus aurantium dulcis peel oil expressed, limonene, c12-20 alkyl glucoside, xanthan gum, tocopherol, helianthus annuus seed oil, citrus limon fruit extract, maltodextrin, sodium bicarbonate, sodium hyaluronate, linalool, citral

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Make Up,Nails,'15187794690428,'55116727812476,Kure Bazaar,Gentle Disolving Gel,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-gentle-disolving-gel?variant=55116727812476,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202506_Kure_Bazaar_Gelee_Douceur_Dissolvante_Resized_Packshot.png?v=1750845752,"Complete list of ingredients

diethyl succinate, nitrocellulose, alcohol, bambusa vulgaris sap extract, citrus limon (lemon) fruit extract (citrus limon fruit extract), water (aqua), glycerin, ricinus communis (castor) seed oil (ricinus communis seed oil), helianthus annuus (sunflower) seed oil (helianthus annuus seed oil), tocopherol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Nails,'15234224849276,'55181304299900,Kure Bazaar,The Serum Nail Polish Pink 2,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-serum-nail-polish-pink-2?variant=55181304299900,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_KureBazaar_VernisSerumRose2_packshot.jpg?v=1754999000,"Complete list of ingredients

butyl acetate ethyl acetate nitrocellulose adipic acid/neopentyl glycol/trimellitic anhydride copolymer acetyl tributyl citrate alcohol ethyl acetate ci 77891 isopropyl alcohol butyl acetate stearalkonium bentonite ci 77491 diacetone alcohol ci 77499 ci 15880 dimethyl oxobenzo dioxasilane sorbic acid aqua caprylic/capric triglyceride ci 19140 phosphoric acid hibiscus sabdariffa flower extract ci 15850 tocopheryl acetate castanea sativa seed extract polygonum fagopyrum seed extract crithmum maritimum extract calcium pantothenate panthenol hydrolyzed corn protein hydrolyzed wheat protein hydrolyzed soy protein 1,2-hexanediol caprylyl glycol potassium sorbate centella asiatica extract leuconostoc/radish root ferment filtrate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Nails,'15234224587132,'55181304103292,Kure Bazaar,The Serum Nail Polish Beige 1,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-serum-nail-polish-beige-1?variant=55181304103292,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202503_VernisserumBeige1_KureBazaar_packshot_1.png?v=1754999845,"Complete list of ingredients

butyl acetate ethyl acetate nitrocellulose adipic acid/neopentyl glycol/trimellitic anhydride copolymer acetyl tributyl citrate alcohol stearalkonium bentonite etocrylene diacetone alcohol isopropyl alcohol dimethyl oxobenzo dioxasilane aqua caprylic/capric triglyceride butyl acetate ethyl acetate phosphoric acid hibiscus sabdariffa flower extract tocopheryl acetate sorbic acid castanea sativa seed extract ci 77491 polygonum fagopyrum seed extract crithmum maritimum extract panthenol calcium pantothenate hydrolyzed corn protein hydrolyzed wheat protein hydrolyzed soy protein 1,2-hexanediol caprylyl glycol potassium sorbate centella asiatica extract ci19140 ci15850 ci77499 leuconostoc/radish root ferment filtrate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Nails,'15241225601404,'55188496744828,Kure Bazaar,The Serum Nail Polish Red 2,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-serum-nail-polish-red-2?variant=55188496744828,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_KureBazaar_VernisSerumRouge2_packshot.png?v=1754999437,"Complete list of ingredients

butyl acetate ethyl acetate nitrocellulose acetyl tributyl citrate ethyl acetate butyl acetate adipic acid/neopentyl glycol/trimellitic anhydride copolymer alcohol isopropyl alcohol ci15880 stearalkonium bentonite ci77499 diacetone alcohol sorbic acid dimethyl oxobenzo dioxasilane aqua caprylic/capric triglyceride ci 77891 phosphoric acid ci 77510 hibiscus sabdariffa flower extract tocopheryl acetate castanea sativa seed extract polygonum fagopyrum seed extract crithmum maritimum extract panthenol calcium pantothenate hydrolyzed corn protein hydrolyzed wheat protein hydrolyzed soy protein 1,2-hexanediol caprylyl glycol potassium sorbate centella asiatica extract ci19140 ci15850 leuconostoc/radish root ferment filtrate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Nails,'15187557679484,'55116440994172,Kure Bazaar,Protective Top Coat,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-protective-top-coat?variant=55116440994172,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_KureBazaar_TopCoatProtecteur_packshot.jpg?v=1754999522,"Complete list of ingredients

ethyl acetate butyl acetate cellulose acetate butyrate acetyl tributyl citrate butyl acetate adipic acid/neopentyl glycol/trimellitic anhydride copolymer acrylates copolymer etocrylene caprylic/capric triglyceride dimethyl oxobenzo dioxasilane ethyl acetate aqua tocopheryl acetate n-butyl alcohol polygonum fagopyrum seed extract isopropyl alcohol crithmum maritimum extract calcium pantothenate panthenol hydrolyzed corn protein hydrolyzed wheat protein hydrolyzed soy protein hibiscus sabdariffa flower extract castanea sativa seed extract potassium sorbate centella asiatica extract ci 60725 leuconostoc/radish root ferment filtrate 1,2-hexanediol caprylyl glycol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Nails,'7670684090540,'42693334171820,Kure Bazaar,Love Nail Polish,https://ohmycream.co.uk/collections/make-up-nails/products/love-nail-polish?variant=42693334171820,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Sansref_KUREBAZAAR_Love_15721_1.jpg?v=1693497161,"Complete list of ingredients

butyl acetate, ethyl acetate, nitrocellulose, isosorbide dicaprylate/caprate, adipic acid/neopentyl glycol/trimellitic anhydride copolymer, alcohol, acetyl tributyl citrate, isopropyl alcohol, stearalkonium bentonite, diacetone alcohol, n-butyl alcohol, helianthus annuus seed oil (helianthus annuus (sunflower) seed oil), polyurethane-67, phosphoric acid, methoxyisopropyl acetate, bambusa vulgaris extract, decyl alcohol, tocopherol.[+/-]: ci 77891 , ci 77491 , ci 77492 , ci 77499 , ci 19140 , ci 19140 (, ci 15850 ), ci 15850 , ci 77510 , ci 15880 (red 34 lake), ci 77007 , ci 77000 , ci 77742 , ci 77266, ci 12085 , ci 42090 , ci 77820), ci 45410 , ci 45410 , ci 60725, ci 77163

*vegan

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Make Up,Nails,'15187557548412,'55116440895868,Kure Bazaar,Smoothing Base,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-smoothing-base?variant=55116440895868,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_KureBazaar_Baselissante_packshot.png?v=1754999273,"Complete list of ingredients

ethyl acetate butyl acetate nitrocellulose propylene glycol/sebacic acid/trimellitic anhydride copolymer acetyl tributyl citrate alcohol etocrylene caprylic/capric triglyceride isopropyl alcohol dimethyl oxobenzo dioxasilane butyl acetate aqua tocopheryl acetate polygonum fagopyrum seed extract crithmum maritimum extract calcium pantothenate panthenol hydrolyzed corn protein hydrolyzed wheat protein hydrolyzed soy protein hibiscus sabdariffa flower extract castanea sativa seed extract potassium sorbate centella asiatica extract ci 60725 leuconostoc/radish root ferment filtrate 1,2-hexanediol caprylyl glycol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Make Up,Nails,'15241226027388,'55188498121084,Kure Bazaar,The Serum Nail Polish Red 1,https://ohmycream.co.uk/collections/make-up-nails/products/kure-bazaar-serum-nail-polish-red-1?variant=55188498121084,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202507_VernisserumRouge01_KureBazaar__packshot_1.png?v=1754999192,"Complete list of ingredients

butyl acetate ethyl acetate nitrocellulose acetyl tributyl citrate ethyl acetate butyl acetate adipic acid/neopentyl glycol/trimellitic anhydride copolymer alcohol isopropyl alcohol ci15880 stearalkonium bentonite ci77499 diacetone alcohol sorbic acid dimethyl oxobenzo dioxasilane aqua caprylic/capric triglyceride ci 77891 phosphoric acid ci 77510 hibiscus sabdariffa flower extract tocopheryl acetate castanea sativa seed extract polygonum fagopyrum seed extract crithmum maritimum extract panthenol calcium pantothenate hydrolyzed corn protein hydrolyzed wheat protein hydrolyzed soy protein 1,2-hexanediol caprylyl glycol potassium sorbate centella asiatica extract ci19140 ci15850 leuconostoc/radish root ferment filtrate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
