Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Beauty Tools,'7383286251692,'41811534708908,Oh My Cream Skincare,Face Gua Sha,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/face-gua-sha?variant=41811534708908,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Gua_Sha_Visage_OMCS_TINY.jpg?v=1658165546,"Complete list of ingredients

100% rose quartz",'4.7,11
Skincare,Beauty Tools,'8074263298220,'43850672242860,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/call-it-by-your-name-small-vanity?variant=43850672242860,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_vert_trefle_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Beauty Tools,'8074263298220,'43850672210092,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/call-it-by-your-name-small-vanity?variant=43850672210092,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bleu_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Beauty Tools,'8074263298220,'43850672275628,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/call-it-by-your-name-small-vanity?variant=43850672275628,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_rose_rainbow_Packshot_reisze.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Beauty Tools,'8074263298220,'43850672177324,Call It By Your Name,Small Vanity,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/call-it-by-your-name-small-vanity?variant=43850672177324,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_10_Call_it_by_your_name_Vanity_petit_modele_bordeaux_coeur_Packshot_resize.jpg?v=1738847156,"Complete list of ingredients

100% coton bandanas fabriqués aux usa broderie réalisée à paris.

dimensions : l24 x h21 x p10 cm

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Beauty Tools,'15223003185532,'55157986918780,Lightinderm,Lightinderm Device,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/lightinderm-device-uk?variant=55157986918780,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Appareil_LightInDerm.jpg?v=1749713154,"Complete list of ingredients

made in france garantie 2 ans

materiaux : aluminium / silicone dimensions : 163 x 60 x 34 mm (sans cartouche) poids : 120 g (sans cartouche) batterie : 800 mah ports: usb-b usb 2.0 temps de charge : environ 1 heure autonomie : un minimum de 7 sessions par recharge complète fréquence : 50-60hz

cette liste d'ingrédients peut faire l'objet de modifications, veuillez consulter l'emballage du produit acheté.",',0
Skincare,Beauty Tools,'15226032718204,'55165375807868,Lightinderm,REPAIR Capsules Renewing Treatment,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/lightinderm-repair-capsules-renewing-treatment?variant=55165375807868,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202505_LightInDerm_CapsulesREPAIR_Packshot.jpg?v=1749732275,"Complete list of ingredients

aqua (water), niacinamide, dicaprylyl carbonate, glycerin, heptyl undecylenate, propanediol, c12-16 alcohols, cellulose, hydrogenated lecithin, palmitic acid, sodium acrylates copolymer, caprylyl glycol,1,2-hexanediol, ethylhexylglycerin, ascorbyl tetraisopalmitate, caffeine, tocopheryl acetate, lecithin,sodium hyaluronate, xanthan gum, caesalpinia spinosa fruit extract, padina pavonica thallus extract,kappaphycus alvarezii extract, laminaria saccharina extract, plankton extract, hydroxyacetophenone,phenethyl alcohol, tocopherol, acetyl hexapeptide-8.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Beauty Tools,'7383286022316,'41811534479532,Oh My Cream Skincare,Roll-On,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/oh-my-cream-skincare-roll-on?variant=41811534479532,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Packshot_Roller_OMCS_TINY.jpg?v=1658165540,"Complete list of ingredients

100% rose quartz",',0
Skincare,Beauty Tools,'15226032456060,'55165375283580,Lightinderm,PURITY Capsules Blemishes Treatment,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/lightinderm-purity-capsules-blemishes-treatment?variant=55165375283580,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202505_LightInDerm_CapsulesPURITY_Packshot.jpg?v=1749733412,"Complete list of ingredients

aqua (water), glycerin, niacinamide, coco-caprylate/caprate, maltooligosyl glucoside, hexylene glycol, capryloyl glycine, caprylic/capric triglyceride, sodium polyacrylate starch, hydrogenated starch hydrolysate, butylene glycol, acacia senegal gum, salicylic acid, sodium polyacrylate, caesalpinia spinosa fruit extract, xanthan gum, 3-o-ethyl ascorbic acid, caffeine, sodium tocopheryl phosphate, xylitylglucoside, sodium hyaluronate, citric acid, epilobium fleischeri flower/leaf/stem extract, kappaphycus alvarezii extract, phenethyl alcohol, saccharide isomerate, marsdenia cundurango bark extract, potassium sorbate, tocopherol, cynara scolymus (artichoke) leaf extract, helianthus annuus (sunflower) seed oil

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Beauty Tools,'7383238181036,'41811440894124,Odacité,Mon Ami Facial Acupressure,https://ohmycream.co.uk/collections/skincare-beauty-tools/products/odacite-mon-ami-facial-acupressure?variant=41811440894124,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/sansref_Odacite_Mon-ami-Acupressure-Tool-_2000x2000_TINY.jpg?v=1658162528,Tidak ada ingredients,',0
