Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Lip Balms,'15215008711036,'55151090565500,Oh My Cream,The Summer Pouch Carel x Oh My Cream,https://ohmycream.co.uk/collections/skincare-lip-balms/products/summer-pouch-carel-oh-my-cream?variant=55151090565500,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedel__t__CarelxOMC__1.jpg?v=1747043352,"Complete list of ingredients

trousse 100% coton made in india

regenerating cleanser tata harper (taille voyage - 50 ml) hordeum vulgare leaf juice*, cetearyl alcohol, cetearyl olivate, propanediol, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder*, **citrus paradisi (grapefruit) oil, sorbitan olivate, lactobacillus/punica granatum fruit ferment extract, salix alba (willow) bark extract, sambucus nigra fruit extract, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, calendula officinalis (calendula) flower extract*, medicago sativa (alfalfa) extract*, spiraea ulmaria (meadowsweet) extract*, olea europaea (olive) oil*, tocopherol, coco-glucoside, cetearyl glucoside, caprylyl glycol, kaolin (white clay), sclerotium gum, **citrus aurantium (bergamot) peel oil, cetyl palmitate, magnolia officinalis bark extract, sorbitan palmitate, glyceryl caprylate, aqua/water/eau, sodium phytate, ci 77491 (red iron oxide), alcohol, limonene, citral, linalool *ingrédients issus de l’agriculture biologique **aroma

mini featherlash lifting serum mascara goop beauty (taille voyage - 4,5gr) water/aqua/eau, glyceryl stearate, hydrogenated jojoba oil, stearic acid, copernicia cerifera (carnauba) cera, glycerin, pentylene glycol, acacia senegal (gum arabic) gum, oryza sativa (rice) bran wax, shorea robusta (shala) resin, oleic/linoleic/linolenic polyglycerides, octyldodecanol, aminomethyl propanol, tocopherol, biotinoyl tripeptide-1, isochrysis galbana extract, panthenol, biotin, hyaluronic acid, leuconostoc/radish root ferment filtrate, lactobacillus, xanthan gum, cocos nucifera (coconut) fruit extract, [iron oxides (ci 77499)].

huile démaquillante éclair patyka (taille voyage - 50 ml) 100% du total des ingrédients sont d'origine naturelle 94,9% du total des ingrédients sont issus de l'agriculture biologique

ingredients : helianthus annuus (sunflower) seed oil*, polyglyceryl-4 oleate, simmondsia chinensis (jojoba) seed oil*, apricot kernel oil polyglyceryl-6 esters, parfum (fragrance), tocopherol, limonene**

*ingrédients issus de l'agriculture biologique **transformé à partir d'ingrédients biologiques

moisturizing mask susanne kaufman (taille voyage - 15 ml) aqua (water), glycerin, caprylic/capric triglyceride, pentylene glycol, dicaprylyl ether, methyl glucose sesquistearate, squalane, octyldodecanol, c10-18 triglycerides, cetearyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, prunus amygdalus dulcis (sweet almond) oil, alcohol, lecithin, euphorbia cerifera (candelilla wax) cera, tocopheryl acetate, inulin, sodium hyaluronate, viola tricolor extract, brassica oleracea italica (broccoli) seed oil, echium plantagineum seed oil, helianthus annuus (sunflower) seed oil, cardiospermum halicacabum flower/leaf/vine extract, saccharide isomerate, xanthan gum, triticum vulgare (wheat) gluten, sodium levulinate, sodium stearoyl glutamate, sodium anisate, carrageenan, potassium phosphate, citric acid, methylpropanediol, sodium citrate, caprylyl glycol, tocopherol, 1,2-hexanediol, benzoic acid, phenylpropanol, methyl benzoate, parfum.

sérum dive in acide hyaluronique torriden (taille voyage - 20 ml) aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, pentylene glycol, sodium hyaluronate, ethylhexylglycerin, allantoin, betaine, hydrolyzed hyaluronic acid, panthenol, tromethamine, carbomer, malachite extract, polyglyceryl-10 laurate, propanediol, sodium hyaluronate crosspolymer, glyceryl acrylate/acrylic acid copolymer, hydrolyzed sodium hyaluronate, pvm/ma copolymer, sodium acetylated hyaluronate, cholesterol, madecassic acid, madecassoside, trehalose, xanthan gum, ceramide 3, portulaca oleracea extract, paeonia suffruticosa root extract, scutellaria baicalensis root extract, beta-glucan, hamamelis virginiana leaf extract

hand & body wash sauge romarin lavande l:a bruket (taille voyage - 50 ml) aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).

fluide solaire spf50 oh my cream skincare (nouveauté) (taille réelle) aqua/water/eau, dicaprylyl carbonate, coco-caprylate, cocoglycerides , diethylamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, phenylbenzimidazole sulfonic acid, glyceryl stearate, oryza sativa (rice) starch, 1,2-heptanediol, propanediol, sodium stearoyl glutamate, sodium hyaluronate, bisabolol, brassica campestris sterols, cetylhydroxyproline palmitamide, tocopherol, stearic acid, hexyldecanol, microcrystalline cellulose, cellulose gum, xanthan gum, sodium hydroxide, citric acid, sodium gluconate, o-cymen-5-ol.

c.e.o afterglow vitamin c cream sunday riley (taille voyage - 15 gr) water/eau/aqua, dimethicone, neopentyl glycol diethylhexanoate, tetrahexyldecyl ascorbate, polyglycerin-6, propanediol, phenyl trimethicone, glycerin, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, sodium hyaluronate crosspolymer, ergothioneine, xanthophyll, allantoin, citrus aurantium amara (bitter orange) flower oil, sodium acryloyldimethyltaurate/vp crosspolymer, mannitol, pentylene glycol, isododecane, dimethicone crosspolymer, sodium phytate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, benzotriazolyl dodecyl p-cresol, polymethylsilsesquioxane, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, carthamus tinctorius (safflower) seed oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol, caprylyl glycol, chlorphenesin, ethylhexylglycerin, citric acid, polysorbate 60, sorbitan isostearate.

liquid powder chromatic eye tint fresco ilia (taille réelle - 3,5ml) aqua/water/eau, mica, glycerin, silica, galactoarabinan, pentylene glycol, glyceryl caprylate, fructose, cellulose, kaolin, **aesculus hippocastanum (horse chestnut) extract, honokiol, tin oxide, potassium sorbate, citric acid. may contain (+/-): ci 77891 (titanium dioxide), ci 77491, ci 77492, ci 77499 (iron oxides), ci 77007 (ultramarines).

mist delight rudolph care (taille voyage - 30 ml) aloe barbadensis leaf extract* (aloe vera), aqua, calendula officinalis flower water* (pot marigold), glycerin**, zingiber officinale water (ginger), mel extract* (honey), saccharide isomerate, euterpe oleracea fruit extract (acai), sodium levulinate, parfum (natural), citric acid, sodium citrate, potassium sorbate, sodium benzoate *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques

99% d'origine naturelle au total 79% du total des ingrédients sont issus de l'agriculture biologique

lip expert pro-collagen my blend (nouveauté) (taille voyage - 1,5 ml) octyldodecanol. diisostearyl malate. polyglyceryl-2 isostearate/dimer dilinoleate copolymer. cera alba/beeswax/cire d´abeille. helianthus annuus (sunflower) seed wax. silica. ethylcellulose. sorbitan caprylate. theobroma cacao (cocoa) seed butter. ethylhexyl palmitate. mica. tocopheryl acetate. tribehenin. ci 77891/titanium dioxide. ammonium glycyrrhizate. parfum/fragrance. theobroma cacao (cocoa) extract. sorbitan isostearate. lactic acid. ascorbyl palmitate. helianthus annuus (sunflower) seed oil. tocopherol. ci 77492/iron oxides. ci 15850/red 7 lake. palmitoyl tripeptide-1. [v4060a1]

brume démêlante cair (nouveauté) (taille voyage - 20 ml) oryza sativa (rice) bran water*, aqua (water), vitis vinifera (grape) fruit water*, erythritol, pentylene glycol, propanediol, behentrimonium chloride, cetearyl alcohol, phyllostachys bambusoides extract, acetum (vinegar), citric acid, glycerin, ethyl oleate, dipropylene glycol, parfum (fragrance), rubus idaeus (raspberry) seed oil, triolein, sodium

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,14
Skincare,Lip Balms,'7558166642860,'42337589526700,L:a Bruket,Lip Balm 017,https://ohmycream.co.uk/collections/skincare-lip-balms/products/la-bruket-lip-balm-017?variant=42337589526700,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Lip-Balm.jpg?v=1677580656,"Complete list of ingredients

prunus amygdalus dulcis (sweet almond) oil, simmondsia chinensis (jojoba) seed oil, cera alba (beeswax), cocos nucifera (coconut) oil, tocopherol (vitamin e), helianthus annuus (sunflower) seed oil.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,11
Skincare,Lip Balms,'7383221993644,'41811419463852,Egyptian Magic,Egyptian Magic Balm,https://ohmycream.co.uk/collections/skincare-lip-balms/products/egyptian-magic-balm?variant=41811419463852,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/764936777770_Egyptian_Magic_Egyptian_Magic118_12297.jpg?v=1658162345,"Complete list of ingredients

olive oil, beeswax, honey, bee pollen, royal jelly, propolis.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,21
Skincare,Lip Balms,'7383221993644,'41811419529388,Egyptian Magic,Egyptian Magic Balm,https://ohmycream.co.uk/collections/skincare-lip-balms/products/egyptian-magic-balm?variant=41811419529388,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/764936600115_Egyptian_Magic_Egyptian_Magic59_12301.jpg?v=1658162345,"Complete list of ingredients

olive oil, beeswax, honey, bee pollen, royal jelly, propolis.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.6,21
Skincare,Lip Balms,'8017857970348,'43692098355372,L:a Bruket,Goodnight Lip Balm 311,https://ohmycream.co.uk/collections/skincare-lip-balms/products/l-a-bruket-goodnight-lip-balm-311?variant=43692098355372,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_LA_Bruket_Goodnight_Lip_Balm_311_Packshot.jpg?v=1726146283,Complete list of ingredients,'4.5,6
Skincare,Lip Balms,'15204592812412,'55132390195580,Dr. Hauschka,Lip Care Stick,https://ohmycream.co.uk/collections/skincare-lip-balms/products/dr-hauschka-lip-care-stick?variant=55132390195580,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202504_Dr_Hauschka_Lip_Care_Stick_Packshot.png?v=1745326780,"Complete list of ingredients

ricinus communis (castor) seed oil, rosa canina (rose hip) fruit extract, simmondsia chinensis (jojoba) seed oil, lanolin,beeswax/cera alba, daucus carota sativa (carrot) root extract, butyrospermum parkii (shea butter), euphorbia cerifera (candelilla) wax, copernicia cerifera (carnauba) wax, rosa damascena (rose) extract, prunus amygdalus dulcis (sweet almond) oil, anthyllis vulneraria extract, cetyl alcohol, prunus armeniaca (apricot) kernel oil, hydrogenated jojoba oil (jojoba wax), fragrance (parfum), limonene*, citronellol*, geraniol*, citral*, linalool*, farnesol*, rosa damascena (rose) flower wax, lecithin. * component of natural essential oils.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Skincare,Lip Balms,'14949784846716,'54909096788348,Goop Beauty,The Nourishing Rich Lip Mask,https://ohmycream.co.uk/collections/skincare-lip-balms/products/goop-beauty-the-nourishing-rich-lip-mask?variant=54909096788348,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/NourishingLipRepairMask_GOOP.jpg?v=1738165598,"Complete list of ingredients

ricinus communis (castor) seed oil, bis-diglyceryl polyacyladipate-2, polyhydroxystearic acid, caprylic/capric triglyceride, behenyl behenate, synthetic beeswax, prunus amygdalus dulcis (sweet almond) oil, triheptanoin, coco-caprylate/caprate, cetearyl ethylhexanoate, citrus aurantium dulcis (sweet orange) peel oil, limonene, euphorbia cerifera (candelilla) wax, helianthus annuus (sunflower) seed oil, euterpe oleracea (acai) sterols, ficus carica (fig) seed oil, ceramide np, caprylyl glycol, butyrospermum parkii (shea) butter, dilinoleic acid/butanediol copolymer, helianthus annuus (sunflower) seed wax, tocopheryl acetate, amyl cinnamal, ionone, glyceryl laurate, glyceryl undecylenate, siraitia grosvenorii (monk fruit) fruit extract, allyl caproate, barosma betulina (buchu) leaf oil, castor oil/ipdi copolymer, ethyl butyrate, geranyl acetate, mentha viridis (spearmint) leaf oil, raspberry ketone, rose ketone-4 (damascenone), citral, linoleic acid, linalool, oleic acid, linolenic acid.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Lip Balms,'8052983726252,'43788492603564,Patyka,Hyaluronic Lip Plumper,https://ohmycream.co.uk/collections/skincare-lip-balms/products/patyka-hyaluronic-lip-plumper?variant=43788492603564,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/2024_09_Patyka_Repulpant_Levres_Hyaluronic_Packshot_1.jpg?v=1727095937,Complete list of ingredients,',0
Skincare,Lip Balms,'7383226155180,'41811424018604,Susanne Kaufmann,Lip Balm,https://ohmycream.co.uk/collections/skincare-lip-balms/products/susanne-kaufmann-lip-balm?variant=41811424018604,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/LipBalm_SusanneKauffman.jpg?v=1664781178,"Complete list of ingredients

ricinus communis (castor) seed oil, cetearyl alcohol, lauryl laurate, simmondsia chinensis (jojoba) seed oil, hydrogenated castor oil, olea europaea (olive) fruit oil, cera alba, copernicia cerifera cera (carnauba wax), brassica oleracea italica (broccoli) seed oil, euphorbia cerifera (candelilla wax) cera, hydrogenated soybean oil, tocopherol, glyceryl stearate, bisabolol, parfum.(*components of essential oils)

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Skincare,Lip Balms,'7567176466604,'42373367759020,L:a Bruket,Recovery Lip Mask 271,https://ohmycream.co.uk/collections/skincare-lip-balms/products/la-bruket-recovery-lip-mask?variant=42373367759020,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/Masque-regenerant-pour-les-levres-15ml.jpg?v=1677580173,"Complete list of ingredients

ricinus communis (castor) seed oil, prunus amygdalus dulcis (sweet almond) oil, caprylic / capric triglyceride, butyrospermum parkii (shea) butter*, hydrogenated castor oil, theobroma cacao (cocoa) seed butter, mangifera indica (mango) seed butter, silybum marianum seed oil, copernicia cerifera (carnauba) wax, helianthus annuus (sunflower) seed cera, cetyl palmitate, corylus avellana (hazelnut) seed oil*, rosa canina (rosehip) fruit oil, sorbitan palmitate, ethyl olivate, sorbitan olivate, tocopherol, nannochloropsis oculata extract, helianthus annuus (sunflower) seed oil, porphyra umbilicalis extract, ascorbyl palmitate, brassica alba sprout extract, olea europaea (olive) leaf extract

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
