Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Masks,'15195171914108,'55123969409404,Naturisimo,The Natural Sleep Starter Kit,https://ohmycream.co.uk/collections/skincare-masks/products/natural-sleep-starter-kit?variant=55123969409404,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheNaturalSleepStarterKit1.jpg?v=1745580616,"Complete list of ingredients

aromatherapy associates sleep mist aqua (water), glycerin, peg-40 hydrogenated castor oil, trideceth-9, vetiveria zizanoides (vetivert) root oil, pogostemon cablin (patchouli) leaf oil, citrus aurantium amara (bitter orange) leaf/twig oil, cananga odorata (ylang ylang) flower oil, linalool*, propylene glycol, fusanus spicatus (australian sandalwood) wood oil, sodium benzoate, citric acid, ormenis multicaulis (wild camomile) oil, potassium sorbate, farnesol*, benzyl alcohol*, benzy benzoate*, geraniol*, limonene* parfum (fragrance)**, benzyl salicylate*, isoeugenol*, citral*, anthemis nobilis (roman camomile) flower oil, eugenol*, benzyl cinnamate*.

*natural essential oil contents **natural plant extracts

aurelia london cell repair night oil runus amygdalus dulcis (sweet almond) oil, cannabis sativa (hemp) seed oil, triticum vulgare (wheat) germ oil, olea europaea (olive) fruit oil, schinziophyton rautanenii kernel (mongongo) oil, citrullus lanatus (watermelon) seed oil, punica granatum (pomegranate) seed oil, adansonia digitata (baobab) seed oil, kigelia africana fruit extract (kigelia africana), helianthus annuus (sunflower) seed oil, hibiscus sabdariffa flower extract, citrus aurantium dulcis (orange) flower oil, citrus nobilis (mandarin orange) peel oil, lavandula angustifolia (lavender) oil, rosa damascena flower oil, tocopherol, tocopheryl acetate, limonene*, linalool*, citronellol*, geraniol*, hydroxycitronellal*, citral* (*naturellement présent dans les huiles essentielles)

ren clean skincare glycol lactic radiance renewal mask aqua (water), glycerin, polysorbate 60, lecithin, lactic acid, vitis vinifera (grape) seed oil, ribes nigrum (black currant) seed oil, citrus limon (lemon) fruit extract, xanthan gum, vaccinium macrocarpon (cranberry) seed oil, maltodextrin, sodium lactate, carica papaya (papaya) fruit extract, ananas sativus (pineapple) fruit extract, glyceryl caprylate, passiflora edulis fruit extract, vitis vinifera (grape) fruit extract, parfum* (fragrance), citrus nobilis (mandarin orange) peel oil, citrus grandis (grapefruit) peel oil, citrus tangerina (tangerine) peel oil, citrus aurantium dulcis (orange) flower oil, alcohol denat., benzyl alcohol, phenoxyethanol, potassium sorbate, tocopherol, hippophae rhamnoides oil, helianthus annuus (sunflower) seed oil, rosmarinus officinalis (rosemary) leaf extract, sodium bisulfite, citral, geraniol, limonene, linalool* 100% natural fragrance - parfum 100% naturel

evolve nightly renew facial cream aqua (eau), isoamyl laurate, coco-caprylate/ caprate, glycerin, cetearyl alcohol, c10-18 triglycerides, candelilla/ jojoba/ rice son polyglyceryl-3 esters, glyceryl stearate, bidens pilosa extract, paeonia lactiflora root extract, sodium hyaluronate, poudre de jus de feuilles d'aloe barbadensis*, beurre de graines d'astrocaryum murumuru, huile de graines de gossypium herbaceum (coton), huile de graines de linum usitatissimum (graines de lin), huile de graines d'helianthus annuus (tournesol), stéarate de saccharose, lactylate de stéaroyle de sodium, cellulose microcristalline, lévulinate de sodium, cetearyl glucoside, déhydroacétate de sodium, parfum (parfum d'origine naturelle), gomme de cellulose, gomme xanthane, anisate de sodium, tocophérol, palmitate de saccharose, acide phytique, tréhalose, benzoate de sodium, sorbate de potassium, acide citrique, géraniol, limonène, linalol.

neom perfect night's sleep hand cream aqua (water, eau), cetearyl alcohol, helianthus annuus (sunflower) seed oil, butyrospermum parkii (shea) butter, glycerin, prunus amygdalus dulcis (sweet almond) oil, cera alba (beeswax), glyceryl stearate, sodium stearoyl glutamate, theobroma cacao (cocoa) seed butter, parfum (fragrance)*, olea europaea (olive) fruit oil, benzyl alcohol, linalool, linum usitatissimum (linseed) seed oil, sucrose stearate, xanthan gum, aloe barbadensis leaf juice powder, citric acid, limonene, dehydroacetic acid, tocopherol, citronellol, sodium phytate, geraniol, glycine soja (soybean) oil, benzyl benzoate, coumarin, citral, alcohol.*made with 100% natural essential oils including lavender, chamomile and patchouli.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,83
Skincare,Masks,'15195082162556,'55123901120892,Naturisimo,The Glowing Skin Starter Kit,https://ohmycream.co.uk/collections/skincare-masks/products/glowing-skin-starter-kit?variant=55123901120892,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheGlowingSkinStarterKit1.jpg?v=1745580708,"Complete list of ingredients

indie lee brightening cleanser water (aqua/eau), decyl glucoside (veg. oils & sugar), disodium coco-glucoside citrate, coco glucoside (coconut and sunflower oil), glyceryl oleate, hydrolyzed wheat protein, xanthan gum, fragaria chiloensis (strawberry) seed oil, lycopene (tomato), propanediol, ethylhexylglycerin, potassium sorbate

oskia super c x super r capsules super c: simmondsia chinensis (jojoba) seed oil, octyldodecanol (natural fatty acid emollient), prunus amygdalus dulcis (sweet almond) oil, tocopheryl (vitamin e) acetate, ascorbyl (vitamin c) tetraisopalmitate, solanum lycopersicum (tomato) fruit extract, tocotrienols (vitamin e), phytosterols, tocopherol (vitamin e), squalane (plant source), squalene (plant source), elaeis guineensis oil, parfum (nature identical fragrance), limonene*, linalool*

super r: c13-15 alkane, dimethyl isosorbide, sorbitan isostearate, octyldodecanol, ascorbyl (vitamin c) tetraisopalmitate, echium plantagineum seed oil, curcuma longa (turmeric) root extract, alaria esculenta extract, ubiquinone (coenzyme q10), 7-dehydrocholesterol (provitamin d3), tocopherol (vitamin e), caprylic/capric triglyceride, hydroxypinacolone retinoate, coco glucoside, rosmarinus officinalis (rosemary) leaf extract, cardiospermum halicacabum flower/leaf/vine extract, helianthus annuus (sunflower) seed oil unsaponifiables, helianthus annuus (sunflower) seed oil, olus oil (vegetable oil), lecithin, glycerin, water, sodium benzoate, rosa damascena extract.

*natural components of essential oil. capsules are vegan and bio-degradable.

trilogy vitamin c brightening eye serum aqua (water), coco-caprylate, glycerin, ascorbyl glucoside, hamamelis virginiana (witch hazel) water, microcrystalline cellulose, candelilla/jojoba/rice bran polyglyceryl-3 esters, glyceryl stearate, caprylic/capric triglyceride, cetyl alcohol, methylpropanediol, sambucus nigra (elderberry) flower extract, hyaluronic acid, silanetriol, sodium hyaluronate crosspolymer, caffeine, squalane mica, titanium dioxide (ci 77891), tocopherol (vitamin e), aloe barbadensis (aloe vera) leaf juice powder,citrus aurantium dulcis (orange sweet) peel oil, citrus nobilis (mandarin red) peel oil, lavandula angustifolia (lavender) flower oil, litsea cubeba (may chang) fruit oil, cananga odorata (ylang ylang) flower oil, cellulose gum, xanthan gum, helianthus annuus (sunflower) seed oil, cetearyl alcohol, sodium stearoyl lactylate, propanediol, ethylhexyl stearate, polyglyceryl-4 diisostearate/polyhydroxystearate/sebacate, sodium isostearate, alcohol, citric acid, sodium hydroxide, dehydroacetic acid, benzyl alcohol, limonene, linalool, citral, benzyl benzoate, geraniol.

trilogy vital moisturiser aqua, glycerin, prunus amygdalus dulcis (sweet almond) oil, glyceryl stearate se, oenothera biennis (evening primrose) oilsimmondsia chinensis (jojoba) seed oil, rosa canina seed oil, cetearyl wheat straw glycosides, cetearyl alcohol, sclerocarya birrea seed oil, aloe barbadensis leaf extract, sodium stearoyl glutamate, chamomilla recutita (matricaria) flower extract, solanum lycopersicum (tomato) seed oil, vaccinium macrocarpon (cranberry) seed oil, lycopene, euterpe oleracea fruit oil, avena sativa (oat) kernel extract, daucus carota sativa (carrot) seed oil, helianthus annuus (sunflower) seed oil, tocopheryl acetate, citrus aurantium amara (bitter orange) flower oil, rosmarinus officinalis (rosemary) leaf extract, caprylic/capric triglyceride, tocopherol, citric acid, parfum, benzyl alcohol**, dehydroacetic acid**, citral*, geraniol*, citronellol*, limonene*, linalool* *components of natural essential oils **preserved with dehydroacetic acid (and) benzyl alcohol

evolve bio-retinol gold mask helianthus annuus (sunflower) seed oil*, glycerin**, kaolin, prunus amygdalus dulcis (sweet almond) oil*, argania spinosa (argan) kernel oil*, mica, titanium dioxide (ci77891), silica, iron oxide (ci77491), sucrose laurate, rosa canina (rosehip) fruit oil*, parfum (naturally derived fragrance), bidens pilosa extract, astrocaryum murumuru seed butter, gossypium herbaceum (cotton) seed oil, linum usitatissimum (linseed) seed oil, citrus aurantium dulcis (orange) fruit water*, vanilla planifolia fruit oil, tocopherol, sucrose stearate, sucrose palmitate, tin oxide. *ingredients from organic farming **made using organic ingredients

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,209
Skincare,Masks,'15228068331900,'55174018269564,Biodance,Bio-Collagen Real Deep Mask,https://ohmycream.co.uk/collections/skincare-masks/products/biodance-bio-collagen-real-deep-mask?variant=55174018269564,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202505_Biodance_BioCollagenRealDeepMask_Packshot.png?v=1747907519,"Complete list of ingredients

water, collagen extract, galactomyces ferment filtrate, glycerine, acrylates copolymer, niacinamide, ceratonia siliqua (carob) gum, chondrus crispus extract, betaine, algin, dipropylene glycol, agar, hydroxyacetophenone, 1,2-hexanediol, potassium chloride, polyglyceryl-10 laurate, caprylyl glycol, sucrose, butylene glycol, allantoin, ethylhexylglycerin, hydrolyzed hyaluronic acid, adenosine, disodium edta, pyrus communis (pear) fruit extract, rosa damascena flower water, iris florentina root extract, cucumis melo (melon) fruit extract, hedera helix (ivy) leaf/stem extract, dipotassium glycyrrhizate, bifida ferment filtrate, tocopherol, lactobacillus ferment, lactobacillus ferment lysate

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Masks,'15337713795452,'55377385030012,Biodance,Hydro Cera-Nol Real Deep Mask,https://ohmycream.co.uk/collections/skincare-masks/products/biodance-hydro-cera-nol-real-deep-mask?variant=55377385030012,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Biodance_Hydro_Cera_Nol_Real_Deep_Mask_Packshot_Resied.png?v=1750161376,"Complete list of ingredients

water (aqua), dipropylene glycol, glycerin, cetyl ethylhexanoate, niacinamide, xanthan gum, ceratonia siliqua (carob) gum, chondrus crispus, betaine, panthenol, hydroxyacetophenone, ethylhexyl olivate, butyrospermum parkii (shea) butter, potassium chloride, capryl glycol, butylene glycol, cellulose gum, 1.2-hexanediol, sucrose, polyacrylate-13, sodium acrylates copolymer, algin, glyceryl stearate, chondrus crispus extract, glucomannan, polyglyceryl-4 oleate, ethylhexylglycerin, hydrolyzed hyaluronic acid, hydrogenated polyisobutene, adenosine, pyrus communis (pear) fruit extract, disodium edta, polyglyceryl-10 laurate, rosa damascena flower water, ethylhexyl palmitate, allantoin, iris florentina root extract, sorbitan isostearate, cucumis melo (melon) fruit extract, hydrogenated lecithin, hedera helix (ivy) leaf/stem extract, dextrin, cetearyl alcohol, stearic acid, sodium hyaluronate, dipotassium glycyrrhizate, collagen extract, coriandrum sativum (coriander) extract, foeniculum vulgare (fennel) seed extract, elettaria cardamomum seed extract, crocus sativus flower extract, hydroxypropyltrimonium hyaluronate, ceramide np, tocopherol, ceramide ns, cholesterol, sodium acetylated hyaluronate, phytosphingosine, ceramide ap, ceramide as, hyaluronic acid, hydrolyzed sodium hyaluronate, sodium hyaluronate crosspolymer, potassium hyaluronate, ceramide eop

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Masks,'7941392826540,'43490794668204,Torriden,Dive In Mask,https://ohmycream.co.uk/collections/skincare-masks/products/torriden-dive-in-mask?variant=43490794668204,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Masquehydratantintense_Torriden.jpg?v=1745400030,"Complete list of ingredients

water, butylene glycol, glycerin, dipropylene glycol, sodium hyaluronate crosspolymer, sodium hyaluronate, acetylated sodium hyaluronate,hydrolyzed sodium hyaluronate, hydrolyzed hyaluronic acid (100ppm), panthenol, trehalose, allantoin, chamomilla recutita (matricaria) flower extract, calendula flower extract,melia azadirachta leaf extract,melia azadirachta flower extract,coccinia indica fruit extract,solanum melongena (eggplant) fruit extract,ocimum sanctum leaf extract,curcuma longa (turmeric) root extract,corallina officinalis extract,glyceryl acrylate/acrylic acid copolymer,pvm/ma copolymer,saccharide isomerate,carbomer,xanthan gum,tromethamine,pentylene glycol,1,2-hexanediol,hydroxyacetophenone,portulaca oleracea extract,malachite extract,ethylhexylglycerin

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,2
Skincare,Masks,'15195082326396,'55123901219196,Naturisimo,The Purified Skin Starter Kit,https://ohmycream.co.uk/collections/skincare-masks/products/purified-skin-starter-kit?variant=55123901219196,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/PurrifiedSkinStarterKit.jpg?v=1745584564,"Complete list of ingredients

odacite blue aura micellar water aloe barbadensis [aloe*] leaf juice, hamamelis virginiana [witch hazel] water, decyl glucoside, glucono delta lactone, medium chain triglycerides [caprylic/ capric] oil, glycerin*, ricinus communis [red turkey castor] oil, citrus paradisi [grapefruit*] essential oil, melia azadirachta [neem] extract, coccinia indica [ivy gourd] extract, solanum melongena [eggplant] extract, aloe barbadensis [aloe] extract, ocimum sanctum [holy basil] extract, curcuma longa [turmeric], benzyl alcohol, ethanol, salicylic acid, sorbic acid, natural components in essential oils limonene, myrcene | *organic

odylique lemon & tea tree purifying wash aqua, coco glucoside, olea europaea fruit oil*, sodium olivate*, glycerine**, aloe barbadensis leaf juice powder*, citrus limon peel oil*, cymbopogon citratus leaf oil*, melaleuca alternifolia leaf oil*, lactic acid, levulinic acid, p-anisic acid, sodium levulinate, xanthan gum, citral* & limonene* (in the essential oils) plain english: aloe vera juice*, gentle cleanser from coconut & corn glucose, extra virgin olive oil*, saponified extra virgin olive oil*, non-palm plant glycerine**, essential oils of lemon*, lemongrass* and tea tree*, plant origin stabilisers

* organically grown & produced ** organic origin (total 70%)

balance me bha exfoliating concentrate aqua (water), polyglyceryl-4 caprate, glycerin, salicylic acid, salix nigra (willow) bark extract sodium hyaluronate, centella asiatica extract (tiger grass), squalane / olea europaea (olive) fruit oil, caffeine, tilia cordata (linden) flower extract, litsea cubeba (may chang) fruit oil, citrus nobilis (mandarin) peel oil, citrus grandis (grapefruit) peel oil, cananga odorata (ylang ylang) flower oil, lavandula angustifolia (lavender) flower oil, tocopherol (vitamin e), potassium sorbate, sodium benzoate, sodium hydroxide, dehydroacetic acid, benzyl alcohol, farnesol, limonene, linalool, citral, benzyl benzoate, geraniol, benzyl salicylate.

upcircle face moisturiser with vitamin e + aloe vera aqua, helianthus annuus seed oil*, butyrospermum parkii (shea) butter*, theobroma cacao (cocoa) butter*, glyceryl stearate, cetearyl alcohol, glycerin, argania spinosa (argan) kernel extract, citrus aurantium dulcis (blood orange) peel oil, linum usitatissimum (linseed) oil, olea europaea (olive) fruit oil*, aloe barbadensis leaf extract*, citrus limonum peel oil, tocopherol, boswellia carterii (frankincense) oil, salvia sclarea oil, citrus aurantium amara leaf oil, coconut alcohol, sodium stearoyl glutamate, sucrose stearate, coco glucoside, xanthan gum, salicylic acid, sorbic acid, benzyl alcohol, ^limonene, ^linalool, ^geraniol. *organically-grown ingredients; ^natural constituent of essential oils listed.

antipodes aura manuka honey mask aqua (water), leptospermum scoparium (mel) manuka honey, persea gratissima (avocado pear) oil, glycerine, cetearyl glucoside, cetearyl alcohol, stearic acid, glyceryl stearate. tocopherol (vitamin e), helianthus annuus (sunflower) seed oil, dehydroacetic acid, benzyl alcohol, metrosideros excels (pohutukawa) flower extract, daucus carota (carrot) seed oil, vitis vinifera (vinanza® grape) seed extract. fragrance of vanilla & mandarin: coumarin, d-limonene, linalool.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,191
Skincare,Masks,'15025634640252,'54936924127612,Innisfree,Super Volcanic Pore Clay Mask,https://ohmycream.co.uk/collections/skincare-masks/products/innisfree-super-volcanic-pore-clay-mask?variant=54936924127612,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Masque_l_ArgileR_ducteurdePoresauxSupersRochesVolcaniques_Innisfree.jpg?v=1743092465,"Complete list of ingredients

water / aqua / eau, titanium dioxide (ci 77891), propanediol, silica, glycerin, trehalose, volcanic ash, caprylic/capric triglyceride, polyvinyl alcohol, bentonite, kaolin, glyceryl stearate, cetearyl alcohol, 1,2-hexanediol, peg-100 stearate, polysorbate 60, stearic acid, palmitic acid, iron oxides (ci 77499), hydrogenated vegetable oil, xanthan gum, sorbitan stearate, zea mays (corn) starch, polysorbate 20, iron oxides (ci 77492), mannitol, polyacrylate-13, microcrystalline cellulose, juglans regia (walnut) shell powder, lactic acid, sodium metaphosphate, lactic acid/glycolic acid copolymer, iron oxides (ci 77491), menthoxypropanediol, polyisobutene, tetrasodium pyrophosphate, ethylhexylglycerin, sorbitan isostearate, polyquaternium-10, myristic acid, arachidic acid, tocopherol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Masks,'7383220256940,'41811416809644,Antipodes,Aura Manuka Honey Purifying Mask,https://ohmycream.co.uk/collections/skincare-masks/products/antipodes-aura-manuka-honey-mask?variant=41811416809644,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/9421900569076_ANTIPODES_Aura_Manuka_Honey_Mask_12858.jpg?v=1658162330,"Complete list of ingredients

aqua (water), leptospermum scoparium (mel) manuka honey, persea gratissima (avocado pear) oil, glycerine, cetearyl glucoside, cetearyl alcohol, stearic acid, glyceryl stearate. tocopherol (vitamin e), helianthus annuus (sunflower) seed oil, dehydroacetic acid, benzyl alcohol, metrosideros excels (pohutukawa) flower extract, daucus carota (carrot) seed oil, vitis vinifera (vinanza® grape) seed extract. fragrance of vanilla & mandarin: coumarin, d-limonene, linalool.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Skincare,Masks,'15002672955772,'54915420324220,Augustinus Bader,Hydrogel Face Mask,https://ohmycream.co.uk/collections/skincare-masks/products/augustinus-bader-hydrogel-face-mask?variant=54915420324220,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Augustinus_Bader_Hydrogel_Masque_Packshot.jpg?v=1738684924,"Complete list of ingredients

aqua/water/eau, glycerin, 1,2-hexanediol, chondrus crispus powder, ceratonia siliqua gum, cellulose gum, xanthan gum, allantoin, synthetic fluorphlogopite, panthenol, niacinamide, ethylhexylglycerin, adenosine, calcium lactate, pentylene glycol, polyglyceryl-4 caprate, polyglyceryl-6 caprylate, sodium phytate, tocopheryl acetate, polyglyceryl-10 laurate, hydrolyzed rice protein, maltodextrin, polyglyceryl-10 myristate, argania spinosa kernel oil, chlorphenesin, sodium acetylated hyaluronate, acacia senegal gum, tin oxide, camellia sinensis leaf extract, hydrogenated lecithin, citric acid, alanyl glutamine, arginine, oligopeptide-177, phenylalanine, potassium sorbate, sisymbrium irio seed oil, sodium chloride, copper tripeptide-1, ci 77491 (iron oxide), ci 77891 (titanium dioxide).

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Masks,'15002672955772,'54915420356988,Augustinus Bader,Hydrogel Face Mask,https://ohmycream.co.uk/collections/skincare-masks/products/augustinus-bader-hydrogel-face-mask?variant=54915420356988,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Augustinus_Bader_Hydrogel_Masque_Packshot.jpg?v=1738684924,"Complete list of ingredients

aqua/water/eau, glycerin, 1,2-hexanediol, chondrus crispus powder, ceratonia siliqua gum, cellulose gum, xanthan gum, allantoin, synthetic fluorphlogopite, panthenol, niacinamide, ethylhexylglycerin, adenosine, calcium lactate, pentylene glycol, polyglyceryl-4 caprate, polyglyceryl-6 caprylate, sodium phytate, tocopheryl acetate, polyglyceryl-10 laurate, hydrolyzed rice protein, maltodextrin, polyglyceryl-10 myristate, argania spinosa kernel oil, chlorphenesin, sodium acetylated hyaluronate, acacia senegal gum, tin oxide, camellia sinensis leaf extract, hydrogenated lecithin, citric acid, alanyl glutamine, arginine, oligopeptide-177, phenylalanine, potassium sorbate, sisymbrium irio seed oil, sodium chloride, copper tripeptide-1, ci 77491 (iron oxide), ci 77891 (titanium dioxide).

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
