Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Toners,'15215008711036,'55151090565500,Oh My Cream,The Summer Pouch Carel x Oh My Cream,https://ohmycream.co.uk/collections/skincare-toners/products/summer-pouch-carel-oh-my-cream?variant=55151090565500,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedel__t__CarelxOMC__1.jpg?v=1747043352,"Complete list of ingredients

trousse 100% coton made in india

regenerating cleanser tata harper (taille voyage - 50 ml) hordeum vulgare leaf juice*, cetearyl alcohol, cetearyl olivate, propanediol, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder*, **citrus paradisi (grapefruit) oil, sorbitan olivate, lactobacillus/punica granatum fruit ferment extract, salix alba (willow) bark extract, sambucus nigra fruit extract, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, calendula officinalis (calendula) flower extract*, medicago sativa (alfalfa) extract*, spiraea ulmaria (meadowsweet) extract*, olea europaea (olive) oil*, tocopherol, coco-glucoside, cetearyl glucoside, caprylyl glycol, kaolin (white clay), sclerotium gum, **citrus aurantium (bergamot) peel oil, cetyl palmitate, magnolia officinalis bark extract, sorbitan palmitate, glyceryl caprylate, aqua/water/eau, sodium phytate, ci 77491 (red iron oxide), alcohol, limonene, citral, linalool *ingrédients issus de l’agriculture biologique **aroma

mini featherlash lifting serum mascara goop beauty (taille voyage - 4,5gr) water/aqua/eau, glyceryl stearate, hydrogenated jojoba oil, stearic acid, copernicia cerifera (carnauba) cera, glycerin, pentylene glycol, acacia senegal (gum arabic) gum, oryza sativa (rice) bran wax, shorea robusta (shala) resin, oleic/linoleic/linolenic polyglycerides, octyldodecanol, aminomethyl propanol, tocopherol, biotinoyl tripeptide-1, isochrysis galbana extract, panthenol, biotin, hyaluronic acid, leuconostoc/radish root ferment filtrate, lactobacillus, xanthan gum, cocos nucifera (coconut) fruit extract, [iron oxides (ci 77499)].

huile démaquillante éclair patyka (taille voyage - 50 ml) 100% du total des ingrédients sont d'origine naturelle 94,9% du total des ingrédients sont issus de l'agriculture biologique

ingredients : helianthus annuus (sunflower) seed oil*, polyglyceryl-4 oleate, simmondsia chinensis (jojoba) seed oil*, apricot kernel oil polyglyceryl-6 esters, parfum (fragrance), tocopherol, limonene**

*ingrédients issus de l'agriculture biologique **transformé à partir d'ingrédients biologiques

moisturizing mask susanne kaufman (taille voyage - 15 ml) aqua (water), glycerin, caprylic/capric triglyceride, pentylene glycol, dicaprylyl ether, methyl glucose sesquistearate, squalane, octyldodecanol, c10-18 triglycerides, cetearyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, prunus amygdalus dulcis (sweet almond) oil, alcohol, lecithin, euphorbia cerifera (candelilla wax) cera, tocopheryl acetate, inulin, sodium hyaluronate, viola tricolor extract, brassica oleracea italica (broccoli) seed oil, echium plantagineum seed oil, helianthus annuus (sunflower) seed oil, cardiospermum halicacabum flower/leaf/vine extract, saccharide isomerate, xanthan gum, triticum vulgare (wheat) gluten, sodium levulinate, sodium stearoyl glutamate, sodium anisate, carrageenan, potassium phosphate, citric acid, methylpropanediol, sodium citrate, caprylyl glycol, tocopherol, 1,2-hexanediol, benzoic acid, phenylpropanol, methyl benzoate, parfum.

sérum dive in acide hyaluronique torriden (taille voyage - 20 ml) aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, pentylene glycol, sodium hyaluronate, ethylhexylglycerin, allantoin, betaine, hydrolyzed hyaluronic acid, panthenol, tromethamine, carbomer, malachite extract, polyglyceryl-10 laurate, propanediol, sodium hyaluronate crosspolymer, glyceryl acrylate/acrylic acid copolymer, hydrolyzed sodium hyaluronate, pvm/ma copolymer, sodium acetylated hyaluronate, cholesterol, madecassic acid, madecassoside, trehalose, xanthan gum, ceramide 3, portulaca oleracea extract, paeonia suffruticosa root extract, scutellaria baicalensis root extract, beta-glucan, hamamelis virginiana leaf extract

hand & body wash sauge romarin lavande l:a bruket (taille voyage - 50 ml) aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).

fluide solaire spf50 oh my cream skincare (nouveauté) (taille réelle) aqua/water/eau, dicaprylyl carbonate, coco-caprylate, cocoglycerides , diethylamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, phenylbenzimidazole sulfonic acid, glyceryl stearate, oryza sativa (rice) starch, 1,2-heptanediol, propanediol, sodium stearoyl glutamate, sodium hyaluronate, bisabolol, brassica campestris sterols, cetylhydroxyproline palmitamide, tocopherol, stearic acid, hexyldecanol, microcrystalline cellulose, cellulose gum, xanthan gum, sodium hydroxide, citric acid, sodium gluconate, o-cymen-5-ol.

c.e.o afterglow vitamin c cream sunday riley (taille voyage - 15 gr) water/eau/aqua, dimethicone, neopentyl glycol diethylhexanoate, tetrahexyldecyl ascorbate, polyglycerin-6, propanediol, phenyl trimethicone, glycerin, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, sodium hyaluronate crosspolymer, ergothioneine, xanthophyll, allantoin, citrus aurantium amara (bitter orange) flower oil, sodium acryloyldimethyltaurate/vp crosspolymer, mannitol, pentylene glycol, isododecane, dimethicone crosspolymer, sodium phytate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, benzotriazolyl dodecyl p-cresol, polymethylsilsesquioxane, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, carthamus tinctorius (safflower) seed oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol, caprylyl glycol, chlorphenesin, ethylhexylglycerin, citric acid, polysorbate 60, sorbitan isostearate.

liquid powder chromatic eye tint fresco ilia (taille réelle - 3,5ml) aqua/water/eau, mica, glycerin, silica, galactoarabinan, pentylene glycol, glyceryl caprylate, fructose, cellulose, kaolin, **aesculus hippocastanum (horse chestnut) extract, honokiol, tin oxide, potassium sorbate, citric acid. may contain (+/-): ci 77891 (titanium dioxide), ci 77491, ci 77492, ci 77499 (iron oxides), ci 77007 (ultramarines).

mist delight rudolph care (taille voyage - 30 ml) aloe barbadensis leaf extract* (aloe vera), aqua, calendula officinalis flower water* (pot marigold), glycerin**, zingiber officinale water (ginger), mel extract* (honey), saccharide isomerate, euterpe oleracea fruit extract (acai), sodium levulinate, parfum (natural), citric acid, sodium citrate, potassium sorbate, sodium benzoate *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques

99% d'origine naturelle au total 79% du total des ingrédients sont issus de l'agriculture biologique

lip expert pro-collagen my blend (nouveauté) (taille voyage - 1,5 ml) octyldodecanol. diisostearyl malate. polyglyceryl-2 isostearate/dimer dilinoleate copolymer. cera alba/beeswax/cire d´abeille. helianthus annuus (sunflower) seed wax. silica. ethylcellulose. sorbitan caprylate. theobroma cacao (cocoa) seed butter. ethylhexyl palmitate. mica. tocopheryl acetate. tribehenin. ci 77891/titanium dioxide. ammonium glycyrrhizate. parfum/fragrance. theobroma cacao (cocoa) extract. sorbitan isostearate. lactic acid. ascorbyl palmitate. helianthus annuus (sunflower) seed oil. tocopherol. ci 77492/iron oxides. ci 15850/red 7 lake. palmitoyl tripeptide-1. [v4060a1]

brume démêlante cair (nouveauté) (taille voyage - 20 ml) oryza sativa (rice) bran water*, aqua (water), vitis vinifera (grape) fruit water*, erythritol, pentylene glycol, propanediol, behentrimonium chloride, cetearyl alcohol, phyllostachys bambusoides extract, acetum (vinegar), citric acid, glycerin, ethyl oleate, dipropylene glycol, parfum (fragrance), rubus idaeus (raspberry) seed oil, triolein, sodium

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,14
Skincare,Toners,'15195171783036,'55123969343868,Naturisimo,The Clean Teen Starter Kit,https://ohmycream.co.uk/collections/skincare-toners/products/clean-teen-starter-kit?variant=55123969343868,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheCleanTeenKit1.jpg?v=1745580664,"Complete list of ingredients

upcircle cleansing soap bar with cinnamon + ginger sodium cocoate**, aqua, glycerin**, coconut acid**, sodium citrate, illite, sodium chloride, zingiber officinale (ginger) root oil*, eugenol^, kaolin, illicium verum (star anise) fruit, cinnamomum zeylanicum (cinnamon) leaf oil*, cinnamomum verum bark, foeniculum vulgare (fennel) leaf, eugenia caryophyllus (clove) flower, pimenta officinalis (all spice) fruit, zingiber officinale root, elettaria cardamomum (green cardamom) seed, myristica fragrans (nutmeg) seed, vanilla planifolia (vanilla) fruit. *organically produced ingredient; **from organic origin; ^natural constituent of essential oils listed.

pai skincare phaze clariying cleanser aqua (water), decyl glucoside, cocamidopropyl betaine, lauryl glucoside, disodium cocoyl glutamate, glycerin**, caprylyl/capryl glucoside, inulin, sodium chloride, sodium levulinate, gluconolactone, glyceryl oleate, sorbitan caprylate, sodium anisate, saccharide isomerate, sodium phytate, fructose, citrus aurantifolia peel oil* (lime oil), boswellia neglecta resin oil* (frankincense oil), rosmarinus officinalis leaf oil* (rosemary oil), maltodextrin, sodium citrate, hydrolyzed gardenia florida extract (gardenia extract), gardenia florida fruit extract (gardenia extract), citric acid limonene (naturally occurring in essential oils / naturellement présent dans les huiles essentielles) of total: 98% natural origin sur total: 98% d'origine naturelle *organic ingredient / ingrédient biologique **made using organic ingredients

evolve true balance gel cream aqua (eau), cellulose, coco-caprylate/caprate, butyl avocadate, isoamyl laurate, glycérine, simmondsia chinensis (jojoba) seed oil*, cellulose microcristalline, glyceryl stearate, argania spinosa (argan) kernel oil*, parfum (parfum d'origine naturelle ), hyaluronate de sodium, extrait de cellules de feuilles de zingiber officinale (gingembre), extrait de graines de moringa pterygosperma, poudre de jus de feuilles d'aloe barbadensis*, stéarate de saccharose, gomme de xanthane, lévulinate de sodium, esters polyglycéryl-3 de son de candelilla/jojoba/riz, gomme de cellulose, sodium déhydroacétate, alcool cétéarylique, lactylate de stéaroyle de sodium, cocoate d'isoamyle, tocophérol, anisate de sodium, palmitate de saccharose, dextrine, gallate de propyle. *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques'

balance me hyaluronic plumping mist aqua (water), glycerin, polyglyceryl-4 caprylate, hydrolyzed hyaluronic acid, citric acid, ananas sativus (pineapple) fruit extract, citrus aurantium (neroli) flower oil, rosa centifolia (rose absolute) flower oil, achillea millefolium (yarrow) leaf oil, nardostachys jatamansi (spikenard) root oil, anthemis nobilis (roman chamomile) flower oil, citrus aurantium bergamia (bergamot) fruit oil, pelargonium graveolens (rose geranium) flower oil, sodium dehydroacetate, potassium sorbate, dehydroacetic acid, benzyl alcohol, sodium hydroxide, limonene, linalool, geraniol, citronellol, citral, farnesol.

q+a hyaluronic body wash aqua (water), zea mays (corn) cob powder, glycerin, cetearyl alcohol, lactic acid, glyceryl stearate, helianthus annuus (sunflower) seed oil, caprylic/capric triglyceride, glycolic acid, hippophae rhamnoides (sea buckthorn) fruit oil. simmondsia chinensis (jojoba) seed oil, vitis vinifera (grape) seed oil, carbomer, sodium stearoyl glutamate, coco-glucoside, sodium gluconate, potassium sorbate, sodium benzoate, fragrance (parfum), coconut alcohol, sodium hydroxide, benzyl cinnamate, coumarin.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,21
Skincare,Toners,'7740960768172,'42879404540076,Ilia,The Base Face Milk Pre-hydrating Lotion,https://ohmycream.co.uk/collections/skincare-toners/products/ilia-the-base-face-milk-pre-hydrating-lotion?variant=42879404540076,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheBaseFaceMilklaithydratant100ml_ILIA_1.jpg?v=1704470911,"Complete list of ingredients

aqua/water/eau, propanediol, caprylic/capric glycerides, squalane, butylene glycol, glycerin, argania spinosa kernel oil, 1,2-hexanediol, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, hydroxyacetophenone, isohexadecane, allantoin, linoleic acid, phospholipids, phytosterols, caprylyl glycol, polyglyceryl-10 stearate, hydrolyzed opuntia ficus-indica flower extract, polysorbate 60, sorbitan isostearate, hyaluronic acid, hydrolyzed hyaluronic acid, sodium hyaluronate, chlorella vulgaris extract, lactic acid.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,4
Skincare,Toners,'7727288484012,'42835788038316,Talm,Mega Water Purifying & Soothing Lotion,https://ohmycream.co.uk/collections/skincare-toners/products/talm-mega-water?variant=42835788038316,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/MegaWater_Talm.jpg?v=1700568636,"Complete list of ingredients

aqua (water), mineral salts

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,3
Skincare,Toners,'15012250747260,'54923050058108,Torriden,Dive In Multi Pad with Hyaluronic Acid,https://ohmycream.co.uk/collections/skincare-toners/products/torriden-dive-in-multi-pad-with-hyaluronic-acid?variant=54923050058108,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/DISQUESTONIFIANTSETAPAISANTSAL_ACIDEHYALURONIQUE_Torriden.jpg?v=1743173685,"Complete list of ingredients

aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, allantoin, caffeine, polyglyceryl-10 laurate, propanediol, sodium citrate, caprylyl glycol, ethylhexylglycerin, citric acid, melia azadirachta leaf extract, glyceryl acrylate/acrylic acid copolymer, melia azadirachta flower extract, panthenol, sodium hyaluronate, disodium edta, coccinia indica fruit extract, althaea rosea flower extract, pvm/ma copolymer, aloe barbadensis flower extract, solanum melongena fruit extract, ocimum sanctum leaf extract, corallina officinalis extract, curcuma longa root extract, betaine, dipotassium glycyrrhizate, gluconolactone, aloe ferox leaf extract, benzyl glycol, hamamelis virginiana water, hyaluronic acid, hydrogenated lecithin, hydrolyzed glycosaminoglycans, hydrolyzed hyaluronic acid, hydrolyzed sodium hyaluronate, malachite extract, octanediol, paeonia suffruticosa root extract, pentylene glycol, polyglutamic acid, pyrus malus fruit water, salix alba bark extract, scutellaria baicalensis root extract, sodium carboxymethyl beta-glucan, sodium hyaluronate crosspolymer, ceramide np, melaleuca alternifolia (tea tree) extract

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Skincare,Toners,'7476379812012,'42091903811756,Pai Skincare,Century Flower Protective Calming Mist,https://ohmycream.co.uk/collections/skincare-toners/products/century-flower-protective-calming-spray?variant=42091903811756,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/packshot_century_flower_pai.jpg?v=1664473325,"Complete list of ingredients

aqua (water), citrus aurantium amara flower water* (orange floral water), pentylene glycol, nelumbo nucifera root water (lotus water), glycerin**, hydrolyzed glycosaminoglycans, inulin, zinc lactate, sea water extract, arginine, fructose, hyaluronic acid linalool (naturally present in floral waters)

*organic ingredient **formulated with organic and non-organic ingredients on total: 100% natural origin made in london

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,7
Skincare,Toners,'7383235625132,'41811437945004,Patyka,Brightening Micro-Peeling Essence,https://ohmycream.co.uk/collections/skincare-toners/products/patyka-brightening-micro-peeling-essence?variant=41811437945004,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3700591900082_Patika_Essence_Micro_Peeling_TINY.jpg?v=1658162493,"Complete list of ingredients

100% du total des ingrédients sont d'origine naturelle 43% du total des ingrédients sont issus de l'agriculture biologique

ingrédients : aqua water , glycerin, vaccinium myrtillus fruit extract, sodium hyaluronate, sodium levulinate, hydrolyzed jojoba esters, saccharum officinarum sugar cane extract, polyglyceryl 4 laurate/sebacate, polyglyceryl 6 caprylate/ca prate, sodium anisate, citrus aurantium dulcis orange fruit extract, citrus limon lemon fruit extract, sclerotium gum, chondrus crispus carrageenan powder, xanthan gum, limonene**, aloe barbadensis leaf juice powder*, acer saccharum sugar maple extract, alcohol, sodium hydroxide, sodium phytate, dictyopteris polypodioides extract, parfum fragrance , glucose.

*ingrédients issus de l'agriculture biologique **constituants naturels de la composition aromatique

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Toners,'7383236673708,'41811439419564,Augustinus Bader,The Essence Exfoliating Toner,https://ohmycream.co.uk/collections/skincare-toners/products/augustinus-bader-the-essence-exfoliating-toner?variant=41811439419564,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheEssenceAugustinusBader_100ml_1.jpg?v=1700060035,"Complete list of ingredients

aqua (water), glycerin, gluconolactone, lactobacillus/ wasabia japonica root ferment extract, phytic acid, sodium hydroxide, potassium sorbate, xanthan gum, sodium benzoate, salicylic acid, caesalpinia spinosa gum, paeonia lactiflora root extract, papain, citric acid, sodium hyaluronate, hydrolyzed rice protein, maltodextrin, 1,2-hexanediol, caprylyl glycol, carbomer, n-hydroxysuccinimide, camellia sinensis leaf extract, hydrogenated lecithin, tocopheryl acetate, algin, alanyl glutamine, arginine, oligopeptide-177, phenylalanine, sisymbrium irio seed oil, sodium chloride.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Toners,'7545735708844,'42988867682476,Dermalogica,UltraCalming Soothing & Hydrating Mist,https://ohmycream.co.uk/collections/skincare-toners/products/dermalogica-ultra-calming-soothing-hydrating-mist?variant=42988867682476,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/UltraCalmingMistbrumeapaisanteethydratante_Dermalogica_14.25.35_1.jpg?v=1705498742,"Complete list of ingredients

water (aqua), butylene glycol, leuconostoc/radish root ferment filtrate, ppg-2 isoceteth-20 acetate, avena sativa (oat) kernel extract, boerhavia diffusa root extract, pentylene glycol, bisabolol, zingiber officinale (ginger) root extract, aloe barbadensis leaf juice, hydroxyphenyl propamidobenzoic acid, glycerin.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Skincare,Toners,'7731543867564,'42847772049580,Patyka,Smoothing Treatment Lotion,https://ohmycream.co.uk/collections/skincare-toners/products/patyka-smoothing-treatment-lotion?variant=42847772049580,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Lotiondesoind_froissante_Patyka__1.jpg?v=1704210543,"Complete list of ingredients

glucoside, sodium hyaluronate, tropaeolum majus flower/leaf/stem extract, punica granatum pericarp extract*, quercus robur wood extract, aloe barbadensis leaf juice powder*, avena sativa oat kernel extract**, glycerin, parfum fragrance, levulinic acid, sodium levulinate, citric acid, sodium hydroxide, potassium sorbate, pentylene glycol, sodium benzoate

*ingredients from organic farming **made using organic ingredients

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
