Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Skincare,Cleansing Gels & Milks,'15215008711036,'55151090565500,Oh My Cream,The Summer Pouch Carel x Oh My Cream,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/summer-pouch-carel-oh-my-cream?variant=55151090565500,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Troussedel__t__CarelxOMC__1.jpg?v=1747043352,"Complete list of ingredients

trousse 100% coton made in india

regenerating cleanser tata harper (taille voyage - 50 ml) hordeum vulgare leaf juice*, cetearyl alcohol, cetearyl olivate, propanediol, helianthus annuus (sunflower) seed oil*, prunus armeniaca (apricot) seed powder*, **citrus paradisi (grapefruit) oil, sorbitan olivate, lactobacillus/punica granatum fruit ferment extract, salix alba (willow) bark extract, sambucus nigra fruit extract, arnica montana (arnica) extract*, borago officinalis (borage) leaf extract*, calendula officinalis (calendula) flower extract*, medicago sativa (alfalfa) extract*, spiraea ulmaria (meadowsweet) extract*, olea europaea (olive) oil*, tocopherol, coco-glucoside, cetearyl glucoside, caprylyl glycol, kaolin (white clay), sclerotium gum, **citrus aurantium (bergamot) peel oil, cetyl palmitate, magnolia officinalis bark extract, sorbitan palmitate, glyceryl caprylate, aqua/water/eau, sodium phytate, ci 77491 (red iron oxide), alcohol, limonene, citral, linalool *ingrédients issus de l’agriculture biologique **aroma

mini featherlash lifting serum mascara goop beauty (taille voyage - 4,5gr) water/aqua/eau, glyceryl stearate, hydrogenated jojoba oil, stearic acid, copernicia cerifera (carnauba) cera, glycerin, pentylene glycol, acacia senegal (gum arabic) gum, oryza sativa (rice) bran wax, shorea robusta (shala) resin, oleic/linoleic/linolenic polyglycerides, octyldodecanol, aminomethyl propanol, tocopherol, biotinoyl tripeptide-1, isochrysis galbana extract, panthenol, biotin, hyaluronic acid, leuconostoc/radish root ferment filtrate, lactobacillus, xanthan gum, cocos nucifera (coconut) fruit extract, [iron oxides (ci 77499)].

huile démaquillante éclair patyka (taille voyage - 50 ml) 100% du total des ingrédients sont d'origine naturelle 94,9% du total des ingrédients sont issus de l'agriculture biologique

ingredients : helianthus annuus (sunflower) seed oil*, polyglyceryl-4 oleate, simmondsia chinensis (jojoba) seed oil*, apricot kernel oil polyglyceryl-6 esters, parfum (fragrance), tocopherol, limonene**

*ingrédients issus de l'agriculture biologique **transformé à partir d'ingrédients biologiques

moisturizing mask susanne kaufman (taille voyage - 15 ml) aqua (water), glycerin, caprylic/capric triglyceride, pentylene glycol, dicaprylyl ether, methyl glucose sesquistearate, squalane, octyldodecanol, c10-18 triglycerides, cetearyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, prunus amygdalus dulcis (sweet almond) oil, alcohol, lecithin, euphorbia cerifera (candelilla wax) cera, tocopheryl acetate, inulin, sodium hyaluronate, viola tricolor extract, brassica oleracea italica (broccoli) seed oil, echium plantagineum seed oil, helianthus annuus (sunflower) seed oil, cardiospermum halicacabum flower/leaf/vine extract, saccharide isomerate, xanthan gum, triticum vulgare (wheat) gluten, sodium levulinate, sodium stearoyl glutamate, sodium anisate, carrageenan, potassium phosphate, citric acid, methylpropanediol, sodium citrate, caprylyl glycol, tocopherol, 1,2-hexanediol, benzoic acid, phenylpropanol, methyl benzoate, parfum.

sérum dive in acide hyaluronique torriden (taille voyage - 20 ml) aqua, butylene glycol, glycerin, dipropylene glycol, 1,2-hexanediol, pentylene glycol, sodium hyaluronate, ethylhexylglycerin, allantoin, betaine, hydrolyzed hyaluronic acid, panthenol, tromethamine, carbomer, malachite extract, polyglyceryl-10 laurate, propanediol, sodium hyaluronate crosspolymer, glyceryl acrylate/acrylic acid copolymer, hydrolyzed sodium hyaluronate, pvm/ma copolymer, sodium acetylated hyaluronate, cholesterol, madecassic acid, madecassoside, trehalose, xanthan gum, ceramide 3, portulaca oleracea extract, paeonia suffruticosa root extract, scutellaria baicalensis root extract, beta-glucan, hamamelis virginiana leaf extract

hand & body wash sauge romarin lavande l:a bruket (taille voyage - 50 ml) aqua (water), sodium lauryl sulfoacetate, glycerin, cocamidopropyl betaine, sodium lauroyl sarcosinate, sodium pca, parfum (mix of essential oils), sodium levulinate, rosmarinus officinalis (rosemary) leaf oil, caprylyl/capryl glycoside, sodium anisate, lavandula angustifolia (lavender) flower oil, polysorbate 20, citric acid, polyglyceryl- 6 oleate, sodium cocoyl glutamate, salvia sclarea (clary sage) oil, glyceryl caprylate, sodium surfactin and linalool, limonene (natural ingredients of essential oils).

fluide solaire spf50 oh my cream skincare (nouveauté) (taille réelle) aqua/water/eau, dicaprylyl carbonate, coco-caprylate, cocoglycerides , diethylamino hydroxybenzoyl hexyl benzoate, bis-ethylhexyloxyphenol methoxyphenyl triazine, ethylhexyl triazone, phenylbenzimidazole sulfonic acid, glyceryl stearate, oryza sativa (rice) starch, 1,2-heptanediol, propanediol, sodium stearoyl glutamate, sodium hyaluronate, bisabolol, brassica campestris sterols, cetylhydroxyproline palmitamide, tocopherol, stearic acid, hexyldecanol, microcrystalline cellulose, cellulose gum, xanthan gum, sodium hydroxide, citric acid, sodium gluconate, o-cymen-5-ol.

c.e.o afterglow vitamin c cream sunday riley (taille voyage - 15 gr) water/eau/aqua, dimethicone, neopentyl glycol diethylhexanoate, tetrahexyldecyl ascorbate, polyglycerin-6, propanediol, phenyl trimethicone, glycerin, hydroxyethyl acrylate/ sodium acryloyldimethyl taurate copolymer, sodium hyaluronate crosspolymer, ergothioneine, xanthophyll, allantoin, citrus aurantium amara (bitter orange) flower oil, sodium acryloyldimethyltaurate/vp crosspolymer, mannitol, pentylene glycol, isododecane, dimethicone crosspolymer, sodium phytate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, benzotriazolyl dodecyl p-cresol, polymethylsilsesquioxane, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, carthamus tinctorius (safflower) seed oil, citrus aurantium dulcis (orange) peel oil, phenoxyethanol, caprylyl glycol, chlorphenesin, ethylhexylglycerin, citric acid, polysorbate 60, sorbitan isostearate.

liquid powder chromatic eye tint fresco ilia (taille réelle - 3,5ml) aqua/water/eau, mica, glycerin, silica, galactoarabinan, pentylene glycol, glyceryl caprylate, fructose, cellulose, kaolin, **aesculus hippocastanum (horse chestnut) extract, honokiol, tin oxide, potassium sorbate, citric acid. may contain (+/-): ci 77891 (titanium dioxide), ci 77491, ci 77492, ci 77499 (iron oxides), ci 77007 (ultramarines).

mist delight rudolph care (taille voyage - 30 ml) aloe barbadensis leaf extract* (aloe vera), aqua, calendula officinalis flower water* (pot marigold), glycerin**, zingiber officinale water (ginger), mel extract* (honey), saccharide isomerate, euterpe oleracea fruit extract (acai), sodium levulinate, parfum (natural), citric acid, sodium citrate, potassium sorbate, sodium benzoate *ingrédients issus de l'agriculture biologique **fabriqué à partir d'ingrédients biologiques

99% d'origine naturelle au total 79% du total des ingrédients sont issus de l'agriculture biologique

lip expert pro-collagen my blend (nouveauté) (taille voyage - 1,5 ml) octyldodecanol. diisostearyl malate. polyglyceryl-2 isostearate/dimer dilinoleate copolymer. cera alba/beeswax/cire d´abeille. helianthus annuus (sunflower) seed wax. silica. ethylcellulose. sorbitan caprylate. theobroma cacao (cocoa) seed butter. ethylhexyl palmitate. mica. tocopheryl acetate. tribehenin. ci 77891/titanium dioxide. ammonium glycyrrhizate. parfum/fragrance. theobroma cacao (cocoa) extract. sorbitan isostearate. lactic acid. ascorbyl palmitate. helianthus annuus (sunflower) seed oil. tocopherol. ci 77492/iron oxides. ci 15850/red 7 lake. palmitoyl tripeptide-1. [v4060a1]

brume démêlante cair (nouveauté) (taille voyage - 20 ml) oryza sativa (rice) bran water*, aqua (water), vitis vinifera (grape) fruit water*, erythritol, pentylene glycol, propanediol, behentrimonium chloride, cetearyl alcohol, phyllostachys bambusoides extract, acetum (vinegar), citric acid, glycerin, ethyl oleate, dipropylene glycol, parfum (fragrance), rubus idaeus (raspberry) seed oil, triolein, sodium

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.7,14
Skincare,Cleansing Gels & Milks,'15195082162556,'55123901120892,Naturisimo,The Glowing Skin Starter Kit,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/glowing-skin-starter-kit?variant=55123901120892,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/TheGlowingSkinStarterKit1.jpg?v=1745580708,"Complete list of ingredients

indie lee brightening cleanser water (aqua/eau), decyl glucoside (veg. oils & sugar), disodium coco-glucoside citrate, coco glucoside (coconut and sunflower oil), glyceryl oleate, hydrolyzed wheat protein, xanthan gum, fragaria chiloensis (strawberry) seed oil, lycopene (tomato), propanediol, ethylhexylglycerin, potassium sorbate

oskia super c x super r capsules super c: simmondsia chinensis (jojoba) seed oil, octyldodecanol (natural fatty acid emollient), prunus amygdalus dulcis (sweet almond) oil, tocopheryl (vitamin e) acetate, ascorbyl (vitamin c) tetraisopalmitate, solanum lycopersicum (tomato) fruit extract, tocotrienols (vitamin e), phytosterols, tocopherol (vitamin e), squalane (plant source), squalene (plant source), elaeis guineensis oil, parfum (nature identical fragrance), limonene*, linalool*

super r: c13-15 alkane, dimethyl isosorbide, sorbitan isostearate, octyldodecanol, ascorbyl (vitamin c) tetraisopalmitate, echium plantagineum seed oil, curcuma longa (turmeric) root extract, alaria esculenta extract, ubiquinone (coenzyme q10), 7-dehydrocholesterol (provitamin d3), tocopherol (vitamin e), caprylic/capric triglyceride, hydroxypinacolone retinoate, coco glucoside, rosmarinus officinalis (rosemary) leaf extract, cardiospermum halicacabum flower/leaf/vine extract, helianthus annuus (sunflower) seed oil unsaponifiables, helianthus annuus (sunflower) seed oil, olus oil (vegetable oil), lecithin, glycerin, water, sodium benzoate, rosa damascena extract.

*natural components of essential oil. capsules are vegan and bio-degradable.

trilogy vitamin c brightening eye serum aqua (water), coco-caprylate, glycerin, ascorbyl glucoside, hamamelis virginiana (witch hazel) water, microcrystalline cellulose, candelilla/jojoba/rice bran polyglyceryl-3 esters, glyceryl stearate, caprylic/capric triglyceride, cetyl alcohol, methylpropanediol, sambucus nigra (elderberry) flower extract, hyaluronic acid, silanetriol, sodium hyaluronate crosspolymer, caffeine, squalane mica, titanium dioxide (ci 77891), tocopherol (vitamin e), aloe barbadensis (aloe vera) leaf juice powder,citrus aurantium dulcis (orange sweet) peel oil, citrus nobilis (mandarin red) peel oil, lavandula angustifolia (lavender) flower oil, litsea cubeba (may chang) fruit oil, cananga odorata (ylang ylang) flower oil, cellulose gum, xanthan gum, helianthus annuus (sunflower) seed oil, cetearyl alcohol, sodium stearoyl lactylate, propanediol, ethylhexyl stearate, polyglyceryl-4 diisostearate/polyhydroxystearate/sebacate, sodium isostearate, alcohol, citric acid, sodium hydroxide, dehydroacetic acid, benzyl alcohol, limonene, linalool, citral, benzyl benzoate, geraniol.

trilogy vital moisturiser aqua, glycerin, prunus amygdalus dulcis (sweet almond) oil, glyceryl stearate se, oenothera biennis (evening primrose) oilsimmondsia chinensis (jojoba) seed oil, rosa canina seed oil, cetearyl wheat straw glycosides, cetearyl alcohol, sclerocarya birrea seed oil, aloe barbadensis leaf extract, sodium stearoyl glutamate, chamomilla recutita (matricaria) flower extract, solanum lycopersicum (tomato) seed oil, vaccinium macrocarpon (cranberry) seed oil, lycopene, euterpe oleracea fruit oil, avena sativa (oat) kernel extract, daucus carota sativa (carrot) seed oil, helianthus annuus (sunflower) seed oil, tocopheryl acetate, citrus aurantium amara (bitter orange) flower oil, rosmarinus officinalis (rosemary) leaf extract, caprylic/capric triglyceride, tocopherol, citric acid, parfum, benzyl alcohol**, dehydroacetic acid**, citral*, geraniol*, citronellol*, limonene*, linalool* *components of natural essential oils **preserved with dehydroacetic acid (and) benzyl alcohol

evolve bio-retinol gold mask helianthus annuus (sunflower) seed oil*, glycerin**, kaolin, prunus amygdalus dulcis (sweet almond) oil*, argania spinosa (argan) kernel oil*, mica, titanium dioxide (ci77891), silica, iron oxide (ci77491), sucrose laurate, rosa canina (rosehip) fruit oil*, parfum (naturally derived fragrance), bidens pilosa extract, astrocaryum murumuru seed butter, gossypium herbaceum (cotton) seed oil, linum usitatissimum (linseed) seed oil, citrus aurantium dulcis (orange) fruit water*, vanilla planifolia fruit oil, tocopherol, sucrose stearate, sucrose palmitate, tin oxide. *ingredients from organic farming **made using organic ingredients

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.9,209
Skincare,Cleansing Gels & Milks,'7383227891884,'41811426771116,Oh My Cream Skincare,Cleansing Jelly,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-jelly?variant=41811426771116,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_OMCS_Gelee_Nettoyante_packshot_2.jpg?v=1756218456,"Complete list of ingredients

aqua (water), sodium lauroyl methyl isethionate, sodium methyl cocoyl taurate, coco-betaine, glycerin, sodium chloride, mel (honey), zinc gluconate, zingiber officinale (ginger) root extract, vaccinium macrocarpon (cranberry), fruit extract, quillaja saponaria wood extract, hydrolyzed vegetable protein, caprylyl/capryl glucoside, ascorbic acid, citric acid, sorbic acid, sodium dehydroacetate, potassium sorbate, sodium benzoate, parfum (fragrance)*, limonene, linalool. *parfum naturel / natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.8,17
Skincare,Cleansing Gels & Milks,'7383227891884,'41811426738348,Oh My Cream Skincare,Cleansing Jelly,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-jelly?variant=41811426738348,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Gelee_Nettoyante_50ml_OMC.jpg?v=1756218456,"Complete list of ingredients

aqua (water), sodium lauroyl methyl isethionate, sodium methyl cocoyl taurate, coco-betaine, glycerin, sodium chloride, mel (honey), zinc gluconate, zingiber officinale (ginger) root extract, vaccinium macrocarpon (cranberry), fruit extract, quillaja saponaria wood extract, hydrolyzed vegetable protein, caprylyl/capryl glucoside, ascorbic acid, citric acid, sorbic acid, sodium dehydroacetate, potassium sorbate, sodium benzoate, parfum (fragrance)*, limonene, linalool. *parfum naturel / natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.8,17
Skincare,Cleansing Gels & Milks,'7383227891884,'42869455585452,Oh My Cream Skincare,Cleansing Jelly,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-jelly?variant=42869455585452,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202506_Rechargegeleenettoyante_OMCS_Packshot.jpg?v=1756218456,"Complete list of ingredients

aqua (water), sodium lauroyl methyl isethionate, sodium methyl cocoyl taurate, coco-betaine, glycerin, sodium chloride, mel (honey), zinc gluconate, zingiber officinale (ginger) root extract, vaccinium macrocarpon (cranberry), fruit extract, quillaja saponaria wood extract, hydrolyzed vegetable protein, caprylyl/capryl glucoside, ascorbic acid, citric acid, sorbic acid, sodium dehydroacetate, potassium sorbate, sodium benzoate, parfum (fragrance)*, limonene, linalool. *parfum naturel / natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.8,17
Skincare,Cleansing Gels & Milks,'7383227891884,'55124315275644,Oh My Cream Skincare,Cleansing Jelly,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-jelly?variant=55124315275644,https://cdn.shopify.com/s/files/1/0555/4071/1596/products/3664529117518_OH_MY_CREAM_gelee_nettoyante.jpg?v=1756218456,"Complete list of ingredients

aqua (water), sodium lauroyl methyl isethionate, sodium methyl cocoyl taurate, coco-betaine, glycerin, sodium chloride, mel (honey), zinc gluconate, zingiber officinale (ginger) root extract, vaccinium macrocarpon (cranberry), fruit extract, quillaja saponaria wood extract, hydrolyzed vegetable protein, caprylyl/capryl glucoside, ascorbic acid, citric acid, sorbic acid, sodium dehydroacetate, potassium sorbate, sodium benzoate, parfum (fragrance)*, limonene, linalool. *parfum naturel / natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.8,17
Skincare,Cleansing Gels & Milks,'7383227891884,'55124315341180,Oh My Cream Skincare,Cleansing Jelly,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-jelly?variant=55124315341180,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Gelee-Nettoyante-TS-OMCS.jpg?v=1756218456,"Complete list of ingredients

aqua (water), sodium lauroyl methyl isethionate, sodium methyl cocoyl taurate, coco-betaine, glycerin, sodium chloride, mel (honey), zinc gluconate, zingiber officinale (ginger) root extract, vaccinium macrocarpon (cranberry), fruit extract, quillaja saponaria wood extract, hydrolyzed vegetable protein, caprylyl/capryl glucoside, ascorbic acid, citric acid, sorbic acid, sodium dehydroacetate, potassium sorbate, sodium benzoate, parfum (fragrance)*, limonene, linalool. *parfum naturel / natural fragrance.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.8,17
Skincare,Cleansing Gels & Milks,'7383227924652,'41811426836652,Oh My Cream Skincare,Cleansing Emulsion,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-emulsion?variant=41811426836652,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_Emulsion_Nettoyante_packshot_2.jpg?v=1756218365,"Complete list of ingredients

cleansing emulsion 150ml

aqua (water), glycerin, caprylic/capric triglyceride, ethylhexyl palmitate, lactobacillus ferment, theobroma grandiflorum seed butter, glyceryl behenate,glyceryl stearate citrate, squalane, avena sativa (oat) kernel flour, potassium cetyl phosphate, stearyl alcohol, hydrolyzed linseed extract*, phytic acid, helianthus annuus (sunflower) seed oil,tocopherol, myristyl glucoside, microcrystalline cellulose, cellulose gum, myristyl alcohol, xanthan gum, sodium hydroxide, parfum (fragrance), sodium levulinate, sodium anisate, sodium benzoate, sodium dehydroacetate, carbomer, limonene, linalool, citronellol

cleansing emulsion travel size

aqua (water), caprylic/capric triglyceride, ethylhexyl palmitate, glycerin, squalane, lactobacillus ferment, theobroma grandiflorum seed butter, glyceryl stearate citrate, avena sativa (oat) kernel flour, stearyl alcohol, parfum (fragrance), myristyl alcohol, sodium levulinate, potassium cetyl phosphate, carbomer, cellulose gum, myristyl glucoside, sodium anisate, sodium dehydroacetate, sodium hydroxide, limonene, phytic acid, hydrolyzed linseed extract, linalool, citronellol, glucose, sodium benzoate, sodium chloride, sodium glycolate.""

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,18
Skincare,Cleansing Gels & Milks,'7383227924652,'41811426803884,Oh My Cream Skincare,Cleansing Emulsion,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-emulsion?variant=41811426803884,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_OMCS_emulsion_nettoyante_50_packshot.png?v=1756218365,"Complete list of ingredients

cleansing emulsion 150ml

aqua (water), glycerin, caprylic/capric triglyceride, ethylhexyl palmitate, lactobacillus ferment, theobroma grandiflorum seed butter, glyceryl behenate,glyceryl stearate citrate, squalane, avena sativa (oat) kernel flour, potassium cetyl phosphate, stearyl alcohol, hydrolyzed linseed extract*, phytic acid, helianthus annuus (sunflower) seed oil,tocopherol, myristyl glucoside, microcrystalline cellulose, cellulose gum, myristyl alcohol, xanthan gum, sodium hydroxide, parfum (fragrance), sodium levulinate, sodium anisate, sodium benzoate, sodium dehydroacetate, carbomer, limonene, linalool, citronellol

cleansing emulsion travel size

aqua (water), caprylic/capric triglyceride, ethylhexyl palmitate, glycerin, squalane, lactobacillus ferment, theobroma grandiflorum seed butter, glyceryl stearate citrate, avena sativa (oat) kernel flour, stearyl alcohol, parfum (fragrance), myristyl alcohol, sodium levulinate, potassium cetyl phosphate, carbomer, cellulose gum, myristyl glucoside, sodium anisate, sodium dehydroacetate, sodium hydroxide, limonene, phytic acid, hydrolyzed linseed extract, linalool, citronellol, glucose, sodium benzoate, sodium chloride, sodium glycolate.""

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,18
Skincare,Cleansing Gels & Milks,'7383227924652,'42869326184620,Oh My Cream Skincare,Cleansing Emulsion,https://ohmycream.co.uk/collections/skincare-cleansing-gels-milks/products/oh-my-cream-skincare-cleansing-emulsion?variant=42869326184620,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202506_RechargeEmulsionNettoyante_OMCS_Packshot.jpg?v=1756218365,"Complete list of ingredients

cleansing emulsion 150ml

aqua (water), glycerin, caprylic/capric triglyceride, ethylhexyl palmitate, lactobacillus ferment, theobroma grandiflorum seed butter, glyceryl behenate,glyceryl stearate citrate, squalane, avena sativa (oat) kernel flour, potassium cetyl phosphate, stearyl alcohol, hydrolyzed linseed extract*, phytic acid, helianthus annuus (sunflower) seed oil,tocopherol, myristyl glucoside, microcrystalline cellulose, cellulose gum, myristyl alcohol, xanthan gum, sodium hydroxide, parfum (fragrance), sodium levulinate, sodium anisate, sodium benzoate, sodium dehydroacetate, carbomer, limonene, linalool, citronellol

cleansing emulsion travel size

aqua (water), caprylic/capric triglyceride, ethylhexyl palmitate, glycerin, squalane, lactobacillus ferment, theobroma grandiflorum seed butter, glyceryl stearate citrate, avena sativa (oat) kernel flour, stearyl alcohol, parfum (fragrance), myristyl alcohol, sodium levulinate, potassium cetyl phosphate, carbomer, cellulose gum, myristyl glucoside, sodium anisate, sodium dehydroacetate, sodium hydroxide, limonene, phytic acid, hydrolyzed linseed extract, linalool, citronellol, glucose, sodium benzoate, sodium chloride, sodium glycolate.""

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.4,18
