Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Fragrance,fragrance,'7947374985388,'43504681582764,Fascent,I Fig You,https://ohmycream.co.uk/collections/fragrance/products/fascent-i-fig-you-fragrance?variant=43504681582764,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/IFigYou_Fascent.jpg?v=1727962311,"Complete list of ingredients

ingredients : alcohol denat., parfum (fragrance), aqua (water), limonene, hydroxycitronellal, linalool, alpha-isomethyl ionone, citral, farnesol, geraniol.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Fragrance,fragrance,'7947374985388,'55593454961020,Fascent,I Fig You,https://ohmycream.co.uk/collections/fragrance/products/fascent-i-fig-you-fragrance?variant=55593454961020,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_Fascent_Ampoules_I_Fig_you_packshot.jpg?v=1754381601,"Complete list of ingredients

ingredients : alcohol denat., parfum (fragrance), aqua (water), limonene, hydroxycitronellal, linalool, alpha-isomethyl ionone, citral, farnesol, geraniol.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Fragrance,fragrance,'15171493298556,'55097127272828,Ceremonia,Perfume Mist de Guava,https://ohmycream.co.uk/collections/fragrance/products/ceremonia-perfume-mist-de-guava?variant=55097127272828,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/MistdelaGuava50ml_Ceremonia.jpg?v=1747124059,"Complete list of ingredients

water (aqua), glycerin, alteromonas ferment extract, psidium guajava leaf extract, psidium guajava fruit extract, cereus grandiflorus (cactus) flower extract, aloe barbadensis leaf juice, agave tequilana leaf extract, mica (ci 77019), polyquaternium-73, caprylyl/capryl glucoside, cellulose, cellulose gum, babassu oil polyglyceryl-4 esters, polyglyceryl-10 laurate, butylene glycol, sodium phytate, panthenol, sodium benzoate, potassium sorbate, fragrance (parfum), iron oxides (ci 77491), titanium dioxide (ci 77891), citric acid, sorbic acid, acetyl cedrene, benzyl salicylate, citral, citronellol, citrus aurantium peel oil, citrus aurantium bergamia peel oil, citrus limon peel oil, coumarin, alpha-isomethyl ionone, limonene, linalool, linalyl acetate, pinene, tetramethyl acetyloctahydronaphthalenes.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Fragrance,fragrance,'7953902239916,'43520798130348,Racyne,Verdeur,https://ohmycream.co.uk/collections/fragrance/products/racyne-verdeur-fragrance?variant=43520798130348,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/Verdeur_Racyne.jpg?v=1728401518,"Complete list of ingredients

alcohol denat., parfum (fragrance), aqua (water), hydroxycitronellal, limonene, geraniol, linalool, isoeugenol, citral, benzyl alcohol, eugenol

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'5.0,1
Fragrance,fragrance,'15428198269308,'55520957825404,Versatile Paris,Gueule de Bois Roll-on Fragrance,https://ohmycream.co.uk/collections/fragrance/products/gueule-de-bois-roll-on-fragrance-versatile-paris?variant=55520957825404,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/GueuledeBois_Versatile.jpg?v=1751967029,"Complete list of ingredients

""prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, limonene, linalool, citral, coumarin, eugenol, geraniol, citronellol, isoeugenol""

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Fragrance,fragrance,'15428149641596,'55520909001084,Versatile Paris,Extrait de Parfum Discovery Set,https://ohmycream.co.uk/collections/fragrance/products/extrait-de-parfum-discovery-set-versatile-paris?variant=55520909001084,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202507_Kitdecouverte_Versatile_packshot.jpg?v=1751968190,"Complete list of ingredients

croissant cafe prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, coumarin, d-limonene, isoeugenol

dimanche flemme prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, d-limonene, linalool, geraniol, citral, eugenol, citronellol

accrodisiaque prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, citronellol, benzyl benzoate, d-limonene, linalool, eugenol, citral, geraniol

rital date prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, limonene, linalool, citral, coumarin, eugenol, geraniol, citronellol, isoeugenol

sea sud & sun prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, linalool, limonene, coumarin, geraniol, hydroxycitronellal, citral, farnesol

culot the prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, linalool, d-limonene, geraniol, benzyl alcohol, coumarin, citral, methyl e-octynoate, eugenol, farnesol, citronellol

gueulle de bois prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, limonene, linalool, citral, coumarin, eugenol, geraniol, citronellol, isoeugenol

la foncedalle prunus amygdalus dulcis oil, parfum (fragrance), triticum vulgare germ oil, tocopherol mixed, tetramethyl acetyloctahydronaphthalenes, acetyl cedrene, citrus aurantium bergamia peel oil, linalyl acetate, limonene, pogostemon cablin oil, linalool, pinene, trimethylcyclopentenyl methylisopentenol, laurus nobilis leaf oil, beta-caryophyllene, terpinolene, anethole, citral, terpineol, geraniol, geranyl acetate, farnesol, eugenol, alpha-terpinene, isoeugenol, citronellol, benzyl benzoate

god bless cola prunus amygdalus dulcis (sweet almond) oil, parfum (fragrance), triticum vulgare (wheat) germ oil, tocopherol, limonene, benzyl benzoate, cinnamal, eugenol, citral, linalool

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Fragrance,fragrance,'7947372560556,'43504679157932,Fascent,Milky No Way,https://ohmycream.co.uk/collections/fragrance/products/fascent-milky-no-way-fragrance?variant=43504679157932,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/NoMilkyWay-Fascent.jpg?v=1727965469,"Complete list of ingredients

ingredients : alcohol denat., parfum (fragrance), aqua (water), coumarin, linalool, limonene, citral, farnesol, isoeugenol, geraniol.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.0,2
Fragrance,fragrance,'7947372560556,'55593409020284,Fascent,Milky No Way,https://ohmycream.co.uk/collections/fragrance/products/fascent-milky-no-way-fragrance?variant=55593409020284,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_Fascent_Ampoule_Milky_No_Way_packshot.jpg?v=1754380695,"Complete list of ingredients

ingredients : alcohol denat., parfum (fragrance), aqua (water), coumarin, linalool, limonene, citral, farnesol, isoeugenol, geraniol.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",'4.0,2
Fragrance,fragrance,'7947373346988,'43504680009900,Fascent,L'Eau d'Or Dort,https://ohmycream.co.uk/collections/fragrance/products/fascent-leau-dor-dort-fragrance?variant=43504680009900,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/L_eaud_ordort_Fascent.jpg?v=1727961515,"Complete list of ingredients

ingredients : alcohol denat., parfum (fragrance), aqua (water), benzyl salicylate, linalool, limonene, citronellol, geraniol, coumarin, hydroxycitronellal, citral, alpha-isomethyl ionone, benzyl alcohol.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
Fragrance,fragrance,'7947373346988,'55593454993788,Fascent,L'Eau d'Or Dort,https://ohmycream.co.uk/collections/fragrance/products/fascent-leau-dor-dort-fragrance?variant=55593454993788,https://cdn.shopify.com/s/files/1/0555/4071/1596/files/202508_Fascent_Ampoules_L_eau_d_Or_Dort_packshot.jpg?v=1754381271,"Complete list of ingredients

ingredients : alcohol denat., parfum (fragrance), aqua (water), benzyl salicylate, linalool, limonene, citronellol, geraniol, coumarin, hydroxycitronellal, citral, alpha-isomethyl ionone, benzyl alcohol.

this list of ingredients is subject to change; please refer to the packaging of the purchased product.",',0
