Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
Bath & Body,Body Wash,'MUK200055563,'UK200055563,Naturium,The Booster Hyaluronic Acid Body Wash 500 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/body-wash/the-booster-hyaluronic-acid-body-wash-MUK200055563.html?dwvar_MUK200055563_size=UK200055563&pid=MUK200055563&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwa8a03dc0/products/NATURIUM/UK200055563_NATURIUM.jpg?sw=582&sh=582,"Aqua/water/eau, glycerin, cocamidopropyl hydroxysultaine, guar hydroxypropyltrimonium chloride, coco-glucoside, sodium lauroyl glutamate, sodium methyl cocoyl taurate, panthenol, hydrolyzed hyaluronic acid, sodium hyaluronate, cyanocobalamin, nelumbo nucifera root water, beta-glucan, cocamidopropylamine oxide, hydroxyacetophenone, trisodium ethylenediamine disuccinate, caprylyl glycol, 1,2-hexanediol, citric acid, sodium benzoate, sodium hydroxide, phenoxyethanol.",'4.4,'35
Bath & Body,Body Wash,'MUK200037923,'UK200037923,Naturium,The Smoother Glycolic Acid Exfoliating Body Wash 500 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/body-wash/the-smoother-glycolic-acid-exfoliating-body-wash-MUK200037923.html?dwvar_MUK200037923_size=UK200037923&pid=MUK200037923&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwa1c6abdf/products/NATURIUM/UK200037923_NATURIUM.jpg?sw=582&sh=582,"Aqua, sodium cocoyl isethionate, glycolic acid, sodium hydroxide, sodium methyl cocoyl taurate, glycol distearate, lactic acid, malic acid, pyruvic acid, tartaric acid, sodium pca, polyquaternium-73, cocamide mipa, cocamidopropyl hydroxysultaine, chondrus crispus extract, polyquaternium-10, glycerin, caprylyl glycol, didecydimonium chloride, methylpropanediol, polyquaternium-80, citric acid, tetrasodium glutamate diacetate, sodium lactate.",'4.5,'645
Bath & Body,Body Wash,'MUK200037923,'UK200056863,Naturium,The Smoother Glycolic Acid Exfoliating Body Wash 100 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/body-wash/the-smoother-glycolic-acid-exfoliating-body-wash-MUK200037923.html?dwvar_MUK200037923_size=UK200056863&pid=MUK200037923&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwe6566ee4/products/NATURIUM/UK200056863_NATURIUM.jpg?sw=582&sh=582,"Aqua, sodium cocoyl isethionate, glycolic acid, sodium hydroxide, sodium methyl cocoyl taurate, glycol distearate, lactic acid, malic acid, pyruvic acid, tartaric acid, sodium pca, polyquaternium-73, cocamide mipa, cocamidopropyl hydroxysultaine, chondrus crispus extract, polyquaternium-10, glycerin, caprylyl glycol, didecydimonium chloride, methylpropanediol, polyquaternium-80, citric acid, tetrasodium glutamate diacetate, sodium lactate.",'4.5,'645
Bath & Body,Body Wash,'MUK200037922,'UK200037922,Naturium,The Glow Getter Multi-Oil Hydrating Body Wash 500 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/body-wash/the-glow-getter-multi-oil-hydrating-body-wash-MUK200037922.html?dwvar_MUK200037922_size=UK200037922&pid=MUK200037922&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw0c9d9830/products/NATURIUM/UK200037922_NATURIUM.jpg?sw=582&sh=582,"Glycerin, aqua, cocamidopropyl betaine, disodium cocoamphodiacetate, hippophae rhamnoides fruit/seed oil, rosa canina (rose hips) fruit oil, simmondsia chinensis (jojoba) seed oil, squalane, pyrus malus (apple) fruit extract, polyquaternium-10, maltodextrin, sorbitan oleate decylglucoside crosspolymer, phenoxyethanol, cocos nucifera (coconut) fruit extract, vanilla planifolia fruit extract, gardenia jasminoides fruit extract, eugenia caryophyllus (clove) flower extract, prunus armeniaca (apricot) fruit extract, prunus persica (peach) fruit extract, citric acid, ethylhexylglycerin, tetrasodium glutamate diacetate.",'4.6,"'1,300"
Bath & Body,Handwash,'MUK200006989,'UK200006989,Aesop,Resurrection Aromatique Hand Wash 500 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/handwash/resurrection-aromatique-hand-wash-MUK200006989.html?dwvar_MUK200006989_size=UK200006989&pid=MUK200006989&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw856f1f60/products/AESOP/UK200006989_AESOP.jpg?sw=582&sh=582,"Water (aqua), sodium laureth sulfate, coco-betaine, cocamide dea, sea salt (maris sal ), citrus nobilis (mandarin orange) peel oil, cedrus atlantica (cedarwood) bark oil, lavandula angustifolia (lavender) oil, citrus aurantium dulcis (orange) oil, rosmarinus officinalis (rosemary) leaf oil, citric acid, methylchloroisothiazolinone, methylisothiazolinone, d-limonene, linalool.",'4.8,"'1,042"
Bath & Body,Body Wash,'MUK200039377,'UK200039377,Naturium,The Perfector Salicylic Acid Body Wash 500 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/body-wash/the-perfector-salicylic-acid-body-wash-MUK200039377.html?dwvar_MUK200039377_size=UK200039377&pid=MUK200039377&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwa98b4aae/products/NATURIUM/UK200039377_NATURIUM.jpg?sw=582&sh=582,"Water (aqua/eau), cocamidopropyl hydroxysultaine, decyl glucoside, disodium cocoamphodiacetate, glycerin, sodium chloride, acrylates/c10-30 alkyl acrylate crosspolymer, cocamidopropyl dimethylamine, salicylic acid, helianthus annuus (sunflower) seed oil, carthamus tinctorius (safflower) seed oil, olea europaea (olive) fruit oil, phenoxyethanol, sodium hydroxide, ethylhexylglycerin, tetrasodium glutamate diacetate, hexylene glycol, polysorbate 80.",'4.4,'493
Bath & Body,Handwash,'MUK300056319,'UK300056319,Aesop,Resurrection Aromatique Hand Wash 500ml Refill 50,https://www.spacenk.com/uk/bath-body/body-cleanser/handwash/resurrection-aromatique-hand-wash-500ml-refill-MUK300056319.html?dwvar_MUK300056319_size=UK300056319&pid=MUK300056319&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw2a275420/products/AESOP/UK300056319_AESOP.jpg?sw=582&sh=582,"Water (aqua), sodium laureth sulfate, coco-betaine, cocamide dea, sea salt (maris sal ), citrus nobilis (mandarin orange) peel oil, cedrus atlantica (cedarwood) bark oil, lavandula angustifolia (lavender) oil, citrus aurantium dulcis (orange) oil, rosmarinus officinalis (rosemary) leaf oil, citric acid, methylchloroisothiazolinone, methylisothiazolinone, d-limonene, linalool.",'4.8,'56
Bath & Body,Body Wash,'MUK200037924,'UK200037924,Naturium,The Brightener Vitamin C Brightening Body Wash 500 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/body-wash/the-brightener-vitamin-c-brightening-body-wash-MUK200037924.html?dwvar_MUK200037924_size=UK200037924&pid=MUK200037924&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw1f60e48e/products/NATURIUM/UK200037924_NATURIUM.jpg?sw=582&sh=582,"Aqua, sodium cocoyl isethionate, cocamidopropyl, hydroxysultaine, glycerin, coco-glucoside, sodium methyl cocoyl taurate, sodium hyaluronate, acrylates/c10-30 alkyl acrylate crosspolymer, ascorbyl glucoside, papain, niacinamide, bromelain, sodium pca, vaccinium myrtillus (bilberry) extract, saccharum officinarum (sugar cane) extract, citrus limon (lemon) fruit extract, acer saccharum (sugar maple) extract, citrus aurantium dulcis (orange) fruit extract, glycol distearate, polyquaternium-51, caprylic/capric triglyceride, citrus aurantium amara (orange) leaf/twig extract, phenoxyethanol, cocamide mipa, triethyl citrate, sodium hydroxide, ethylhexylglycerin, urea, tetrasodium glutamate diacetate, trehalose, maltodextrin.",'4.2,'172
Bath & Body,Handwash,'MUK300055877,'UK300055877,Aesop,Reverence Aromatique Hand Wash 500 ML,https://www.spacenk.com/uk/bath-body/body-cleanser/handwash/reverence-aromatique-hand-wash-MUK300055877.html?dwvar_MUK300055877_size=UK300055877&pid=MUK300055877&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwa5295240/products/AESOP/UK300055877_AESOP.jpg?sw=582&sh=582,"Water (aqua), sodium laureth sulfate, acrylates copolymer, pumice, coco-betaine, polysorbate 20, citrus aurantium bergamia (bergamot) fruit oil, sodium cocoamphoacetate, sodium hydroxide, citrus aurantium amara (bitter orange) leaf/twig oil, vetiveria zizanoides root oil, citrus grandis (grapefruit) peel oil, fusanus spicatus wood oil, methylchloroisothiazolinone, methylisothiazolinone, d-limonene, linalool, farnesol.",'4.7,'320
Bath & Body,Body Lotion,'MUK200040317,'UK200040317,Naturium,KP Scrub & Mask 226 G,https://www.spacenk.com/uk/bath-body/body-moisturiser-oils/body-lotion/kp-scrub-mask-MUK200040317.html?dwvar_MUK200040317_size=UK200040317&pid=MUK200040317&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw2db02921/products/NATURIUM/UK200040317_NATURIUM.jpg?sw=582&sh=582,"Aqua/water/eau, pumice, glycolic acid, stearic acid, cetearyl alcohol, ci 77891 (titanium dioxide), sodium hydroxide, jojoba esters, gluconolactone, glycerin, sodium cocoyl isethionate, dimethicone, salicylic acid, simmondsia chinensis seed oil, squalane, sodium hyaluronate, leuconostoc/radish root ferment filtrate, bisabolol, c12-15 alkyl benzoate, hippophae rhamnoides fruit/seed oil, niacinamide, rosa canina fruit oil, camellia sinensis leaf extract, glycyrrhiza glabra root extract, glycine soja oil, steareth-20, xanthan gum, steareth-21, phenoxyethanol, ethylhexylglycerin, tetrasodium glutamate diacetate, tocopherol.",'4.3,'151
