Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
fragrance,Candle,'MUK200034526,'UK200034526,Acqua di parma,Buongiorno Candle 200 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/buongiorno-candle-MUK200034526.html?dwvar_MUK200034526_size=UK200034526&pid=MUK200034526&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw945c3b6d/products/ACQUA_DI/UK200034526_ACQUA_DI.jpg?sw=582&sh=582,,'5.0,'3
fragrance,Candle,'MUK101791295,'UK101791295,Diptyque,Baies Scented Candle 190g 190 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/baies-scented-candle-MUK101791295.html?dwvar_MUK101791295_size=UK101791295&pid=MUK101791295&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw701cdf51/products/DIPTYQUE/UK101791295_DIPTYQUE.jpg?sw=582&sh=582,"Notes of: summer berries, blackcurrant leaves, roses",'4.8,'943
fragrance,Candle,'MUK101791295,'US200005040,Diptyque,Baies Scented Candle (70g) 70 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/baies-scented-candle-MUK101791295.html?dwvar_MUK101791295_size=US200005040&pid=MUK101791295&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwf3cb23f8/products/DIPTYQUE/US200005040_DIPTYQUE.jpg?sw=582&sh=582,"Notes of: summer berries, blackcurrant leaves, roses",'4.8,'943
fragrance,Candle,'MUK200005973,'UK200005973,Diptyque,Amber Scented Candle 190g 190 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/amber-scented-candle-MUK200005973.html?dwvar_MUK200005973_size=UK200005973&pid=MUK200005973&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw09968165/products/DIPTYQUE/UK200005973_DIPTYQUE.jpg?sw=582&sh=582,,'4.7,'271
fragrance,Candle,'MUK200005973,'UK200010637,Diptyque,Amber Scented Candle 70 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/amber-scented-candle-MUK200005973.html?dwvar_MUK200005973_size=UK200010637&pid=MUK200005973&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw1d3e1fb6/products/DIPTYQUE/UK200010637_DIPTYQUE.jpg?sw=582&sh=582,,'4.7,'271
fragrance,Candle,'MUK101791304,'UK101791304,Diptyque,Jasmin Scented Candle 190g 190 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/jasmin-scented-candle-MUK101791304.html?dwvar_MUK101791304_size=UK101791304&pid=MUK101791304&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw2df5ed05/products/DIPTYQUE/UK101791304_DIPTYQUE.jpg?sw=582&sh=582,Notes of jasmine flower,'4.7,'135
fragrance,Candle,'MUK101791304,'UK200005918,Diptyque,Jasmin Scented Candle 70 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/jasmin-scented-candle-MUK101791304.html?dwvar_MUK101791304_size=UK200005918&pid=MUK101791304&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw244a8138/products/DIPTYQUE/UK200005918_DIPTYQUE.jpg?sw=582&sh=582,Notes of jasmine flower,'4.7,'135
fragrance,Candle,'MUK300057479,'UK300057479,Diptyque,Feu de Bois Scented Candle 600 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/feu-de-bois-scented-candle-MUK300057479.html?dwvar_MUK300057479_size=UK300057479&pid=MUK300057479&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw066154b9/products/DIPTYQUE/UK300057479_DIPTYQUE.jpg?sw=582&sh=582,,'4.7,'22
fragrance,Candle,'MUK200035684,'UK200035684,Diptyque,34 Blvd St Germain Candle 300 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/34-blvd-st-germain-candle-MUK200035684.html?dwvar_MUK200035684_size=UK200035684&pid=MUK200035684&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw2c52f038/products/DIPTYQUE/UK200035684_DIPTYQUE.jpg?sw=582&sh=582,,'4.8,'38
fragrance,Candle,'MUK101791313,'UK101791313,Diptyque,Roses Scented Candle 190g 190 G,https://www.spacenk.com/uk/fragrance/home-fragrance/candle/roses-scented-candle-MUK101791313.html?dwvar_MUK101791313_size=UK101791313&pid=MUK101791313&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwc33d8198/products/DIPTYQUE/UK101791313_DIPTYQUE.jpg?sw=582&sh=582,,'4.8,'287
