Major Category,Specific Category,Product ID,SKU ID,Product Brand,Product Desc,Product URL,Product Image Link,Product Ingredients,Rating,User Reviews
haircare,Shampoo,'MUK200054582,'UK200054582,Virtue,Scalp Remedy Shampoo 24,https://www.spacenk.com/uk/haircare/shampoo/shampoo/scalp-remedy-shampoo-MUK200054582.html?dwvar_MUK200054582_size=UK200054582&pid=MUK200054582&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwbe8dc269/products/VIRTUE/UK200054582_VIRTUE.jpg?sw=582&sh=582,"Aqua (water, eau), sodium cocoyl isethionate, sodium lauroyl methyl isethionate, lauryl glucoside, glycerin, rice oil glycereth-8 esters, propanediol, ethylhexylglycerin, keratin, panthenol, salicylic acid, salix alba (willow) bark extract, ziziphus joazeiro bark extract, sarcosine, anetholea anisata leaf extract, tropaeolum majus flower extract, oryza sativa (rice) extract, salvia hispanica seed extract, tocopherol, camellia sinensis leaf extract, oryza sativa (rice) seed protein, caesalpinia spinosa fruit extract, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, citrus paradisi (grapefruit) fruit extract, gluconolactone, helianthus annuus (sunflower) sprout extract, trehalose, xylitol, quaternium-95, simmondsia chinensis (jojoba) seed oil, tetrasodium glutamate diacetate, polyquaternium-113, rosmarinus officinalis (rosemary) leaf extract, galactoarabinan, disteareth-75 ipdi, heptyl glucoside, decyl glucoside, dicaprylyl ether, hydroxypropyl methylcellulose stearoxy ether, guar hydroxypropyltrimonium chloride, glyceryl oleate, trisodium ethylenediamine disuccinate, sodium dilauramidoglutamide lysine, maltodextrin, phytic acid, caprylyl glycol, sodium phosphate, sodium metabisulfite, calcium gluconate, phenoxyethanol, benzyl alcohol, sodium benzoate, potassium sorbate, chlorphenesin, citric acid, benzoic acid, sodium hydroxide",'4.7,'18
haircare,Dry Shampoo,'MUK200058553,'UK200058553,Color wow,Insta-WOW Advanced Dry Shampoo 20,https://www.spacenk.com/uk/haircare/shampoo/dry-shampoo/insta-wow-advanced-dry-shampoo-MUK200058553.html?dwvar_MUK200058553_size=UK200058553&pid=MUK200058553&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwcb1a60bd/products/COLOR_WOW/UK200058553_COLOR_WOW.jpg?sw=582&sh=582,"Isobutane, dimethyl ether, alcohol denat., dimethylimidazolidinone rice starch, distarch phosphate, glycerin, propanediol, aqua, capryloyl glycine, saccharomyces ferment filtrate, hamamelis virginiana (witch hazel) water, coco-glucoside, sarcosine, dipropylene glycol, moringa oleifera seed extract, nymphaea caerulea flower extract, nelumbo nucifera flower extract, epilobium angustifolium flower/leaf/stem extract, quercus suber bark extract, olea europaea (olive) leaf extract , parfum, phenoxyethanol, potassium sorbate, sodium benzoate, disodium phosphate, citric acid, alpha-isomethyl ionone, juniperus virginiana oil, hexamethylindanopyran, geraniol, tetramethyl acetyloctahydronaphthalenes, linalool, linalyl acetate, citrus aurantium dulcis (orange) peel oil, terpineol.",'4.8,'13
haircare,Shampoo,'MUS300024693,'US300024693,Oribe,Gold Lust Repair and Restore Shampoo 250 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/gold-lust-repair-restore-shampoo-MUS300024693.html?dwvar_MUS300024693_size=US300024693&pid=MUS300024693&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw853439ae/products/ORIBE/US300024693_ORIBE.jpg?sw=582&sh=582,"Aqua/water/eau, sodium lauroyl methyl isethionate, sodium cocoyl isethionate, sodium lauroyl sarcosinate, cocamide mipa, dimethicone, capryloyl/caproyl methyl glucamide, lauroyl/myristoyl methyl glucamide, glycerin, acrylates/beheneth-25 methacrylate copolymer, coconut acid, parfum/fragrance, sodium lauroyl lactylate, sodium lauroamphoacetate, amodimethicone, pentylene glycol, propanediol, sodium isethionate, propylene glycol, caprylyl glycol, guar hydroxypropyltrimonium chloride, hydroxyacetophenone, sodium benzoate, trisodium ethylenediamine disuccinate, polyquaternium-7, ethylhexylglycerin, disodium edta, laureth-23, laureth-4, panthenol, cetrimonium chloride, trideceth-15, trideceth-3, bht, rice oil glycereth-8 esters, shea butter glycereth-8 esters, synthetic fluorphlogopite, silicone quaternium-22, sorbitol, phenoxyethanol, salicylic acid, quaternium-95, citric acid, caffeine, citrullus lanatus (watermelon) seed oil, dipropylene glycol, polyglyceryl-3 caprate, butylene glycol, alcohol, cocamidopropyl betaine, acetic acid, chondrus crispus extract, citrus limon (lemon) fruit extract, jasminum officinale (jasmine) flower extract, ribes nigrum (black currant) fruit extract, cystine bis-pg-propyl silanetriol, hydrolyzed vegetable protein pg-propyl silanetriol, hydrolyzed vegetable protein, niacinamide, palmitamidopropyltrimonium chloride, santalum album (sandalwood) extract, leontopodium alpinum extract, tin oxide, vegetable amino acids, cupressus sempervirens seed extract, potassium sorbate, oryza sativa (rice) seed protein, camellia sinensis leaf extract, leuconostoc/radish root ferment filtrate, phytic acid, oryza sativa (rice) extract, gluconolactone, adansonia digitata seed oil, argania spinosa kernel oil, biotin, butyrospermum parkii (shea) butter, litchi chinensis pericarp extract, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, sodium hydroxide, sorbeth-230 tetraoleate, decyl glucoside, calcium gluconate, sorbitan laurate, limonene, hexyl cinnamal, linalool, ci 77891 (titanium dioxide).",'4.5,"'3,021"
haircare,Shampoo,'MUS300024693,'US300025632,Oribe,Gold Lust Repair and Restore Shampoo 1000 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/gold-lust-repair-restore-shampoo-MUS300024693.html?dwvar_MUS300024693_size=US300025632&pid=MUS300024693&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw237e48d2/products/ORIBE/US300025632_ORIBE.jpg?sw=582&sh=582,"Aqua/water/eau, sodium lauroyl methyl isethionate, sodium cocoyl isethionate, sodium lauroyl sarcosinate, cocamide mipa, dimethicone, capryloyl/caproyl methyl glucamide, lauroyl/myristoyl methyl glucamide, glycerin, acrylates/beheneth-25 methacrylate copolymer, coconut acid, parfum/fragrance, sodium lauroyl lactylate, sodium lauroamphoacetate, amodimethicone, pentylene glycol, propanediol, sodium isethionate, propylene glycol, caprylyl glycol, guar hydroxypropyltrimonium chloride, hydroxyacetophenone, sodium benzoate, trisodium ethylenediamine disuccinate, polyquaternium-7, ethylhexylglycerin, disodium edta, laureth-23, laureth-4, panthenol, cetrimonium chloride, trideceth-15, trideceth-3, bht, rice oil glycereth-8 esters, shea butter glycereth-8 esters, synthetic fluorphlogopite, silicone quaternium-22, sorbitol, phenoxyethanol, salicylic acid, quaternium-95, citric acid, caffeine, citrullus lanatus (watermelon) seed oil, dipropylene glycol, polyglyceryl-3 caprate, butylene glycol, alcohol, cocamidopropyl betaine, acetic acid, chondrus crispus extract, citrus limon (lemon) fruit extract, jasminum officinale (jasmine) flower extract, ribes nigrum (black currant) fruit extract, cystine bis-pg-propyl silanetriol, hydrolyzed vegetable protein pg-propyl silanetriol, hydrolyzed vegetable protein, niacinamide, palmitamidopropyltrimonium chloride, santalum album (sandalwood) extract, leontopodium alpinum extract, tin oxide, vegetable amino acids, cupressus sempervirens seed extract, potassium sorbate, oryza sativa (rice) seed protein, camellia sinensis leaf extract, leuconostoc/radish root ferment filtrate, phytic acid, oryza sativa (rice) extract, gluconolactone, adansonia digitata seed oil, argania spinosa kernel oil, biotin, butyrospermum parkii (shea) butter, litchi chinensis pericarp extract, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, sodium hydroxide, sorbeth-230 tetraoleate, decyl glucoside, calcium gluconate, sorbitan laurate, limonene, hexyl cinnamal, linalool, ci 77891 (titanium dioxide).",'4.5,"'3,021"
haircare,Shampoo,'MUS300024693,'UK300055693,Oribe,Gold Lust Repair & Restore Shampoo 75 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/gold-lust-repair-restore-shampoo-MUS300024693.html?dwvar_MUS300024693_size=UK300055693&pid=MUS300024693&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwafb4906b/products/ORIBE/UK300055693_ORIBE.jpg?sw=582&sh=582,"Aqua/water/eau, sodium lauroyl methyl isethionate, sodium cocoyl isethionate, sodium lauroyl sarcosinate, cocamide mipa, dimethicone, capryloyl/caproyl methyl glucamide, lauroyl/myristoyl methyl glucamide, glycerin, acrylates/beheneth-25 methacrylate copolymer, coconut acid, parfum/fragrance, sodium lauroyl lactylate, sodium lauroamphoacetate, amodimethicone, pentylene glycol, propanediol, sodium isethionate, propylene glycol, caprylyl glycol, guar hydroxypropyltrimonium chloride, hydroxyacetophenone, sodium benzoate, trisodium ethylenediamine disuccinate, polyquaternium-7, ethylhexylglycerin, disodium edta, laureth-23, laureth-4, panthenol, cetrimonium chloride, trideceth-15, trideceth-3, bht, rice oil glycereth-8 esters, shea butter glycereth-8 esters, synthetic fluorphlogopite, silicone quaternium-22, sorbitol, phenoxyethanol, salicylic acid, quaternium-95, citric acid, caffeine, citrullus lanatus (watermelon) seed oil, dipropylene glycol, polyglyceryl-3 caprate, butylene glycol, alcohol, cocamidopropyl betaine, acetic acid, chondrus crispus extract, citrus limon (lemon) fruit extract, jasminum officinale (jasmine) flower extract, ribes nigrum (black currant) fruit extract, cystine bis-pg-propyl silanetriol, hydrolyzed vegetable protein pg-propyl silanetriol, hydrolyzed vegetable protein, niacinamide, palmitamidopropyltrimonium chloride, santalum album (sandalwood) extract, leontopodium alpinum extract, tin oxide, vegetable amino acids, cupressus sempervirens seed extract, potassium sorbate, oryza sativa (rice) seed protein, camellia sinensis leaf extract, leuconostoc/radish root ferment filtrate, phytic acid, oryza sativa (rice) extract, gluconolactone, adansonia digitata seed oil, argania spinosa kernel oil, biotin, butyrospermum parkii (shea) butter, litchi chinensis pericarp extract, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, sodium hydroxide, sorbeth-230 tetraoleate, decyl glucoside, calcium gluconate, sorbitan laurate, limonene, hexyl cinnamal, linalool, ci 77891 (titanium dioxide).",'4.5,"'3,021"
haircare,Shampoo,'MUK200027215,'UK200027215,Ouai,Detox Shampoo 300 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/detox-shampoo-MUK200027215.html?dwvar_MUK200027215_size=UK200027215&pid=MUK200027215&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw2fb21f65/products/OUAI/UK200027215_OUAI.jpg?sw=582&sh=582,"Aqua (water, eau), sodium c14-16 olefin sulfonate, sodium lauroyl methyl isethionate, cocamidopropyl betaine, decyl glucoside, acrylates copolymer, cocamide mipa, parfum (fragrance), polysorbate 20, hydrolyzed keratin, hydroxypropyl guar hydroxypropyltrimonium chloride, vinegar, peg-150 distearate, polyquaternium-7, glycerin, benzophenone-4, sodium chloride, sodium hydroxide, tetrasodium edta, trisodium ethylenediamine disuccinate, isopropyl alcohol, propylene glycol, citric acid, disodium edta, chlorphenesin, sodium benzoate, phenoxyethanol, potassium sorbate, butylphenyl methylpropional, linalool, citronellol, ci 14700 (red 4), ci 19140 (yellow 5), ci 61570 (green 5)",'4.6,'767
haircare,Shampoo,'MUK300053879,'UK300053879,Olaplex,No. 4 Bond Maintenance Shampoo 250 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/no.-4-bond-maintenance-shampoo-MUK300053879.html?dwvar_MUK300053879_size=UK300053879&pid=MUK300053879&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw330a9b3d/products/OLAPLEX/UK300053879_OLAPLEX.jpg?sw=582&sh=582,"Water (aqua), sodium lauroyl methyl isethionate, cocamidopropyl hydroxysultaine, potassium cocoyl glycinate, disodium cocoyl glutamate, sodium lauroyl sarcosinate, potassium cocoate, decyl glucoside, glycereth-26, phenoxyethanol, fragrance (parfum), cocamidopropylamine oxide, disodium laureth sulfosuccinate, glycol distearate, sodium cocoyl glutamate, methyl gluceth-20 acrylates copolymer, peg-120 methyl glucose dioleate, amodimethicone, citric acid sodium lauryl sulfoacetate, polyquaternium-10, ethylhexylglycerin, chlorphenesin, divinyldimethicone/dimethicone copolymer, guar hydroxypropyltrimonium chloride, polyquaternium-11, trisodium ethylenediamine disuccinate, c11-15 pareth-7, laureth-9, glycerin, trideceth-12, hexyl cinnamal, limonene, c12-13 pareth-23, c12-13 pareth-3, hydrolyzed vegetable protein pg-propyl silanetriol, panthenol, acetic acid, citral, benzoic acid, tetrasodium edta, pentasodium triphosphate, disodium edta, potassium sorbate, helianthus annuus (sunflower) seed oil, tocopherol, prunus armeniaca (apricot) kernel oil, pseudozyma epicola/argania spinosa kernel oil ferment filtrate, pseudozyma epicola/camellia sinensis seed oil ferment extract filtrate, quaternium-95, propanediol, helianthus annuus (sunflower) seed extract, bis-aminopropyl diglycol dimaleate peg-8, euterpe oleracea fruit extract, punica granatum extract, rosmarinus officinalis (rosemary) leaf extract, musa sapientum (banana) fruit extract, origanum vulgare leaf extract, morinda citrifolia fruit extract, arctium lap, peg-8/smdi copolymer, sodium hyaluronate, palmitoyl myristyl serinate, sodium polyacrylate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, biotin",'4.4,"'8,769"
haircare,Shampoo,'MUK300053879,'UK300053882,Olaplex,No. 4 Bond Maintenance Shampoo 100 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/no.-4-bond-maintenance-shampoo-MUK300053879.html?dwvar_MUK300053879_size=UK300053882&pid=MUK300053879&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dwdb173bfc/products/OLAPLEX/UK300053882_OLAPLEX.jpg?sw=582&sh=582,"Water (aqua), sodium lauroyl methyl isethionate, cocamidopropyl hydroxysultaine, potassium cocoyl glycinate, disodium cocoyl glutamate, sodium lauroyl sarcosinate, potassium cocoate, decyl glucoside, glycereth-26, phenoxyethanol, fragrance (parfum), cocamidopropylamine oxide, disodium laureth sulfosuccinate, glycol distearate, sodium cocoyl glutamate, methyl gluceth-20 acrylates copolymer, peg-120 methyl glucose dioleate, amodimethicone, citric acid sodium lauryl sulfoacetate, polyquaternium-10, ethylhexylglycerin, chlorphenesin, divinyldimethicone/dimethicone copolymer, guar hydroxypropyltrimonium chloride, polyquaternium-11, trisodium ethylenediamine disuccinate, c11-15 pareth-7, laureth-9, glycerin, trideceth-12, hexyl cinnamal, limonene, c12-13 pareth-23, c12-13 pareth-3, hydrolyzed vegetable protein pg-propyl silanetriol, panthenol, acetic acid, citral, benzoic acid, tetrasodium edta, pentasodium triphosphate, disodium edta, potassium sorbate, helianthus annuus (sunflower) seed oil, tocopherol, prunus armeniaca (apricot) kernel oil, pseudozyma epicola/argania spinosa kernel oil ferment filtrate, pseudozyma epicola/camellia sinensis seed oil ferment extract filtrate, quaternium-95, propanediol, helianthus annuus (sunflower) seed extract, bis-aminopropyl diglycol dimaleate peg-8, euterpe oleracea fruit extract, punica granatum extract, rosmarinus officinalis (rosemary) leaf extract, musa sapientum (banana) fruit extract, origanum vulgare leaf extract, morinda citrifolia fruit extract, arctium lap, peg-8/smdi copolymer, sodium hyaluronate, palmitoyl myristyl serinate, sodium polyacrylate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, biotin",'4.4,"'8,769"
haircare,Shampoo,'MUK200027206,'UK200027206,Ouai,Fine Hair Shampoo 300 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/fine-hair-shampoo-MUK200027206.html?dwvar_MUK200027206_size=UK200027206&pid=MUK200027206&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dweac7f914/products/OUAI/UK200027206_OUAI.jpg?sw=582&sh=582,"""aqua (water, eau), sodium c14-16 olefin sulfonate, cocamidopropyl betaine, sodium methyl cocoyl taurate, peg-200 hydrogenated glyceryl palmate, cocamide mipa, parfum (fragrance), panthenol, cocoglucosides hydroxypropyltrimonium chloride, hydrolyzed keratin, biotin, salvia hispanica seed oil, cannabis sativa seed extract, cetrimonium chloride (anti-static agent/agent antistatique), hydroxypropyl guar hydroxypropyltrimonium chloride, glycerin, sodium lauroyl glycinate, peg-150 distearate, propoxytetramethyl piperidinyl dimethicone, trideceth-6, c11-15 pareth-7, peg-7 glyceryl cocoate, sodium chloride, polyquaternium-7, disodium edta, citric acid, sodium hydroxide, tetrasodium edta, potassium sorbate, sodium benzoate, phenoxyethanol, benzyl alcohol, acetic acid, sodium acetate, benzyl salicylate, limonene, hexyl cinnamal""",'4.3,'456
haircare,Shampoo,'MUK200027206,'UK200052979,Ouai,Fine Hair Shampoo 89 ML,https://www.spacenk.com/uk/haircare/shampoo/shampoo/fine-hair-shampoo-MUK200027206.html?dwvar_MUK200027206_size=UK200052979&pid=MUK200027206&quantity=1,https://www.spacenk.com/dw/image/v2/ABCE_PRD/on/demandware.static/-/Sites-spacenkmastercatalog/default/dw7db24ed1/products/OUAI/UK200052979_OUAI.jpg?sw=582&sh=582,"""aqua (water, eau), sodium c14-16 olefin sulfonate, cocamidopropyl betaine, sodium methyl cocoyl taurate, peg-200 hydrogenated glyceryl palmate, cocamide mipa, parfum (fragrance), panthenol, cocoglucosides hydroxypropyltrimonium chloride, hydrolyzed keratin, biotin, salvia hispanica seed oil, cannabis sativa seed extract, cetrimonium chloride (anti-static agent/agent antistatique), hydroxypropyl guar hydroxypropyltrimonium chloride, glycerin, sodium lauroyl glycinate, peg-150 distearate, propoxytetramethyl piperidinyl dimethicone, trideceth-6, c11-15 pareth-7, peg-7 glyceryl cocoate, sodium chloride, polyquaternium-7, disodium edta, citric acid, sodium hydroxide, tetrasodium edta, potassium sorbate, sodium benzoate, phenoxyethanol, benzyl alcohol, acetic acid, sodium acetate, benzyl salicylate, limonene, hexyl cinnamal""",'4.3,'456
